composite_ID,UID,test,TSVR_hours,log_TSVR,Age,Age_c,LocationType,theta,se
A026_1_Source,A026,1,1.0,0.6931471805599453,29.0,-15.57,Source,0.8561924,0.5
A026_1_Destination,A026,1,1.0,0.6931471805599453,29.0,-15.57,Destination,1.0732766,0.5
A026_2_Source,A026,2,26.48,3.3134584673541485,29.0,-15.57,Source,-0.1953155,0.5
A026_2_Destination,A026,2,26.48,3.3134584673541485,29.0,-15.57,Destination,0.63977706,0.5
A026_3_Source,A026,3,75.46,4.336767728268267,29.0,-15.57,Source,0.7336966,0.5
A026_3_Destination,A026,3,75.46,4.336767728268267,29.0,-15.57,Destination,0.61266387,0.5
A026_4_Source,A026,4,147.65,5.001594549444107,29.0,-15.57,Source,-0.42854974,0.5
A026_4_Destination,A026,4,147.65,5.001594549444107,29.0,-15.57,Destination,-0.2835504,0.5
A027_1_Source,A027,1,1.0,0.6931471805599453,28.0,-16.57,Source,0.59530455,0.5
A027_1_Destination,A027,1,1.0,0.6931471805599453,28.0,-16.57,Destination,0.52744526,0.5
A027_2_Source,A027,2,28.26,3.3762213955919784,28.0,-16.57,Source,0.7602098,0.5
A027_2_Destination,A027,2,28.26,3.3762213955919784,28.0,-16.57,Destination,1.2530484,0.5
A027_3_Source,A027,3,74.58,4.325191697921343,28.0,-16.57,Source,-0.47716057,0.5
A027_3_Destination,A027,3,74.58,4.325191697921343,28.0,-16.57,Destination,-0.48801902,0.5
A027_4_Source,A027,4,145.92,4.989888220951467,28.0,-16.57,Source,-0.4226555,0.5
A027_4_Destination,A027,4,145.92,4.989888220951467,28.0,-16.57,Destination,0.38854283,0.5
A028_1_Source,A028,1,1.0,0.6931471805599453,26.0,-18.57,Source,1.1920228,0.5
A028_1_Destination,A028,1,1.0,0.6931471805599453,26.0,-18.57,Destination,1.5729234,0.5
A028_2_Source,A028,2,22.82,3.170525563927154,26.0,-18.57,Source,-0.37323314,0.5
A028_2_Destination,A028,2,22.82,3.170525563927154,26.0,-18.57,Destination,0.35054204,0.5
A028_3_Source,A028,3,72.26,4.294014757350668,26.0,-18.57,Source,0.4525285,0.5
A028_3_Destination,A028,3,72.26,4.294014757350668,26.0,-18.57,Destination,0.36001632,0.5
A028_4_Source,A028,4,138.91,4.940999358745194,26.0,-18.57,Source,-1.4747403,0.5
A028_4_Destination,A028,4,138.91,4.940999358745194,26.0,-18.57,Destination,-0.4464555,0.5
A029_1_Source,A029,1,1.0,0.6931471805599453,25.0,-19.57,Source,1.4011933,0.5
A029_1_Destination,A029,1,1.0,0.6931471805599453,25.0,-19.57,Destination,1.7540342,0.5
A029_2_Source,A029,2,28.43,3.382014562245381,25.0,-19.57,Source,0.22787775,0.5
A029_2_Destination,A029,2,28.43,3.382014562245381,25.0,-19.57,Destination,0.9775655,0.5
A029_3_Source,A029,3,93.26,4.546056921495585,25.0,-19.57,Source,1.1538624,0.5
A029_3_Destination,A029,3,93.26,4.546056921495585,25.0,-19.57,Destination,0.37505868,0.5
A029_4_Source,A029,4,143.14,4.970785049496295,25.0,-19.57,Source,-0.056302976,0.5
A029_4_Destination,A029,4,143.14,4.970785049496295,25.0,-19.57,Destination,1.0688435,0.5
A030_1_Source,A030,1,1.0,0.6931471805599453,31.0,-13.57,Source,0.77168596,0.5
A030_1_Destination,A030,1,1.0,0.6931471805599453,31.0,-13.57,Destination,-0.5316837,0.5
A030_2_Source,A030,2,32.95,3.5248888540047054,31.0,-13.57,Source,1.0246594,0.5
A030_2_Destination,A030,2,32.95,3.5248888540047054,31.0,-13.57,Destination,1.5800109,0.5
A030_3_Source,A030,3,71.93,4.289500076996142,31.0,-13.57,Source,0.54660773,0.5
A030_3_Destination,A030,3,71.93,4.289500076996142,31.0,-13.57,Destination,0.7544972,0.5
A030_4_Source,A030,4,150.46,5.020321563685677,31.0,-13.57,Source,1.3088306,0.5
A030_4_Destination,A030,4,150.46,5.020321563685677,31.0,-13.57,Destination,0.12028915,0.5
A031_1_Source,A031,1,1.0,0.6931471805599453,32.0,-12.57,Source,1.2707294,0.5
A031_1_Destination,A031,1,1.0,0.6931471805599453,32.0,-12.57,Destination,1.4608339,0.5
A031_2_Source,A031,2,32.41,3.508855256368665,32.0,-12.57,Source,-0.06876846,0.5
A031_2_Destination,A031,2,32.41,3.508855256368665,32.0,-12.57,Destination,-0.6116699,0.5
A031_3_Source,A031,3,71.56,4.2844138058068815,32.0,-12.57,Source,-0.23774107,0.5
A031_3_Destination,A031,3,71.56,4.2844138058068815,32.0,-12.57,Destination,-0.31054813,0.5
A031_4_Source,A031,4,143.85,4.975698724215359,32.0,-12.57,Source,-1.0014096,0.5
A031_4_Destination,A031,4,143.85,4.975698724215359,32.0,-12.57,Destination,-0.8304748,0.5
A032_1_Source,A032,1,1.0,0.6931471805599453,33.0,-11.57,Source,0.95065767,0.5
A032_1_Destination,A032,1,1.0,0.6931471805599453,33.0,-11.57,Destination,-0.66399795,0.5
A032_2_Source,A032,2,57.18,4.063541653067055,33.0,-11.57,Source,-0.558087,0.5
A032_2_Destination,A032,2,57.18,4.063541653067055,33.0,-11.57,Destination,-0.2995187,0.5
A032_3_Source,A032,3,80.16,4.396422514957614,33.0,-11.57,Source,0.03167592,0.5
A032_3_Destination,A032,3,80.16,4.396422514957614,33.0,-11.57,Destination,0.80790555,0.5
A032_4_Source,A032,4,144.51,4.980244812772187,33.0,-11.57,Source,1.2263699,0.5
A032_4_Destination,A032,4,144.51,4.980244812772187,33.0,-11.57,Destination,1.2733109,0.5
A033_1_Source,A033,1,1.0,0.6931471805599453,32.0,-12.57,Source,0.01302593,0.5
A033_1_Destination,A033,1,1.0,0.6931471805599453,32.0,-12.57,Destination,-0.8207058,0.5
A033_2_Source,A033,2,29.16,3.4065165431397553,32.0,-12.57,Source,0.11565804,0.5
