composite_ID,theta_source,theta_destination,se_source,se_destination
A073_2,0.3522422,-0.94399035,0.5,0.5
A073_3,1.3783715,-0.27342725,0.5,0.5
A073_4,1.4486346,1.1537054,0.5,0.5
A074_1,1.0531274,0.39766553,0.5,0.5
A074_2,0.28312021,-0.40341347,0.5,0.5
A074_3,-0.56265223,1.1376537,0.5,0.5
A074_4,-0.6709876,0.26247647,0.5,0.5
A075_1,1.2248234,0.07384318,0.5,0.5
A075_2,0.43895453,0.8610925,0.5,0.5
A075_3,-1.422566,-1.4018217,0.5,0.5
A075_4,-0.6957722,-0.09748435,0.5,0.5
A076_1,0.15540236,-0.5232532,0.5,0.5
A076_2,-1.0829679,-1.1163836,0.5,0.5
A076_3,-1.1610296,-0.5196874,0.5,0.5
A076_4,-1.1055614,-1.266146,0.5,0.5
A077_1,0.5334684,-0.5821275,0.5,0.5
A077_2,-0.17786074,-0.5422168,0.5,0.5
A077_3,-0.0657532,-0.26786017,0.5,0.5
A077_4,-0.39172974,0.8029541,0.5,0.5
A078_1,-0.5279406,-0.27483156,0.5,0.5
A078_2,0.1811822,0.06392656,0.5,0.5
A078_3,-0.7775617,0.34884748,0.5,0.5
A078_4,-1.4361522,-1.3704203,0.5,0.5
A079_1,0.019097133,1.3273735,0.5,0.5
A079_2,0.19691332,-0.2008887,0.5,0.5
A079_3,-0.70234376,-0.19927017,0.5,0.5
A079_4,-0.62206274,-0.95253634,0.5,0.5
A080_1,0.10537331,-0.1154154,0.5,0.5
A080_2,0.5328905,0.10268697,0.5,0.5
A080_3,0.045848988,1.1151272,0.5,0.5
A080_4,-0.66487795,-0.40745336,0.5,0.5
A081_1,0.37206882,0.6662004,0.5,0.5
A081_2,-0.42201942,-0.9717388,0.5,0.5
A081_3,0.83210707,1.2064252,0.5,0.5
A081_4,-0.09271791,1.4606197,0.5,0.5
A082_1,0.071322605,-0.6594405,0.5,0.5
A082_2,1.181799,1.5764099,0.5,0.5
A082_3,1.0123066,-0.7732746,0.5,0.5
A082_4,-0.5707041,0.112550795,0.5,0.5
A083_1,1.2475034,1.6751546,0.5,0.5
A083_2,0.6259196,-0.3237374,0.5,0.5
A083_3,0.113821276,-0.8224563,0.5,0.5
A083_4,0.19219941,0.76563764,0.5,0.5
A084_1,0.8040474,0.089948215,0.5,0.5
A084_2,0.14113443,-0.3887303,0.5,0.5
A084_3,-0.11596396,0.41099674,0.5,0.5
A084_4,-0.59100777,1.1264467,0.5,0.5
A085_1,-0.11570579,-0.025167516,0.5,0.5
A085_2,1.1474876,0.58357966,0.5,0.5
A085_3,-0.103653476,-0.9434278,0.5,0.5
A085_4,-0.4273231,0.36916238,0.5,0.5
A086_1,0.7650894,1.2463102,0.5,0.5
A086_2,0.30255273,0.35159728,0.5,0.5
A086_3,-1.0298048,-0.7232066,0.5,0.5
A086_4,-0.8856172,-1.2129464,0.5,0.5
A087_1,-0.14446898,1.1479511,0.5,0.5
A087_2,0.79339594,0.62924254,0.5,0.5
A087_3,0.07429415,0.6483832,0.5,0.5
A087_4,0.63730603,-0.5654962,0.5,0.5
A088_1,1.3610681,1.5717645,0.5,0.5
A088_2,1.6403587,2.250928,0.5,0.5
A088_3,1.0740212,-0.11962351,0.5,0.5
A088_4,1.2408419,1.3004314,0.5,0.5
A089_1,0.95078164,1.5398204,0.5,0.5
A089_2,1.0349191,0.37108445,0.5,0.5
A089_3,0.30402267,-0.0014881843,0.5,0.5
A089_4,-0.14708613,0.8214839,0.5,0.5
A090_1,-0.23930658,-0.3088941,0.5,0.5
A090_2,0.0107415775,-0.2992866,0.5,0.5
A090_3,-0.9169951,-0.48725727,0.5,0.5
A090_4,-0.89684373,0.14262137,0.5,0.5
A091_1,0.61024165,1.1371102,0.5,0.5
A091_2,-0.23226447,0.2593088,0.5,0.5
A091_3,-1.0321478,-0.6923325,0.5,0.5
A091_4,-1.0876396,0.056037232,0.5,0.5
A092_1,0.23328507,-0.4201831,0.5,0.5
A092_2,-0.8227533,-0.90574074,0.5,0.5
A092_3,-0.70078677,-1.0292109,0.5,0.5
A092_4,-0.77845037,-0.44239357,0.5,0.5
A093_1,0.17902495,0.97299176,0.5,0.5
A093_2,1.032644,-0.6046585,0.5,0.5
A093_3,-0.19266124,-0.8998102,0.5,0.5
A093_4,0.2726866,-0.7954494,0.5,0.5
A094_1,-1.0644217,-1.036037,0.5,0.5
A094_2,0.04552735,-0.29982325,0.5,0.5
A094_3,-0.8497856,-1.0888739,0.5,0.5
A094_4,-1.2777404,-1.2646453,0.5,0.5
A095_1,1.0975536,1.3578781,0.5,0.5
A095_2,0.2966555,-0.8642308,0.5,0.5
A095_3,0.022464879,-0.6406247,0.5,0.5
A095_4,-0.32706589,-0.86643106,0.5,0.5
A096_1,-0.277075,-0.46724647,0.5,0.5
A096_2,0.10875838,-0.4302919,0.5,0.5
A096_3,-1.7827787,-0.7520156,0.5,0.5
A096_4,-1.7271752,0.013857826,0.5,0.5
A097_1,0.1794386,-0.12557247,0.5,0.5
A097_2,-0.54056513,0.08058321,0.5,0.5
A097_3,0.7713108,-0.33748123,0.5,0.5
A097_4,-1.0911156,-0.29173175,0.5,0.5
A098_1,0.7291178,0.36816895,0.5,0.5
A098_2,0.0246297,1.0905981,0.5,0.5
A098_3,1.1876998,0.41594142,0.5,0.5
A098_4,-0.93667495,-0.75626916,0.5,0.5
A099_1,0.5694854,1.5832982,0.5,0.5
A099_2,1.1351792,-0.39603183,0.5,0.5
A099_3,0.34919107,-0.024725638,0.5,0.5
A099_4,1.2946471,1.3247222,0.5,0.5
A100_1,-0.06639828,-0.6996861,0.5,0.5
A100_2,1.3288726,1.1456058,0.5,0.5
A100_3,0.2789706,0.24805592,0.5,0.5
A100_4,0.11508391,-1.136643,0.5,0.5
A101_1,-0.39517584,0.8865688,0.5,0.5
A101_2,-0.64429396,-0.23393802,0.5,0.5
A101_3,-1.402536,-0.978317,0.5,0.5
A101_4,-1.0298448,0.17299545,0.5,0.5
A102_1,-0.4269469,0.20968845,0.5,0.5
A102_2,1.3623424,0.24436091,0.5,0.5
A102_3,-0.3569574,0.012451167,0.5,0.5
A102_4,-0.13239342,-1.0560108,0.5,0.5
A103_1,1.1801236,1.2595557,0.5,0.5
A103_2,-0.6768038,-0.42329043,0.5,0.5
A103_3,-0.973742,0.97105753,0.5,0.5
A103_4,-0.9487724,-0.8396413,0.5,0.5
A104_1,1.2842352,0.06332143,0.5,0.5
A104_2,0.9625718,0.2064909,0.5,0.5
A104_3,-0.589731,1.1526464,0.5,0.5
A104_4,-1.3339353,-1.420157,0.5,0.5
A105_1,0.53870964,1.0632366,0.5,0.5
A105_2,0.46811488,0.89520895,0.5,0.5
A105_3,-1.190793,0.023725206,0.5,0.5
A105_4,-0.1631536,0.6975893,0.5,0.5
A106_1,0.7179772,1.2047487,0.5,0.5
A106_2,-0.1352828,0.13819233,0.5,0.5
A106_3,-0.20217995,0.28499973,0.5,0.5
A106_4,0.47873917,0.24336678,0.5,0.5
A107_1,-0.89261144,-0.26651132,0.5,0.5
A107_2,-1.3602527,-1.135201,0.5,0.5
A107_3,-0.8110506,-1.1414355,0.5,0.5
A107_4,-1.0200406,-1.0968966,0.5,0.5
A108_1,-0.8011535,-0.17483757,0.5,0.5
A108_2,-0.5113533,-0.8555178,0.5,0.5
A108_3,0.030380113,0.98977315,0.5,0.5
A108_4,-1.5837336,-0.94147485,0.5,0.5
A109_1,-0.121756904,-0.8293198,0.5,0.5
A109_2,-0.9755655,-1.0111979,0.5,0.5
A109_3,0.17754932,-1.1678147,0.5,0.5
A109_4,-1.646698,-0.6777049,0.5,0.5
