composite_ID,theta_what,theta_where,theta_when
A095_2,-0.11632328,-0.3101153,-0.27341998
A095_3,-0.62691975,-1.0192258,-0.10272735
A095_4,-0.30713904,-0.8915295,-0.5183643
A096_1,-1.0195322,0.15424752,0.81164825
A096_2,-1.5905663,-1.003979,-0.90179515
A096_3,-2.2133367,-1.5191536,0.4674127
A096_4,-1.9288373,-1.8962209,-1.5861936
A097_1,-0.33232468,-0.38821632,-0.45141435
A097_2,-0.48408118,-0.5716711,0.51625955
A097_3,0.7213951,0.0037868023,-1.2359891
A097_4,0.43257222,0.46750325,0.5372415
A098_1,1.7077267,0.3316067,0.5094684
A098_2,0.5361992,0.21719381,-0.6337234
A098_3,1.2095454,1.4848362,0.8120632
A098_4,-0.7478213,-0.91992384,-0.73950565
A099_1,0.74738896,1.0746179,-0.37784016
A099_2,0.9594036,0.7915739,-1.0976888
A099_3,-1.2823298,0.11098105,-0.41498917
A099_4,-0.26223633,1.4515736,0.8124157
A100_1,-0.8890346,-0.48348585,1.1547198
A100_2,0.6545466,1.2044601,-1.2410932
A100_3,0.7946209,-0.07014696,-0.6978195
A100_4,-0.70455444,0.19893387,-0.08599311
A101_1,-0.4677518,-1.5404055,0.019968748
A101_2,-1.2452912,-0.944856,0.21182975
A101_3,-1.2188866,-1.7078539,-1.7797234
A101_4,-1.7736338,-0.8825903,-0.5826572
A102_1,-0.6887094,0.07058627,-0.8195163
A102_2,-0.35240102,1.1889635,-0.83244777
A102_3,-0.9015746,-0.26083702,-1.0104934
A102_4,-0.5679467,-0.24081427,0.4894082
A103_1,1.6616532,1.3152559,-0.4505133
A103_2,-0.29935843,-1.7325712,-1.128964
A103_3,-1.0055153,-1.7443533,0.7152084
A103_4,-0.75442207,-0.72794324,-1.4970669
A104_1,1.2996881,1.7371463,2.4848099
A104_2,0.11200896,0.16788852,-0.12773359
A104_3,0.024581283,0.48545402,-0.09633905
A104_4,-1.754418,-1.0755501,-0.4716043
A105_1,1.3662267,0.78499556,0.24230713
A105_2,0.46855873,-0.042105317,-0.0578677
A105_3,-0.21410987,-0.85985005,0.38134164
A105_4,0.7295257,-0.18081272,1.2653415
A106_1,0.84027576,1.3728359,0.6720767
A106_2,0.15152729,0.030315537,0.25364235
A106_3,0.2580538,0.25561202,-0.039719045
A106_4,1.591177,0.7216674,-1.0445364
A107_1,-0.36537117,-1.0103014,0.63341826
A107_2,-1.4982271,-1.7866282,-0.44295222
A107_3,-0.9131802,-1.0570546,0.4959677
A107_4,-0.3986863,-1.1335282,-1.4044206
A108_1,-0.09168875,-0.42564195,0.091222614
A108_2,-1.0867223,-0.5657753,-1.2325015
A108_3,-1.3006098,0.061235324,0.601129
A108_4,-0.8989298,-1.2380555,-0.7716652
A109_1,-0.22289506,-0.14706169,-1.091481
A109_2,-1.01361,-0.731652,0.82047254
A109_3,-0.37515774,0.23012167,-1.3004715
A109_4,-0.9665152,-1.1291885,-1.4468895
