UID,test,schema_condition,theta_accuracy,theta_confidence
A061,T3,Congruent,0.7270554,-0.38525635
A061,T4,Congruent,-0.38772622,-0.100344546
A062,T1,Congruent,-0.62250435,-0.36575344
A062,T2,Congruent,0.71979195,-0.6944889
A062,T3,Congruent,-0.2396038,-0.6133002
A062,T4,Congruent,-1.1185472,-1.6521478
A063,T1,Congruent,1.5583135,-0.92667735
A063,T2,Congruent,0.57301795,-1.7143731
A063,T3,Congruent,-1.0391557,-2.668865
A063,T4,Congruent,-0.44467676,-2.2332935
A064,T1,Congruent,-0.033955097,-0.09474492
A064,T2,Congruent,0.8330822,-0.520661
A064,T3,Congruent,0.5105676,-0.49342424
A064,T4,Congruent,-0.44249845,-0.70117235
A065,T1,Congruent,-1.2773031,-0.68643713
A065,T2,Congruent,0.064162605,-1.8792081
A065,T3,Congruent,-1.6138492,-2.309749
A065,T4,Congruent,-1.7445728,-1.9943393
A066,T1,Congruent,-0.34936783,-0.38006526
A066,T2,Congruent,-0.483148,-0.8631504
A066,T3,Congruent,-0.86631346,-0.97773355
A066,T4,Congruent,-0.760719,-1.27503
A067,T1,Congruent,-0.35323784,-0.67412084
A067,T2,Congruent,-0.94394547,-1.3585191
A067,T3,Congruent,-0.8267787,-1.1333934
A067,T4,Congruent,-1.2339065,-1.3108498
A068,T1,Congruent,1.0260569,0.15660031
A068,T2,Congruent,0.42495334,0.036848858
A068,T3,Congruent,-0.061965823,-0.270623
A068,T4,Congruent,-0.30442154,-0.6926035
A069,T1,Congruent,-0.7663394,-1.0479727
A069,T2,Congruent,-0.6725282,-1.2316633
A069,T3,Congruent,-1.5109428,-2.1621413
A069,T4,Congruent,-1.3962642,-1.44054
A070,T1,Congruent,-0.10258464,-0.52186567
A070,T2,Congruent,-0.30106032,-0.4394793
A070,T3,Congruent,-0.8559272,-1.4298435
A070,T4,Congruent,-0.83665365,-1.0911304
A071,T1,Congruent,1.2530835,-0.06460686
A071,T2,Congruent,0.3583971,-0.980287
A071,T3,Congruent,-1.6629909,-1.3873115
A071,T4,Congruent,-0.12990214,-0.9745958
A072,T1,Congruent,-0.112263314,0.0010421601
A072,T2,Congruent,1.1146743,-0.11102306
A072,T3,Congruent,-0.5818319,-0.75784713
A072,T4,Congruent,0.19786991,-0.46683845
A073,T1,Congruent,1.5546312,-0.51339877
A073,T2,Congruent,-0.46244034,-0.8614941
A073,T3,Congruent,0.36895004,-1.1937985
A073,T4,Congruent,0.29205632,-0.9905761
A074,T1,Congruent,0.18547921,-0.3253466
A074,T2,Congruent,0.35892135,-0.5606668
A074,T3,Congruent,-0.61961347,-0.8204018
A074,T4,Congruent,1.3346335,-0.27963826
A075,T1,Congruent,0.6350618,-0.6650202
A075,T2,Congruent,1.2109066,-0.48097533
A075,T3,Congruent,-1.8487816,-1.9677013
A075,T4,Congruent,-0.0404494,-1.0634046
A076,T1,Congruent,0.04747704,-0.716884
A076,T2,Congruent,-0.67410386,-1.0312408
A076,T3,Congruent,-1.2256078,-1.2399664
A076,T4,Congruent,-1.1056327,-1.7368064
A077,T1,Congruent,-0.44953594,-0.2547556
A077,T2,Congruent,-0.08587926,-0.6408534
A077,T3,Congruent,0.77865267,-0.30953598
A077,T4,Congruent,0.90057325,-0.3342188
A078,T1,Congruent,-0.85716176,-0.8575575
A078,T2,Congruent,0.5926562,-0.6422847
A078,T3,Congruent,-0.6777786,-1.0185158
A078,T4,Congruent,-0.75193495,-1.4823211
A079,T1,Congruent,0.7172697,-0.43599677
A079,T2,Congruent,0.38102,-0.6060337
A079,T3,Congruent,0.5062731,-0.6953274
A079,T4,Congruent,-0.3939758,-1.1158302
A080,T1,Congruent,-0.33438247,-0.2868208
A080,T2,Congruent,1.5502274,-0.2205648
A080,T3,Congruent,0.23595619,-0.6627485
A080,T4,Congruent,-1.6039006,-0.87775093
A081,T1,Congruent,0.45815384,-0.2819495
A081,T2,Congruent,0.5767118,-0.73261505
A081,T3,Congruent,0.91994727,-0.21698174
A081,T4,Congruent,0.3316827,-0.92175215
A082,T1,Congruent,0.07705856,-0.28960842
A082,T2,Congruent,1.2108388,-0.28886366
A082,T3,Congruent,-0.06594768,-0.7005341
A082,T4,Congruent,-0.003309914,-0.71145993
A083,T1,Congruent,1.1311928,-0.15437493
A083,T2,Congruent,0.25453722,-0.6470416
A083,T3,Congruent,-0.093894005,-0.39905703
A083,T4,Congruent,0.7881295,-0.425122
A084,T1,Congruent,0.4756749,-1.5245093
A084,T2,Congruent,0.2026438,-1.6860433
A084,T3,Congruent,1.1289612,-0.7468087
A084,T4,Congruent,0.5236475,-1.2056067
A085,T1,Congruent,0.1552031,-0.16463578
A085,T2,Congruent,1.4983407,0.09563088
A085,T3,Congruent,0.59526086,-0.092130594
A085,T4,Congruent,-0.18872286,-0.79462606
A086,T1,Congruent,1.3480834,-0.13565797
A086,T2,Congruent,0.10453227,-0.28824103
A086,T3,Congruent,-0.6197766,-0.7607612
A086,T4,Congruent,-1.2639685,-1.1351063
A087,T1,Congruent,0.4606387,-0.03584209
A087,T2,Congruent,1.2393358,-0.18524033
A087,T3,Congruent,0.101736434,-0.59843826
A087,T4,Congruent,0.25295004,-0.42013177
A088,T1,Congruent,0.5301715,-0.25347957
A088,T2,Congruent,1.4829968,-0.19807579
A088,T3,Congruent,0.56445384,-0.3873983
A088,T4,Congruent,0.2656782,-0.36324483
A089,T1,Congruent,1.3229843,-0.06516498
A089,T2,Congruent,1.8418807,-0.3015409
A089,T3,Congruent,0.4289247,-0.8649433
A089,T4,Congruent,-0.7643541,-0.47588912
A090,T1,Congruent,0.21052608,-1.5645288
A090,T2,Congruent,0.111108646,-1.3006754
A090,T3,Congruent,-0.923981,-2.0967915
A090,T4,Congruent,-0.7582084,-2.0895185
A091,T1,Congruent,0.07040492,-0.38004634
A091,T2,Congruent,-0.36660793,-0.8934899
A091,T3,Congruent,-0.43052486,-1.1560079
A091,T4,Congruent,-1.1137878,-0.55922866
A092,T1,Congruent,-0.75031006,-0.2970514
A092,T2,Congruent,0.3647664,-0.411572
A092,T3,Congruent,-1.6715103,-0.91129065
A092,T4,Congruent,-0.40421754,-1.3376265
A093,T1,Congruent,0.4095768,-0.20423794
A093,T2,Congruent,0.5446974,-1.6068077
A093,T3,Congruent,0.9201358,-1.7105321
A093,T4,Congruent,-1.3002123,-2.128338
A094,T1,Congruent,-0.6886231,-1.0203196
A094,T2,Congruent,-0.59592927,-1.1101195
A094,T3,Congruent,-0.5772605,-1.417154
A094,T4,Congruent,-0.15202624,-1.2022649
A095,T1,Congruent,1.7489762,-0.11152778
A095,T2,Congruent,-0.08975462,-0.8506229
A095,T3,Congruent,-0.9814954,-0.8015234
A095,T4,Congruent,-0.83802027,-1.4459883
A096,T1,Congruent,0.30585048,-0.35047135
A096,T2,Congruent,-0.09390502,-1.0172954
A096,T3,Congruent,-1.4232868,-0.92508286
A096,T4,Congruent,-0.63723755,-0.34232667
A097,T1,Congruent,0.05084073,-0.8071859
A097,T2,Congruent,0.4006286,-2.1132436
A097,T3,Congruent,-0.13535045,-2.0212188
A097,T4,Congruent,-0.97472835,-2.3067176
A098,T1,Congruent,0.92273605,-0.40372565
A098,T2,Congruent,0.3784041,-0.49372467
A098,T3,Congruent,0.35566115,-0.17265761
A098,T4,Congruent,0.13999347,-0.32335347
A099,T1,Congruent,0.34448373,-0.4489275
A099,T2,Congruent,0.4557115,-0.44614545
A099,T3,Congruent,-0.579716,-0.35756537
A099,T4,Congruent,1.6622602,0.20277411
A100,T1,Congruent,-1.1675236,-0.47020003
A100,T2,Congruent,1.4396995,-0.99447477
A100,T3,Congruent,1.0671802,-1.3714874
A100,T4,Congruent,-1.0579654,-2.1504357
A101,T1,Congruent,-0.7339132,-1.0978798
A101,T2,Congruent,-0.07201809,-0.9386994
A101,T3,Congruent,-1.1354967,-2.1346235
A101,T4,Congruent,-0.8799016,-2.62351
A102,T1,Congruent,0.87012297,-0.7033373
A102,T2,Congruent,1.6128533,-0.2512314
A102,T3,Congruent,-0.063888825,-0.5414447
A102,T4,Congruent,-1.3671356,-0.74551696
A103,T1,Congruent,1.7191428,-1.8939002
A103,T2,Congruent,0.036966365,-2.228271
A103,T3,Congruent,-0.29822126,-1.7387944
A103,T4,Congruent,-1.1549125,-2.116483
A104,T1,Congruent,0.16093552,-0.28758433
A104,T2,Congruent,1.0341785,-0.2856556
A104,T3,Congruent,1.1226685,-0.17416877
A104,T4,Congruent,-1.5214266,-1.1518676
A105,T1,Congruent,0.9818146,-0.01984792
A105,T2,Congruent,0.6205603,-0.33624282
A105,T3,Congruent,-0.47881082,-0.52430254
A105,T4,Congruent,-0.58175623,-0.81556505
A106,T1,Congruent,1.75697,-0.20976482
A106,T2,Congruent,-0.51089793,-0.72244436
A106,T3,Congruent,0.36100835,-0.49961966
A106,T4,Congruent,0.3227427,-0.3562269
A107,T1,Congruent,-1.3213788,-2.0901606
A107,T2,Congruent,-1.5178664,-2.412119
A107,T3,Congruent,-0.5515594,-1.3894976
A107,T4,Congruent,-0.68668693,-2.1262102
A108,T1,Congruent,-0.24534158,-0.8985952
A108,T2,Congruent,-1.1410556,-1.197226
A108,T3,Congruent,0.91510236,-0.7785454
A108,T4,Congruent,-1.0845438,-0.97926974
A109,T1,Congruent,0.03716664,-1.0633328
A109,T2,Congruent,-0.63798696,-1.4972928
A109,T3,Congruent,0.36676112,-1.2767472
A109,T4,Congruent,-1.1214261,-2.0732682
A010,T1,Incongruent,1.8495548,-0.19839172
A010,T2,Incongruent,-0.015681326,-0.5774162
A010,T3,Incongruent,-0.78981763,-0.69089967
A010,T4,Incongruent,1.004755,-0.5352292
A011,T1,Incongruent,0.927548,0.4180711
A011,T2,Incongruent,-0.1538848,-0.3730263
A011,T3,Incongruent,-0.42125666,-0.39844763
A011,T4,Incongruent,-0.32422063,-1.0058494
A012,T1,Incongruent,0.6927246,-0.26319304
A012,T2,Incongruent,0.033447273,-0.6835167
A012,T3,Incongruent,1.1025593,-0.43119046
A012,T4,Incongruent,-1.1840969,-0.8213732
A013,T1,Incongruent,-0.16505142,-0.760434
A013,T2,Incongruent,-0.6667165,-0.787793
A013,T3,Incongruent,1.194037,-0.5437398
A013,T4,Incongruent,-1.192921,-1.4462161
A014,T1,Incongruent,0.27505073,-0.20865713
A014,T2,Incongruent,1.0895128,-0.085784435
A014,T3,Incongruent,-0.10083751,-0.3742499
A014,T4,Incongruent,-0.9997553,-0.6940057
A015,T1,Incongruent,1.1283869,0.029915275
A015,T2,Incongruent,1.361513,-0.34297073
A015,T3,Incongruent,1.3649361,-0.38712233
A015,T4,Incongruent,0.19643967,-0.3982483
A016,T1,Incongruent,1.2802452,-0.20109226
A016,T2,Incongruent,1.489516,-0.51146555
A016,T3,Incongruent,0.26608974,-0.6307198
A016,T4,Incongruent,-0.3671518,-1.0874058
A017,T1,Incongruent,-0.49409226,-0.050550863
A017,T2,Incongruent,1.3314309,0.37616742
A017,T3,Incongruent,0.57876515,0.16344005
A017,T4,Incongruent,0.9919836,-0.05830908
A018,T1,Incongruent,0.6507261,-0.2737818
A018,T2,Incongruent,0.8876945,-0.24162628
A018,T3,Incongruent,-0.38700706,-0.82405907
A018,T4,Incongruent,0.28919047,-0.6834587
A019,T1,Incongruent,-0.28521618,-2.4123783
A019,T2,Incongruent,-1.109437,-2.1736994
A019,T3,Incongruent,-0.12449538,-2.37307
A019,T4,Incongruent,-0.2515996,-1.7481909
A020,T1,Incongruent,0.10248403,-0.45759633
A020,T2,Incongruent,0.029921481,-0.39950776
A020,T3,Incongruent,-1.1270595,-0.81771845
A020,T4,Incongruent,-1.7975917,-1.1671014
A021,T1,Incongruent,1.0467342,-0.15455027
A021,T2,Incongruent,-0.287681,-0.38272583
A021,T3,Incongruent,-0.33009732,-0.34876692
A021,T4,Incongruent,1.0272207,-0.2532734
A022,T1,Incongruent,0.4842986,-0.97853035
A022,T2,Incongruent,0.75264776,-1.6442801
A022,T3,Incongruent,0.632036,-0.6643592
A022,T4,Incongruent,0.3970194,-1.6971332
A023,T1,Incongruent,0.66979575,-0.23518662
A023,T2,Incongruent,0.14703572,-0.5212391
A023,T3,Incongruent,0.15521283,-0.7865364
A023,T4,Incongruent,-0.62461984,-0.73089755
A024,T1,Incongruent,-0.21332482,-0.63189185
A024,T2,Incongruent,0.54554003,-0.38149142
A024,T3,Incongruent,-0.9363269,-0.6993244
A024,T4,Incongruent,-1.3045677,-1.1861862
A025,T1,Incongruent,0.7944789,-0.1315356
A025,T2,Incongruent,1.4322243,-0.3282735
A025,T3,Incongruent,-0.5307447,-1.0377458
A025,T4,Incongruent,-1.0591911,-1.9472052
A026,T1,Incongruent,0.79825217,-0.5305961
A026,T2,Incongruent,0.37958306,-0.41408488
A026,T3,Incongruent,0.5891306,-0.2952491
A026,T4,Incongruent,-0.9533398,-0.5032541
A027,T1,Incongruent,0.7571643,-0.22527617
A027,T2,Incongruent,0.6780212,-0.3967447
A027,T3,Incongruent,-0.5856879,-1.1700761
A027,T4,Incongruent,-0.2486425,-1.2431318
A028,T1,Incongruent,1.369158,0.027775345
A028,T2,Incongruent,0.3490204,-0.25811836
A028,T3,Incongruent,0.7839161,-0.53546923
A028,T4,Incongruent,-0.9181857,-1.0116268
A029,T1,Incongruent,2.0491304,0.053527508
A029,T2,Incongruent,0.70584047,-0.047662362
A029,T3,Incongruent,1.139065,-0.377799
A029,T4,Incongruent,-0.03329531,-0.76733285
A030,T1,Incongruent,0.5035225,-0.4607326
A030,T2,Incongruent,0.39696884,-0.3564016
A030,T3,Incongruent,0.04883193,-0.6385999
A030,T4,Incongruent,0.74509096,-0.36523032
A031,T1,Incongruent,1.6509279,0.09475647
A031,T2,Incongruent,-0.64630777,-0.30450672
A031,T3,Incongruent,-0.78419024,-1.027827
A031,T4,Incongruent,-1.1325623,-1.3784822
A032,T1,Incongruent,0.72091097,-0.23351078
A032,T2,Incongruent,-1.2736943,-0.62136596
A032,T3,Incongruent,-0.1421679,-0.37818873
A032,T4,Incongruent,1.6007003,-0.45590672
A033,T1,Incongruent,0.4552093,-0.18282865
A033,T2,Incongruent,0.13419229,-0.7299611
A033,T3,Incongruent,0.67858124,-0.17893906
A033,T4,Incongruent,-0.3395916,-0.52563524
A034,T1,Incongruent,1.218904,-0.07332657
A034,T2,Incongruent,1.4714065,-0.11480117
A034,T3,Incongruent,0.68295676,-0.18118839
A034,T4,Incongruent,-0.03220581,-0.88080823
A035,T1,Incongruent,0.0068166982,-0.39313075
A035,T2,Incongruent,0.64532655,-0.42959154
A035,T3,Incongruent,-0.70500445,-0.70731425
A035,T4,Incongruent,-0.8544361,-0.9453898
A036,T1,Incongruent,0.5994135,-1.5617707
A036,T2,Incongruent,0.21460545,-1.7931703
A036,T3,Incongruent,-0.8283277,-2.3487585
A036,T4,Incongruent,-0.62613195,-2.2591488
A037,T1,Incongruent,0.8065208,-0.0829327
A037,T2,Incongruent,0.7779129,-0.39432922
A037,T3,Incongruent,0.4209121,-0.9148402
A037,T4,Incongruent,-0.68632966,-0.8241759
A038,T1,Incongruent,1.2457225,-0.2604591
A038,T2,Incongruent,-0.17449848,-0.5263967
A038,T3,Incongruent,1.0740421,-0.36746615
A038,T4,Incongruent,-0.74061143,-0.41754243
A039,T1,Incongruent,1.3803084,0.10311875
A039,T2,Incongruent,0.41327596,-0.02583759
A039,T3,Incongruent,1.0063004,-0.028886352
A039,T4,Incongruent,0.9507495,-0.3613406
A040,T1,Incongruent,0.16926317,-0.2806868
A040,T2,Incongruent,-0.17563842,-0.5351386
A040,T3,Incongruent,-1.4163284,-0.90037173
A040,T4,Incongruent,-1.3937256,-0.93064415
A041,T1,Incongruent,1.140502,-0.066298075
A041,T2,Incongruent,-0.5317055,-0.44364613
A041,T3,Incongruent,-0.07379216,-0.3703831
A041,T4,Incongruent,1.141611,-0.32759312
A042,T1,Incongruent,-0.5787848,-0.8585459
A042,T2,Incongruent,-0.9761797,-1.0440209
A042,T3,Incongruent,-0.35500365,-0.9215478
A042,T4,Incongruent,-1.0544331,-1.3068376
A043,T1,Incongruent,0.6365562,0.18560928
A043,T2,Incongruent,-0.36488125,0.16144574
A043,T3,Incongruent,-0.32173076,-0.29392326
A043,T4,Incongruent,-0.3357526,-0.40472743
A044,T1,Incongruent,-0.80062515,-0.9532756
A044,T2,Incongruent,-0.89945817,-0.8823597
A044,T3,Incongruent,-1.2523423,-1.1212108
A044,T4,Incongruent,-0.86056197,-1.546574
A045,T1,Incongruent,-0.771518,-0.42788658
A045,T2,Incongruent,-1.0636017,-0.8124714
A045,T3,Incongruent,-0.3198602,-0.53776765
A045,T4,Incongruent,-0.855714,-0.8981609
A046,T1,Incongruent,-0.17337398,-0.6160174
A046,T2,Incongruent,-1.5730445,-1.3370029
A046,T3,Incongruent,-1.775866,-1.3811461
A046,T4,Incongruent,-0.6509636,-1.1147553
A047,T1,Incongruent,-0.37315792,-0.9227222
A047,T2,Incongruent,0.06363139,-1.006848
A047,T3,Incongruent,-1.4591206,-1.4981879
A047,T4,Incongruent,-1.0762047,-2.1297948
A048,T1,Incongruent,1.3832663,-0.24060644
A048,T2,Incongruent,0.18211488,-0.33101246
A048,T3,Incongruent,-0.22094929,-0.39258203
A048,T4,Incongruent,0.37752387,-0.5330067
A049,T1,Incongruent,1.8093721,-0.09187181
A049,T2,Incongruent,-0.7185982,-0.7277334
A049,T3,Incongruent,0.42769104,-0.37652382
A049,T4,Incongruent,-0.3570681,-0.7472229
A050,T1,Incongruent,0.44955093,-0.0949954
A050,T2,Incongruent,-0.22489542,-0.28916386
A050,T3,Incongruent,-0.6519587,-0.9606521
A050,T4,Incongruent,-0.07997266,-1.2247796
A051,T1,Incongruent,1.3508412,-0.041371163
A051,T2,Incongruent,0.3942614,-0.18676083
A051,T3,Incongruent,-0.8183705,-0.5675683
A051,T4,Incongruent,-0.61102885,-0.7438079
A052,T1,Incongruent,0.80218923,-0.6164749
A052,T2,Incongruent,0.65400946,-0.58766717
A052,T3,Incongruent,0.8061516,-0.8227223
A052,T4,Incongruent,-1.0938095,-1.071032
A053,T1,Incongruent,1.1644984,-0.21252027
A053,T2,Incongruent,0.49758703,-1.2864738
A053,T3,Incongruent,-0.94908994,-1.3044839
A053,T4,Incongruent,0.6871204,-1.1440738
A054,T1,Incongruent,-0.18606658,0.068720266
A054,T2,Incongruent,0.22012395,-0.48613167
A054,T3,Incongruent,0.9616685,-0.24306852
A054,T4,Incongruent,1.3222136,-0.26028132
A055,T1,Incongruent,0.4598856,-0.21577889
A055,T2,Incongruent,0.5980959,-0.57424486
A055,T3,Incongruent,-0.84224457,-0.9679104
A055,T4,Incongruent,-0.7144902,-0.50649744
A056,T1,Incongruent,0.76854396,-0.647325
A056,T2,Incongruent,0.72379655,-0.9971318
A056,T3,Incongruent,0.03914897,-1.0614076
A056,T4,Incongruent,-1.2513661,-1.3105538
A057,T1,Incongruent,0.32195136,-0.6534233
A057,T2,Incongruent,-0.6246655,-0.3860979
A057,T3,Incongruent,-0.30852878,-0.6926641
A057,T4,Incongruent,-1.0764493,-1.5332582
A058,T1,Incongruent,1.1062307,-0.31420785
A058,T2,Incongruent,-0.72948736,-0.60790056
A058,T3,Incongruent,0.57581717,-0.3849926
A058,T4,Incongruent,-0.33740327,-1.0403204
A059,T1,Incongruent,0.6481601,-0.6233207
A059,T2,Incongruent,1.2386231,-0.26237887
A059,T3,Incongruent,1.1966753,-0.86718345
A059,T4,Incongruent,0.39415252,-0.6763951
A060,T1,Incongruent,-0.51847786,-0.5142394
A060,T2,Incongruent,0.8710442,-0.36191016
A060,T3,Incongruent,-0.5079555,-0.3819131
A060,T4,Incongruent,0.5497281,-0.017627422
A061,T1,Incongruent,1.7655311,0.4517179
A061,T2,Incongruent,0.90897036,0.068051666
A061,T3,Incongruent,1.0996085,-0.20473945
A061,T4,Incongruent,-1.1260257,-0.29580435
A062,T1,Incongruent,1.426989,-0.2661164
A062,T2,Incongruent,-0.25618497,-0.9833099
A062,T3,Incongruent,-1.3890283,-0.95014405
A062,T4,Incongruent,-0.4313116,-1.335821
A063,T1,Incongruent,0.88058853,-1.637714
A063,T2,Incongruent,0.5718746,-1.8140639
A063,T3,Incongruent,0.46969423,-2.2087312
A063,T4,Incongruent,-1.0795428,-2.2615244
A064,T1,Incongruent,1.2385576,-0.35062373
A064,T2,Incongruent,1.0896745,-0.41921464
A064,T3,Incongruent,0.18757819,-0.7839214
A064,T4,Incongruent,-0.9012457,-0.7398189
A065,T1,Incongruent,-1.4102844,-0.624274
A065,T2,Incongruent,-0.40561426,-1.121759
A065,T3,Incongruent,-0.853348,-2.1341271
A065,T4,Incongruent,-1.6086773,-1.8508176
A066,T1,Incongruent,0.4867137,-0.75553757
A066,T2,Incongruent,-0.2187631,-0.6058684
A066,T3,Incongruent,-1.323239,-0.6747845
A066,T4,Incongruent,-0.94659406,-1.2249095
A067,T1,Incongruent,0.18231152,-0.70207465
A067,T2,Incongruent,-1.2220749,-1.7118002
A067,T3,Incongruent,-1.3802273,-1.3231535
A067,T4,Incongruent,-1.1612169,-1.4478906
A068,T1,Incongruent,1.1782216,0.09978709
A068,T2,Incongruent,-0.56203043,-0.26978797
A068,T3,Incongruent,0.865,-0.43138668
A068,T4,Incongruent,-0.85649955,-0.6760573
A069,T1,Incongruent,-0.5619881,-0.5458755
A069,T2,Incongruent,-1.1514472,-1.7122738
A069,T3,Incongruent,-0.36797193,-1.9927013
A069,T4,Incongruent,-1.3764908,-1.6281663
A070,T1,Incongruent,-0.4836087,-0.25163588
A070,T2,Incongruent,0.379365,-0.73970205
A070,T3,Incongruent,-1.0311381,-1.002729
A070,T4,Incongruent,-0.76778597,-1.3446122
A071,T1,Incongruent,-0.20029435,-0.31428206
A071,T2,Incongruent,-0.14540964,-0.7196189
A071,T3,Incongruent,-0.8588146,-0.7761851
A071,T4,Incongruent,0.5588658,-0.5587805
A072,T1,Incongruent,0.889561,-0.07452437
A072,T2,Incongruent,0.5737382,-0.26865453
A072,T3,Incongruent,-1.2315675,-0.79868716
A072,T4,Incongruent,-0.19525106,-0.90725523
A073,T1,Incongruent,0.7696608,-0.94101936
A073,T2,Incongruent,0.19954424,-1.043354
A073,T3,Incongruent,0.96659833,-1.0275303
A073,T4,Incongruent,1.1789728,-1.3913372
A074,T1,Incongruent,0.94610184,-0.27345297
A074,T2,Incongruent,-0.17883097,-0.32636875
A074,T3,Incongruent,0.50796634,-0.39596567
A074,T4,Incongruent,-1.0765446,-0.9574124
A075,T1,Incongruent,0.35597882,-0.4720558
A075,T2,Incongruent,0.19050995,-0.57119834
A075,T3,Incongruent,-1.3870107,-1.4577806
A075,T4,Incongruent,-1.1910133,-1.3109375
A076,T1,Incongruent,-0.055492114,-0.79050756
A076,T2,Incongruent,-1.0282166,-0.75904757
A076,T3,Incongruent,-1.1447643,-1.1160817
A076,T4,Incongruent,-1.4897717,-1.947186
A077,T1,Incongruent,1.0832057,-0.21729939
A077,T2,Incongruent,0.5481428,-0.61449087
A077,T3,Incongruent,-0.6028231,-1.0287725
A077,T4,Incongruent,-0.024910025,-0.57046586
A078,T1,Incongruent,-0.03935432,-0.9614782
A078,T2,Incongruent,0.13163377,-1.0838848
A078,T3,Incongruent,-0.37939614,-1.2269044
A078,T4,Incongruent,-0.82991654,-2.1511405
A079,T1,Incongruent,0.571432,-0.5365741
A079,T2,Incongruent,0.25168815,-0.29747516
A079,T3,Incongruent,-1.1842302,-1.0782077
A079,T4,Incongruent,-0.72198874,-1.2569292
A080,T1,Incongruent,0.1954386,-0.26796278
A080,T2,Incongruent,-0.48048288,-0.49931365
A080,T3,Incongruent,0.054171856,-0.5487481
A080,T4,Incongruent,-0.5642178,-1.1504331
A081,T1,Incongruent,0.4636711,-0.29979154
A081,T2,Incongruent,-0.80846375,-0.57602197
A081,T3,Incongruent,1.0431083,-0.4909857
A081,T4,Incongruent,-0.007744061,-0.78070855
A082,T1,Incongruent,0.4081296,-0.35453165
A082,T2,Incongruent,1.3566974,-0.41359544
A082,T3,Incongruent,0.51109195,-0.6247568
A082,T4,Incongruent,-0.71264565,-1.0971746
A083,T1,Incongruent,1.9672089,0.0868498
A083,T2,Incongruent,0.81551206,-0.59467524
A083,T3,Incongruent,0.33076146,-0.50835633
A083,T4,Incongruent,0.42488086,-0.65666425
A084,T1,Incongruent,0.34656775,-1.7585179
A084,T2,Incongruent,-0.46278918,-1.8010626
A084,T3,Incongruent,-0.55949694,-1.8235856
A084,T4,Incongruent,-0.5263494,-1.5674257
A085,T1,Incongruent,-0.60492045,-0.29850325
A085,T2,Incongruent,0.8101534,-0.082100525
A085,T3,Incongruent,-0.8575336,-0.40926564
A085,T4,Incongruent,-0.94173086,-0.60284513
A086,T1,Incongruent,0.3201268,-0.1836122
A086,T2,Incongruent,0.5163846,-0.21625954
A086,T3,Incongruent,-0.9413575,-0.65461785
A086,T4,Incongruent,-0.9490816,-0.92375237
A087,T1,Incongruent,-0.16664389,-0.18351513
A087,T2,Incongruent,0.6195668,-0.5067365
A087,T3,Incongruent,0.7460708,-0.3777033
A087,T4,Incongruent,0.29474986,-0.35757273
A088,T1,Incongruent,1.5047297,-0.010037511
A088,T2,Incongruent,1.5726674,-0.33703202
A088,T3,Incongruent,1.2116629,-0.6821054
A088,T4,Incongruent,1.7613931,-0.44053027
A089,T1,Incongruent,0.56494594,-0.34697187
A089,T2,Incongruent,0.57670295,-0.4597679
A089,T3,Incongruent,0.2386981,-0.5945698
A089,T4,Incongruent,0.45080766,-0.6363789
A090,T1,Incongruent,-0.26355815,-1.6954932
A090,T2,Incongruent,-0.85531676,-1.0154998
A090,T3,Incongruent,-0.3625516,-2.4778833
A090,T4,Incongruent,-0.49008408,-2.2810895
A091,T1,Incongruent,0.57984126,-0.5164803
A091,T2,Incongruent,-0.4956108,-0.5896447
A091,T3,Incongruent,-1.0913205,-0.83027357
A091,T4,Incongruent,-0.5084233,-0.45334205
A092,T1,Incongruent,0.16063099,-0.3796672
A092,T2,Incongruent,-1.2741792,-0.47237504
A092,T3,Incongruent,0.120479345,-0.7832944
A092,T4,Incongruent,-1.0033731,-0.91602015
A093,T1,Incongruent,-0.25305656,-0.36698905
A093,T2,Incongruent,1.1499113,-1.8228393
A093,T3,Incongruent,-0.09855731,-2.4407663
A093,T4,Incongruent,0.86319566,-2.0987413
A094,T1,Incongruent,-0.8723581,-0.8360001
A094,T2,Incongruent,-0.11033577,-0.9817864
A094,T3,Incongruent,-1.204232,-1.153966
A094,T4,Incongruent,-1.0615593,-1.27951
A095,T1,Incongruent,1.4008193,-0.115547016
A095,T2,Incongruent,-0.04127826,-0.54553676
A095,T3,Incongruent,0.12027418,-0.43434292
A095,T4,Incongruent,0.29968035,-0.75107104
A096,T1,Incongruent,-0.9870649,-0.26969424
A096,T2,Incongruent,-0.57167214,-0.76674485
A096,T3,Incongruent,-1.7338066,-0.17650235
A096,T4,Incongruent,-1.8857074,-0.7302077
A097,T1,Incongruent,0.34418228,-0.8131834
A097,T2,Incongruent,-0.8859063,-2.3220603
A097,T3,Incongruent,0.74868965,-1.7823144
A097,T4,Incongruent,-0.9338368,-2.6435583
A098,T1,Incongruent,0.76136076,-0.09043383
A098,T2,Incongruent,-0.03355606,-0.4116703
A098,T3,Incongruent,1.1111528,-0.14751065
A098,T4,Incongruent,-1.0091684,-0.5866237
A099,T1,Incongruent,0.704551,-0.07720999
A099,T2,Incongruent,0.70550025,-0.10447536
A099,T3,Incongruent,0.7894194,-0.22665562
A099,T4,Incongruent,1.1979358,0.040699307
A100,T1,Incongruent,0.4960371,-0.9608972
A100,T2,Incongruent,1.6154647,-1.2229484
A100,T3,Incongruent,0.18737194,-1.0668608
A100,T4,Incongruent,0.3911374,-2.3538194
A101,T1,Incongruent,0.44689605,-1.1868296
