UID,test,TSVR_hours,theta_value,measure_type
A084,2,27.25,-1.4664562,confidence
A084,3,91.97,-1.013821,confidence
A084,4,162.51,-1.0321283,confidence
A085,1,1.0,0.8677166,confidence
A085,2,24.51,1.0242546,confidence
A085,3,71.4,0.7863214,confidence
A085,4,170.65,-0.55458117,confidence
A086,1,1.0,1.277961,confidence
A086,2,23.47,1.1118082,confidence
A086,3,145.29,-0.3442445,confidence
A086,4,169.55,-0.2083888,confidence
A087,1,1.0,1.4973053,confidence
A087,2,31.07,0.72297037,confidence
A087,3,72.8,0.12718847,confidence
A087,4,144.2,0.21799015,confidence
A088,1,1.0,0.25304648,confidence
A088,2,24.25,0.75527453,confidence
A088,3,74.91,0.05704416,confidence
A088,4,149.93,0.31973332,confidence
A089,1,1.0,1.3327537,confidence
A089,2,32.14,0.91714174,confidence
A089,3,79.34,0.1780254,confidence
A089,4,146.96,-0.008746256,confidence
A090,1,1.0,-0.65424925,confidence
A090,2,23.54,-0.8496225,confidence
A090,3,95.42,-1.6408993,confidence
A090,4,144.07,-1.4168081,confidence
A091,1,1.0,0.9867957,confidence
A091,2,22.2,0.32842198,confidence
A091,3,73.64,-0.17302956,confidence
A091,4,142.61,-0.13599955,confidence
A092,1,1.0,0.22590114,confidence
A092,2,22.83,0.14786519,confidence
A092,3,71.31,-0.3949276,confidence
A092,4,146.16,-0.5185454,confidence
A093,1,1.0,1.615065,confidence
A093,2,22.09,0.5044622,confidence
A093,3,70.22,0.049923185,confidence
A093,4,140.95,-0.3427646,confidence
A094,1,1.0,-0.15748604,confidence
A094,2,22.98,-0.38972417,confidence
A094,3,76.21,-1.3148012,confidence
A094,4,149.99,-1.2071853,confidence
A095,1,1.0,1.0626495,confidence
A095,2,29.71,-0.13491769,confidence
A095,3,78.76,-0.06304094,confidence
A095,4,148.79,-0.4148814,confidence
A096,1,1.0,1.2504172,confidence
A096,2,24.49,0.58374166,confidence
A096,3,71.19,0.73835707,confidence
A096,4,143.66,0.8100288,confidence
A097,1,1.0,-0.40680176,confidence
A097,2,24.37,-0.94182014,confidence
A097,3,70.83,-0.5738898,confidence
A097,4,144.85,-1.1440835,confidence
A098,1,1.0,0.7665425,confidence
A098,2,25.77,0.114959404,confidence
A098,3,78.84,0.95175016,confidence
A098,4,146.29,0.45389512,confidence
A099,1,1.0,1.5797538,confidence
A099,2,28.75,1.2974577,confidence
A099,3,78.57,0.8571293,confidence
A099,4,143.51,1.3113091,confidence
A100,1,1.0,0.9444509,confidence
A100,2,31.14,0.846625,confidence
A100,3,75.34,0.7006375,confidence
A100,4,146.8,0.07112359,confidence
A101,1,1.0,-0.32381263,confidence
A101,2,29.12,-0.8049391,confidence
A101,3,75.21,-2.0506682,confidence
A101,4,150.22,-1.7474207,confidence
A102,1,1.0,0.7623854,confidence
A102,2,29.13,0.3141226,confidence
A102,3,75.27,-0.36135077,confidence
A102,4,150.41,-0.24279404,confidence
A103,1,1.0,-1.8178651,confidence
A103,2,27.26,-2.9925668,confidence
A103,3,80.24,-2.6570177,confidence
A103,4,149.72,-2.9122403,confidence
A104,1,1.0,1.6208797,confidence
A104,2,22.6,0.573565,confidence
A104,3,72.62,-0.157371,confidence
A104,4,145.78,-1.8637626,confidence
A105,1,1.0,2.0030143,confidence
A105,2,22.77,1.3873036,confidence
A105,3,69.46,0.4621537,confidence
A105,4,146.2,0.38215855,confidence
A106,1,1.0,0.900686,confidence
A106,2,22.64,0.14128786,confidence
A106,3,66.08,0.43720695,confidence
A106,4,147.13,-0.07177689,confidence
A107,1,1.0,-1.6444446,confidence
A107,2,26.22,-0.80871445,confidence
A107,3,71.45,-1.256739,confidence
A107,4,145.95,-1.820972,confidence
A108,1,1.0,-0.31995967,confidence
A108,2,27.61,-1.9271332,confidence
A108,3,68.96,-0.52692664,confidence
A108,4,152.12,-0.62428236,confidence
A109,1,1.0,0.48572227,confidence
A109,2,24.65,-0.036711782,confidence
A109,3,71.17,0.40579683,confidence
A109,4,149.87,0.20902646,confidence
