UID,test,day_label,TSVR_hours,theta_acc,theta_conf,se_conf
A076,3,Day3,74.88,-1.2046329,-0.8713531,0.07339282
A076,4,Day6,149.28,-2.5163941,-2.0592318,0.07339282
A077,1,Day0,1.0,1.257486,1.0828195,0.07339282
A077,2,Day1,53.88,-0.15718071,-0.061775867,0.07339282
A077,3,Day3,78.36,0.254887,-0.057523195,0.07339282
A077,4,Day6,149.75,0.58986604,0.02102494,0.07339282
A078,1,Day0,1.0,0.05510661,-0.9361496,0.07339282
A078,2,Day1,26.17,0.07325087,-0.96595,0.07339282
A078,3,Day3,72.3,-1.0537938,-1.7301757,0.07339282
A078,4,Day6,140.08,-1.0697036,-1.7319458,0.07339282
A079,1,Day0,1.0,0.49688977,0.3822094,0.07339282
A079,2,Day1,26.11,-0.40158516,0.10216686,0.07339282
A079,3,Day3,74.0,-0.94553256,-0.4006794,0.07339282
A079,4,Day6,194.42,-0.9119565,-0.75433517,0.07339282
A080,1,Day0,1.0,0.35685366,1.1243324,0.07339282
A080,2,Day1,29.03,0.34285796,0.6892572,0.07339282
A080,3,Day3,72.87,0.31786218,0.62320197,0.07339282
A080,4,Day6,145.77,-0.8033879,-0.8472369,0.07339282
A081,1,Day0,1.0,0.56923956,1.2758523,0.07339282
A081,2,Day1,31.39,-0.24241331,0.6858867,0.07339282
A081,3,Day3,80.13,0.93472326,0.8307492,0.07339282
A081,4,Day6,154.53,0.18450806,0.7054321,0.07339282
A082,1,Day0,1.0,0.47511065,0.1739859,0.07339282
A082,2,Day1,27.97,1.1720833,-0.04442855,0.07339282
A082,3,Day3,75.71,0.4018064,-0.4148056,0.07339282
A082,4,Day6,170.25,-0.08527875,-0.8596984,0.07339282
A083,1,Day0,1.0,1.9135383,1.2734162,0.07339282
A083,2,Day1,25.15,0.9028967,0.3070551,0.07339282
A083,3,Day3,74.3,0.21852846,0.6661916,0.07339282
A083,4,Day6,144.91,-0.03377411,0.5780402,0.07339282
A084,1,Day0,1.0,0.37614724,-0.42285675,0.07339282
A084,2,Day1,27.25,-0.4066572,-1.4664562,0.07339282
A084,3,Day3,91.97,0.011830099,-1.013821,0.07339282
A084,4,Day6,162.51,-0.024996497,-1.0321283,0.07339282
A085,1,Day0,1.0,0.29977113,0.8677166,0.07339282
A085,2,Day1,24.51,1.7130281,1.0242546,0.07339282
A085,3,Day3,71.4,-0.14947924,0.7863214,0.07339282
A085,4,Day6,170.65,-0.5059031,-0.55458117,0.07339282
A086,1,Day0,1.0,0.9054527,1.277961,0.07339282
A086,2,Day1,23.47,-0.35819164,1.1118082,0.07339282
A086,3,Day3,145.29,-1.1229844,-0.3442445,0.07339282
A086,4,Day6,169.55,-1.1456217,-0.2083888,0.07339282
A087,1,Day0,1.0,1.164813,1.4973053,0.07339282
A087,2,Day1,31.07,1.112516,0.72297037,0.07339282
A087,3,Day3,72.8,-0.23325346,0.12718847,0.07339282
A087,4,Day6,144.2,0.27864328,0.21799015,0.07339282
A088,1,Day0,1.0,2.00997,0.25304648,0.07339282
A088,2,Day1,24.25,2.599694,0.75527453,0.07339282
A088,3,Day3,74.91,0.43418288,0.05704416,0.07339282
A088,4,Day6,149.93,1.1879628,0.31973332,0.07339282
A089,1,Day0,1.0,1.6034564,1.3327537,0.07339282
A089,2,Day1,32.14,0.9674698,0.91714174,0.07339282
A089,3,Day3,79.34,0.524776,0.1780254,0.07339282
A089,4,Day6,146.96,0.3647498,-0.008746256,0.07339282
A090,1,Day0,1.0,0.20163605,-0.65424925,0.07339282
A090,2,Day1,23.54,-0.51139903,-0.8496225,0.07339282
A090,3,Day3,95.42,-1.5578265,-1.6408993,0.07339282
A090,4,Day6,144.07,-1.1440647,-1.4168081,0.07339282
A091,1,Day0,1.0,0.64397514,0.9867957,0.07339282
A091,2,Day1,22.2,-0.25296763,0.32842198,0.07339282
A091,3,Day3,73.64,-1.0806334,-0.17302956,0.07339282
A091,4,Day6,142.61,-0.80276793,-0.13599955,0.07339282
A092,1,Day0,1.0,-0.28513366,0.22590114,0.07339282
A092,2,Day1,22.83,-0.78696686,0.14786519,0.07339282
A092,3,Day3,71.31,-0.45482323,-0.3949276,0.07339282
A092,4,Day6,146.16,-1.3833519,-0.5185454,0.07339282
A093,1,Day0,1.0,0.56161565,1.615065,0.07339282
A093,2,Day1,22.09,0.19028424,0.5044622,0.07339282
A093,3,Day3,70.22,0.67098945,0.049923185,0.07339282
A093,4,Day6,140.95,0.5149613,-0.3427646,0.07339282
A094,1,Day0,1.0,-0.70889944,-0.15748604,0.07339282
A094,2,Day1,22.98,-0.17624284,-0.38972417,0.07339282
A094,3,Day3,76.21,-1.6861137,-1.3148012,0.07339282
A094,4,Day6,149.99,-1.1788263,-1.2071853,0.07339282
A095,1,Day0,1.0,1.5409168,1.0626495,0.07339282
A095,2,Day1,29.71,-0.27584857,-0.13491769,0.07339282
A095,3,Day3,78.76,-0.5608494,-0.06304094,0.07339282
A095,4,Day6,148.79,-0.7580661,-0.4148814,0.07339282
A096,1,Day0,1.0,-0.45961466,1.2504172,0.07339282
A096,2,Day1,24.49,-1.2598481,0.58374166,0.07339282
A096,3,Day3,71.19,-2.12857,0.73835707,0.07339282
A096,4,Day6,143.66,-1.4557325,0.8100288,0.07339282
A097,1,Day0,1.0,0.24293853,-0.40680176,0.07339282
A097,2,Day1,24.37,-0.5491651,-0.94182014,0.07339282
A097,3,Day3,70.83,0.7895957,-0.5738898,0.07339282
A097,4,Day6,144.85,0.086306766,-1.1440835,0.07339282
A098,1,Day0,1.0,0.6008492,0.7665425,0.07339282
A098,2,Day1,25.77,0.3483601,0.114959404,0.07339282
A098,3,Day3,78.84,1.1610224,0.95175016,0.07339282
A098,4,Day6,146.29,-0.6924288,0.45389512,0.07339282
A099,1,Day0,1.0,1.1219946,1.5797538,0.07339282
A099,2,Day1,28.75,1.2483166,1.2974577,0.07339282
A099,3,Day3,78.57,-0.21441267,0.8571293,0.07339282
A099,4,Day6,143.51,0.8498486,1.3113091,0.07339282
A100,1,Day0,1.0,-0.06985861,0.9444509,0.07339282
A100,2,Day1,31.14,0.79101294,0.846625,0.07339282
A100,3,Day3,75.34,0.2661362,0.7006375,0.07339282
A100,4,Day6,146.8,0.06164612,0.07112359,0.07339282
A101,1,Day0,1.0,-1.0356112,-0.32381263,0.07339282
A101,2,Day1,29.12,-0.70036155,-0.8049391,0.07339282
A101,3,Day3,75.21,-1.5118189,-2.0506682,0.07339282
A101,4,Day6,150.22,-1.1640573,-1.7474207,0.07339282
A102,1,Day0,1.0,-0.044223346,0.7623854,0.07339282
A102,2,Day1,29.13,1.0700971,0.3141226,0.07339282
A102,3,Day3,75.27,-0.4782194,-0.36135077,0.07339282
A102,4,Day6,150.41,-0.5023084,-0.24279404,0.07339282
A103,1,Day0,1.0,1.7611793,-1.8178651,0.07339282
A103,2,Day1,27.26,-1.0142955,-2.9925668,0.07339282
A103,3,Day3,80.24,-1.7227138,-2.6570177,0.07339282
A103,4,Day6,149.72,-0.96813315,-2.9122403,0.07339282
A104,1,Day0,1.0,1.7474676,1.6208797,0.07339282
A104,2,Day1,22.6,0.04523211,0.573565,0.07339282
A104,3,Day3,72.62,0.22338806,-0.157371,0.07339282
A104,4,Day6,145.78,-1.7777252,-1.8637626,0.07339282
