composite_ID,UID,test,paradigm,theta,Age
A013_2,A013,2,ICR,-0.72638094,22.0
A013_3,A013,3,ICR,1.0730467,22.0
A013_4,A013,4,ICR,-1.4795078,22.0
A014_1,A014,1,ICR,0.5662233,22.0
A014_2,A014,2,ICR,1.1082016,22.0
A014_3,A014,3,ICR,0.03844115,22.0
A014_4,A014,4,ICR,-0.97037005,22.0
A015_1,A015,1,ICR,1.659924,23.0
A015_2,A015,2,ICR,1.7755525,23.0
A015_3,A015,3,ICR,1.6194718,23.0
A015_4,A015,4,ICR,-0.014565401,23.0
A016_1,A016,1,ICR,1.3016679,21.0
A016_2,A016,2,ICR,1.4167509,21.0
A016_3,A016,3,ICR,-0.14719886,21.0
A016_4,A016,4,ICR,-1.0612006,21.0
A017_1,A017,1,ICR,-0.64893633,24.0
A017_2,A017,2,ICR,0.68695086,24.0
A017_3,A017,3,ICR,0.23617989,24.0
A017_4,A017,4,ICR,1.1511014,24.0
A018_1,A018,1,ICR,1.2432209,23.0
A018_2,A018,2,ICR,0.6348993,23.0
A018_3,A018,3,ICR,-0.3062067,23.0
A018_4,A018,4,ICR,0.14981274,23.0
A019_1,A019,1,ICR,-0.40954873,20.0
A019_2,A019,2,ICR,-0.72419274,20.0
A019_3,A019,3,ICR,-0.7890297,20.0
A019_4,A019,4,ICR,-0.43077806,20.0
A020_1,A020,1,ICR,-0.19779886,26.0
A020_2,A020,2,ICR,0.26416394,26.0
A020_3,A020,3,ICR,-0.7218849,26.0
A020_4,A020,4,ICR,-2.0933332,26.0
A021_1,A021,1,ICR,1.0224657,28.0
A021_2,A021,2,ICR,0.23119716,28.0
A021_3,A021,3,ICR,-0.09928185,28.0
A021_4,A021,4,ICR,0.77135384,28.0
A022_1,A022,1,ICR,0.08487166,28.0
A022_2,A022,2,ICR,0.80793685,28.0
A022_3,A022,3,ICR,0.55696887,28.0
A022_4,A022,4,ICR,0.63891745,28.0
A023_1,A023,1,ICR,0.8567801,26.0
A023_2,A023,2,ICR,0.26234666,26.0
A023_3,A023,3,ICR,0.40942284,26.0
A023_4,A023,4,ICR,0.22926755,26.0
A024_1,A024,1,ICR,-0.18276915,29.0
A024_2,A024,2,ICR,0.632458,29.0
A024_3,A024,3,ICR,-0.5480257,29.0
A024_4,A024,4,ICR,-1.3661549,29.0
A025_1,A025,1,ICR,1.6351862,26.0
A025_2,A025,2,ICR,1.7770549,26.0
A025_3,A025,3,ICR,-0.15167001,26.0
A025_4,A025,4,ICR,-0.76431817,26.0
A026_1,A026,1,ICR,1.1173441,29.0
A026_2,A026,2,ICR,0.28154746,29.0
A026_3,A026,3,ICR,0.8135648,29.0
A026_4,A026,4,ICR,-0.47460285,29.0
A027_1,A027,1,ICR,0.56165755,28.0
A027_2,A027,2,ICR,0.6846959,28.0
A027_3,A027,3,ICR,-0.94683594,28.0
A027_4,A027,4,ICR,-0.47532603,28.0
A028_1,A028,1,ICR,2.2565992,26.0
A028_2,A028,2,ICR,-0.061017342,26.0
A028_3,A028,3,ICR,0.45241958,26.0
A028_4,A028,4,ICR,-0.528568,26.0
A029_1,A029,1,ICR,1.9823364,25.0
A029_2,A029,2,ICR,0.30846474,25.0
A029_3,A029,3,ICR,1.6233219,25.0
A029_4,A029,4,ICR,0.09506731,25.0
A030_1,A030,1,ICR,0.42693013,31.0
A030_2,A030,2,ICR,0.69716036,31.0
A030_3,A030,3,ICR,0.42517364,31.0
A030_4,A030,4,ICR,0.6671635,31.0
A031_1,A031,1,ICR,1.4814626,32.0
A031_2,A031,2,ICR,0.110624164,32.0
A031_3,A031,3,ICR,-0.1332235,32.0
A031_4,A031,4,ICR,-1.0655026,32.0
A032_1,A032,1,ICR,0.9454206,33.0
A032_2,A032,2,ICR,-0.39917567,33.0
A032_3,A032,3,ICR,0.39128196,33.0
A032_4,A032,4,ICR,1.7303392,33.0
A033_1,A033,1,ICR,0.14129296,32.0
A033_2,A033,2,ICR,0.38250932,32.0
A033_3,A033,3,ICR,0.8144951,32.0
A033_4,A033,4,ICR,-0.39993677,32.0
A034_1,A034,1,ICR,1.903067,33.0
A034_2,A034,2,ICR,1.1695625,33.0
A034_3,A034,3,ICR,0.31177452,33.0
A034_4,A034,4,ICR,-0.009669799,33.0
A035_1,A035,1,ICR,-0.5415187,34.0
A035_2,A035,2,ICR,1.0356543,34.0
A035_3,A035,3,ICR,-0.39255425,34.0
A035_4,A035,4,ICR,-0.92812026,34.0
A036_1,A036,1,ICR,1.2325392,30.0
A036_2,A036,2,ICR,-0.050014295,30.0
A036_3,A036,3,ICR,-0.21859926,30.0
A036_4,A036,4,ICR,-1.234061,30.0
A037_1,A037,1,ICR,1.258741,31.0
A037_2,A037,2,ICR,0.58575517,31.0
A037_3,A037,3,ICR,0.20267418,31.0
A037_4,A037,4,ICR,-0.4808938,31.0
A038_1,A038,1,ICR,1.1368554,32.0
A038_2,A038,2,ICR,-0.15929624,32.0
A038_3,A038,3,ICR,0.93710977,32.0
A038_4,A038,4,ICR,-0.112696126,32.0
A039_1,A039,1,ICR,2.1386986,31.0
A039_2,A039,2,ICR,0.99968016,31.0
A039_3,A039,3,ICR,0.8152755,31.0
A039_4,A039,4,ICR,0.87478536,31.0
A040_1,A040,1,ICR,-0.49256238,38.0
A040_2,A040,2,ICR,-0.38509324,38.0
A040_3,A040,3,ICR,-1.3090754,38.0
A040_4,A040,4,ICR,-1.4733402,38.0
A041_1,A041,1,ICR,1.4855708,35.0
A041_2,A041,2,ICR,-0.81649363,35.0
A041_3,A041,3,ICR,0.18753728,35.0
A041_4,A041,4,ICR,0.48835725,35.0
A042_1,A042,1,ICR,-0.6895237,38.0
A042_2,A042,2,ICR,-0.9664004,38.0
A042_3,A042,3,ICR,-0.6056565,38.0
A042_4,A042,4,ICR,-1.1014373,38.0
A043_1,A043,1,ICR,0.899163,38.0
A043_2,A043,2,ICR,0.034321833,38.0
A043_3,A043,3,ICR,0.037855305,38.0
A043_4,A043,4,ICR,-0.11178535,38.0
A044_1,A044,1,ICR,-0.4346427,38.0
A044_2,A044,2,ICR,-0.3329901,38.0
A044_3,A044,3,ICR,-1.7054782,38.0
A044_4,A044,4,ICR,-0.9379744,38.0
A045_1,A045,1,ICR,-0.45263797,37.0
A045_2,A045,2,ICR,-0.82860243,37.0
A045_3,A045,3,ICR,-0.43453157,37.0
A045_4,A045,4,ICR,-0.81670034,37.0
A046_1,A046,1,ICR,-0.7534626,38.0
A046_2,A046,2,ICR,-1.6854773,38.0
A046_3,A046,3,ICR,-2.0226305,38.0
A046_4,A046,4,ICR,-1.145097,38.0
A047_1,A047,1,ICR,-0.2947177,36.0
A047_2,A047,2,ICR,-0.074646346,36.0
A047_3,A047,3,ICR,-1.0434045,36.0
A047_4,A047,4,ICR,-1.3391343,36.0
A048_1,A048,1,ICR,1.3396158,38.0
A048_2,A048,2,ICR,-0.045005087,38.0
A048_3,A048,3,ICR,-0.04359406,38.0
A048_4,A048,4,ICR,0.53243536,38.0
A049_1,A049,1,ICR,2.1185856,35.0
A049_2,A049,2,ICR,-0.50056607,35.0
A049_3,A049,3,ICR,0.64186585,35.0
A049_4,A049,4,ICR,-0.14295964,35.0
A050_1,A050,1,ICR,-0.081971474,41.0
A050_2,A050,2,ICR,-0.26677322,41.0
A050_3,A050,3,ICR,-0.98047173,41.0
A050_4,A050,4,ICR,-0.5670056,41.0
A051_1,A051,1,ICR,1.7813605,41.0
A051_2,A051,2,ICR,0.20063995,41.0
A051_3,A051,3,ICR,-0.3531045,41.0
A051_4,A051,4,ICR,-0.077873945,41.0
A052_1,A052,1,ICR,0.66354376,43.0
