composite_ID,UID,test,paradigm,theta,Age,Age_c,TSVR_hours,log_TSVR
A062_1,A062,1,IFR,1.5698215,48.0,3.4299999999999997,1.0,0.6931471805599453
A062_2,A062,2,IFR,0.29121718,48.0,3.4299999999999997,44.69,3.8218794555751803
A062_3,A062,3,IFR,-0.99807596,48.0,3.4299999999999997,92.72,4.540311613639595
A062_4,A062,4,IFR,-1.3407863,48.0,3.4299999999999997,149.18,5.011834574671738
A063_1,A063,1,IFR,1.0055077,45.0,0.4299999999999997,1.0,0.6931471805599453
A063_2,A063,2,IFR,0.5848471,45.0,0.4299999999999997,21.98,3.1346242724206097
A063_3,A063,3,IFR,-0.0073365774,45.0,0.4299999999999997,69.99,4.262539022051294
A063_4,A063,4,IFR,-1.0480841,45.0,0.4299999999999997,141.09,4.956460659649984
A064_1,A064,1,IFR,0.9337908,47.0,2.4299999999999997,1.0,0.6931471805599453
A064_2,A064,2,IFR,1.0231495,47.0,2.4299999999999997,37.65,3.654546775033431
A064_3,A064,3,IFR,0.12078351,47.0,2.4299999999999997,82.99,4.430697744137536
A064_4,A064,4,IFR,-0.82732314,47.0,2.4299999999999997,156.21,5.057582491203423
A065_1,A065,1,IFR,-1.6313238,47.0,2.4299999999999997,1.0,0.6931471805599453
A065_2,A065,2,IFR,0.011327019,47.0,2.4299999999999997,32.31,3.5058576522055884
A065_3,A065,3,IFR,-1.3355386,47.0,2.4299999999999997,106.41,4.676653287609955
A065_4,A065,4,IFR,-2.3671904,47.0,2.4299999999999997,187.43,5.238726585134399
A066_1,A066,1,IFR,0.2606496,47.0,2.4299999999999997,1.0,0.6931471805599453
A066_2,A066,2,IFR,-0.04822852,47.0,2.4299999999999997,23.35,3.192531849528599
A066_3,A066,3,IFR,-0.73158157,47.0,2.4299999999999997,73.79,4.314684186203576
A066_4,A066,4,IFR,-1.053569,47.0,2.4299999999999997,164.93,5.111566012674697
A067_1,A067,1,IFR,0.53448457,48.0,3.4299999999999997,1.0,0.6931471805599453
A067_2,A067,2,IFR,-1.4098325,48.0,3.4299999999999997,29.91,3.431079756144025
A067_3,A067,3,IFR,-1.5651689,48.0,3.4299999999999997,73.19,4.306629370201435
A067_4,A067,4,IFR,-1.2525647,48.0,3.4299999999999997,144.19,4.978043229495596
A068_1,A068,1,IFR,1.1313976,49.0,4.43,1.0,0.6931471805599453
