composite_ID,UID,test,location_type,ctt_mean_score,n_items,TSVR_hours
A041_4,A041,4,source,0.8823529411764706,17,141.84
A042_1,A042,1,destination,0.3333333333333333,15,1.0
A042_1,A042,1,source,0.5294117647058824,17,1.0
A042_2,A042,2,destination,0.5,15,28.93
A042_2,A042,2,source,0.4264705882352941,17,28.93
A042_3,A042,3,destination,0.5,15,72.17
A042_3,A042,3,source,0.5,17,72.17
A042_4,A042,4,destination,0.4666666666666667,15,146.02
A042_4,A042,4,source,0.36764705882352944,17,146.02
A043_1,A043,1,destination,0.65,15,1.0
A043_1,A043,1,source,0.8529411764705882,17,1.0
A043_2,A043,2,destination,0.4666666666666667,15,25.62
A043_2,A043,2,source,0.8235294117647058,17,25.62
A043_3,A043,3,destination,0.6166666666666667,15,64.94
A043_3,A043,3,source,0.6764705882352942,17,64.94
A043_4,A043,4,destination,0.2833333333333333,15,149.33
A043_4,A043,4,source,0.6470588235294118,17,149.33
A044_1,A044,1,destination,0.6666666666666666,15,1.0
A044_1,A044,1,source,0.45588235294117646,17,1.0
A044_2,A044,2,destination,0.5166666666666667,15,47.66
A044_2,A044,2,source,0.5147058823529411,17,47.66
A044_3,A044,3,destination,0.26666666666666666,15,91.63
A044_3,A044,3,source,0.4117647058823529,17,91.63
A044_4,A044,4,destination,0.35,15,155.27
A044_4,A044,4,source,0.36764705882352944,17,155.27
A045_1,A045,1,destination,0.5333333333333333,15,1.0
A045_1,A045,1,source,0.5588235294117647,17,1.0
A045_2,A045,2,destination,0.4166666666666667,15,24.66
A045_2,A045,2,source,0.5,17,24.66
A045_3,A045,3,destination,0.23333333333333334,15,72.23
A045_3,A045,3,source,0.45588235294117646,17,72.23
A045_4,A045,4,destination,0.4166666666666667,15,151.52
A045_4,A045,4,source,0.5,17,151.52
A046_1,A046,1,destination,0.23333333333333334,15,1.0
A046_1,A046,1,source,0.5735294117647058,17,1.0
A046_2,A046,2,destination,0.16666666666666666,15,24.32
A046_2,A046,2,source,0.3235294117647059,17,24.32
A046_3,A046,3,destination,0.38333333333333336,15,73.05
