UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A023,T4,Common,145.07,0.7166849,-0.19640866,0.8146015752637613,0.8986536508004822,0.0840520755367209
A023,T1,Congruent,1.0,0.3593427,-0.53677994,0.4439053474818373,0.3686585735205565,-0.07524677396128082
A023,T2,Congruent,25.63,0.23052591,-0.60698503,0.31042457132310447,0.252545969155728,-0.05787860216737645
A023,T3,Congruent,72.2,0.8105363,-0.45389134,0.9114350221915769,0.5057485084263377,-0.40568651376523923
A023,T4,Congruent,145.07,0.73241305,-0.5553943,0.8304832142320498,0.3378721758649949,-0.49261103836705494
A023,T1,Incongruent,1.0,0.6409365,-0.23518662,0.7397917722656043,0.8618254808596038,0.12203370859399942
A023,T2,Incongruent,25.63,0.9657876,-0.5212391,1.077893107769977,0.3895524223334214,-0.6883406854365555
A023,T3,Incongruent,72.2,0.35428703,-0.7865364,0.44145025940441773,-0.04845380397071069,-0.48990406337512843
A023,T4,Incongruent,145.07,-0.029036624,-0.73089755,0.04249135377714404,0.04340601791364947,0.0009146641365054275
A024,T1,Common,1.0,0.22889724,-0.6836894,0.31024403862730004,0.10882469551079592,-0.2014193431165041
A024,T2,Common,29.57,0.36377516,-0.31257537,0.44970368686409573,0.7103600786007275,0.26065639173663174
A024,T3,Common,91.47,0.088006705,-0.43025056,0.16456753018919582,0.5196214247782609,0.3550538945890651
A024,T4,Common,145.65,-0.55584866,-0.9618955,-0.5011592449440039,-0.3421170620440338,0.15904218289997007
A024,T1,Congruent,1.0,0.47844794,-0.5529413,0.5673229538340229,0.34192920675131566,-0.2253937470827072
A024,T2,Congruent,29.57,0.017539348,-0.52084565,0.0897265426954693,0.39501238790359383,0.3052858452081245
A024,T3,Congruent,91.47,0.29259917,-0.5644715,0.37474527768058186,0.32285934228924673,-0.051885935391335125
A024,T4,Congruent,145.65,0.053292714,-0.51859456,0.12677440768238016,0.39873547867321785,0.27196107099083766
A024,T1,Incongruent,1.0,-0.25018412,-0.63189185,-0.18767644845916645,0.20686457191928384,0.3945410203784503
A024,T2,Incongruent,29.57,0.23450464,-0.38149142,0.31678210827639136,0.6202760442909664,0.303493936014575
A024,T3,Incongruent,91.47,0.17008209,-0.6993244,0.2497318498915584,0.09553333426415257,-0.15419851562740583
A024,T4,Incongruent,145.65,-0.98404473,-1.1861862,-0.9514702367980502,-0.7082762022431436,0.24319403455490662
A025,T1,Common,1.0,1.1146866,-0.14081731,1.2261231725692852,0.9887611684783681,-0.237362004090917
A025,T2,Common,23.33,-0.044434816,-0.6132905,0.027627044076967876,0.2229336373921088,0.19530659331514094
