item_name,Difficulty,Overall_Discrimination,Discrim_Common,Discrim_Congruent,Discrim_Incongruent
TC_IRE-O-i1,1.5304529666900635,1.316653,1.316653,0.0,0.0
TC_IRE-O-i2,1.3227752447128296,1.6741384,1.6741384,0.0,0.0
TC_IRE-O-i3,0.748054027557373,1.6036968,0.0,1.6036968,0.0
TC_IRE-O-i4,1.0545754432678223,1.2710478,0.0,1.2710478,0.0
TC_IRE-O-i5,1.3361207246780396,1.4208126,0.0,0.0,1.4208126
TC_IRE-O-i6,1.3712888956069946,1.8371203,0.0,0.0,1.8371203
TC_IRE-U-i1,-0.640379786491394,1.5130639,1.5130639,0.0,0.0
TC_IRE-U-i2,-0.7633672952651978,1.458788,1.458788,0.0,0.0
TC_IRE-U-i3,-0.7442775368690491,1.7205708,0.0,1.7205708,0.0
TC_IRE-U-i4,-0.7047473788261414,1.3329418,0.0,1.3329418,0.0
TC_IRE-U-i5,-0.38586893677711487,1.6735367,0.0,0.0,1.6735367
TC_IRE-U-i6,-0.4522988498210907,1.400124,0.0,0.0,1.400124
