UID,TEST,composite_ID,n_ratings,mean_rating,sd_rating,full_scale_usage,extremes_only,pct_extremes,restricted_range,scale_type
A032,T2,A032_T2,105,0.5504761904761906,0.3628258954174681,True,False,35.23809523809524,False,0-1
A032,T3,A032_T3,105,0.5866666666666668,0.36854066562894006,False,False,41.904761904761905,False,0-1
A032,T4,A032_T4,105,0.6533333333333333,0.32923191035142807,True,False,41.904761904761905,False,0-1
A033,T1,A033_T1,105,0.7066666666666667,0.3426136701652854,True,False,54.285714285714285,False,0-1
A033,T2,A033_T2,105,0.6647619047619048,0.3352272725525752,True,False,41.904761904761905,False,0-1
A033,T3,A033_T3,105,0.6761904761904762,0.333958597241038,True,False,45.714285714285715,False,0-1
A033,T4,A033_T4,105,0.5104761904761905,0.32187658372020833,True,False,23.809523809523807,False,0-1
A034,T1,A034_T1,105,0.8761904761904762,0.2035512382078864,False,False,66.66666666666666,False,0-1
A034,T2,A034_T2,105,0.8685714285714284,0.1967905755168293,True,False,60.952380952380956,True,0-1
A034,T3,A034_T3,105,0.7828571428571429,0.25012649860844904,True,False,47.61904761904761,False,0-1
A034,T4,A034_T4,105,0.7238095238095237,0.258023184459887,True,False,31.428571428571427,False,0-1
A035,T1,A035_T1,105,0.72,0.286323160748397,True,False,41.904761904761905,False,0-1
A035,T2,A035_T2,105,0.7142857142857143,0.2674139190125163,True,False,38.095238095238095,False,0-1
A035,T3,A035_T3,105,0.5961904761904762,0.2828170566432383,True,False,22.857142857142858,False,0-1
A035,T4,A035_T4,105,0.5371428571428571,0.2694817399440365,True,False,14.285714285714285,False,0-1
A036,T1,A036_T1,105,0.4647619047619049,0.2350201419457094,True,False,5.714285714285714,False,0-1
A036,T2,A036_T2,105,0.3695238095238096,0.1907997252288176,False,False,0.0,True,0-1
A036,T3,A036_T3,105,0.38666666666666677,0.221280544479354,True,False,1.9047619047619049,False,0-1
A036,T4,A036_T4,105,0.3580952380952382,0.19261654598410818,False,False,0.0,True,0-1
A037,T1,A037_T1,105,0.7447619047619047,0.3153172106160043,True,False,53.333333333333336,False,0-1
A037,T2,A037_T2,105,0.6666666666666669,0.2955758436765078,True,False,34.285714285714285,False,0-1
A037,T3,A037_T3,105,0.5371428571428571,0.34288888741930124,True,False,25.71428571428571,False,0-1
A037,T4,A037_T4,105,0.4704761904761906,0.3254078201781675,True,False,20.0,False,0-1
A038,T1,A038_T1,105,0.7942857142857142,0.2333313896906415,True,False,47.61904761904761,False,0-1
A038,T2,A038_T2,105,0.7523809523809524,0.28354733814748034,True,False,47.61904761904761,False,0-1
A038,T3,A038_T3,105,0.7619047619047619,0.2896240427999728,True,False,50.476190476190474,False,0-1
A038,T4,A038_T4,105,0.7047619047619049,0.3208265968017918,True,False,45.714285714285715,False,0-1
A039,T1,A039_T1,105,0.895238095238095,0.16583465797850605,False,False,68.57142857142857,True,0-1
A039,T2,A039_T2,105,0.8552380952380954,0.2056260833838948,False,False,61.904761904761905,False,0-1
A039,T3,A039_T3,105,0.7466666666666666,0.2651384783437001,True,False,43.80952380952381,False,0-1
A039,T4,A039_T4,105,0.6876190476190478,0.28542207279253684,True,False,34.285714285714285,False,0-1
A040,T1,A040_T1,105,0.6495238095238095,0.3532498938829914,True,False,43.80952380952381,False,0-1
A040,T2,A040_T2,105,0.6361904761904762,0.3499996760607506,True,False,43.80952380952381,False,0-1
A040,T3,A040_T3,105,0.42666666666666675,0.326676384695099,False,False,22.857142857142858,False,0-1
A040,T4,A040_T4,105,0.33714285714285724,0.2872719444499014,False,False,15.238095238095239,False,0-1
A041,T1,A041_T1,105,0.7752380952380953,0.3167636800912367,True,False,62.857142857142854,False,0-1
A041,T2,A041_T2,105,0.5752380952380953,0.38415794181955754,False,False,43.80952380952381,False,0-1
A041,T3,A041_T3,105,0.6933333333333334,0.3219780136435425,True,False,46.666666666666664,False,0-1
A041,T4,A041_T4,105,0.6304761904761904,0.36387433977596206,False,False,45.714285714285715,False,0-1
A042,T1,A042_T1,105,0.5238095238095238,0.3187845397230548,True,False,25.71428571428571,False,0-1
A042,T2,A042_T2,105,0.47047619047619055,0.27461620301234246,True,False,14.285714285714285,False,0-1
A042,T3,A042_T3,105,0.481904761904762,0.3019873704016215,True,False,20.0,False,0-1
A042,T4,A042_T4,105,0.43809523809523815,0.2663263134116107,True,False,9.523809523809524,False,0-1
A043,T1,A043_T1,105,0.9123809523809522,0.16312147859814582,True,False,73.33333333333333,True,0-1
A043,T2,A043_T2,105,0.8799999999999999,0.18639435920342962,False,False,66.66666666666666,True,0-1
A043,T3,A043_T3,105,0.8152380952380952,0.20599627938431658,False,False,50.476190476190474,False,0-1
A043,T4,A043_T4,105,0.7219047619047618,0.2640277591397766,True,False,41.904761904761905,False,0-1
