UID,test,LocationType,theta,se,TSVR_hours,Segment,Days_within,theta_model_averaged
A073,2,Source,0.3522422,0.5,66.66,Late,0.5324999999999998,-0.10393240698689506
A073,3,Source,1.3783715,0.5,66.9,Late,0.5425000000000001,-0.10506660748327502
A073,4,Source,1.4486346,0.5,140.12,Late,3.5933333333333337,-0.3622551682747744
A074,1,Source,1.0531274,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A074,2,Source,0.28312021,0.5,29.33,Early,1.2220833333333332,0.11483651583988089
A074,3,Source,-0.56265223,0.5,73.02,Late,0.7974999999999998,-0.13310788060979395
A074,4,Source,-0.6709876,0.5,147.21,Late,3.88875,-0.38007413967989023
A075,1,Source,1.2248234,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A075,2,Source,0.43895453,0.5,28.68,Early,1.195,0.11966802217399919
A075,3,Source,-1.422566,0.5,71.37,Late,0.7287500000000001,-0.12568924693873246
A075,4,Source,-0.6957722,0.5,244.53,Late,7.94375,-0.5342477685719782
A076,1,Source,0.15540236,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A076,2,Source,-1.0829679,0.5,27.3,Early,1.1375,0.1302196553420716
A076,3,Source,-1.1610296,0.5,74.88,Late,0.8749999999999997,-0.14131234661282588
A076,4,Source,-1.1055614,0.5,149.28,Late,3.975,-0.38508289818508273
A077,1,Source,0.5334684,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A077,2,Source,-0.17786074,0.5,53.88,Late,0.0,-0.03956081819521317
A077,3,Source,-0.0657532,0.5,78.36,Late,1.0199999999999998,-0.15630194107555992
A077,4,Source,-0.39172974,0.5,149.75,Late,3.994583333333333,-0.3862071371777597
A078,1,Source,-0.5279406,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A078,2,Source,0.1811822,0.5,26.17,Early,1.0904166666666668,0.1389792494418717
A078,3,Source,-0.7775617,0.5,72.3,Late,0.7674999999999997,-0.12988495281223655
A078,4,Source,-1.4361522,0.5,140.08,Late,3.5916666666666672,-0.36215234233849203
A079,1,Source,0.019097133,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A079,2,Source,0.19691332,0.5,26.11,Early,1.0879166666666666,0.13944436063301155
A079,3,Source,-0.70234376,0.5,74.0,Late,0.8383333333333333,-0.13743066377268176
A079,4,Source,-0.62206274,0.5,194.42,Late,5.855833333333333,-0.47441160329962206
A080,1,Source,0.10537331,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A080,2,Source,0.5328905,0.5,29.03,Early,1.2095833333333337,0.11706644184024316
A080,3,Source,0.045848988,0.5,72.87,Late,0.7912500000000001,-0.1324462301256785
A080,4,Source,-0.66487795,0.5,145.77,Late,3.8287500000000008,-0.37652817189225946
A081,1,Source,0.37206882,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A081,2,Source,-0.42201942,0.5,31.39,Early,1.3079166666666666,0.09972475925217297
A081,3,Source,0.83210707,0.5,80.13,Late,1.0937499999999998,-0.16377411799078462
A081,4,Source,-0.09271791,0.5,154.53,Late,4.1937500000000005,-0.3974093370852637
A082,1,Source,0.071322605,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A082,2,Source,1.181799,0.5,27.97,Early,1.1654166666666663,0.12502591370767688
A082,3,Source,1.0123066,0.5,75.71,Late,0.909583333333333,-0.14492833747034317
A082,4,Source,-0.5707041,0.5,170.25,Late,4.84875,-0.43115454868544156
A083,1,Source,1.2475034,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A083,2,Source,0.6259196,0.5,25.15,Early,1.0479166666666666,0.1470975695713476
A083,3,Source,0.113821276,0.5,74.3,Late,0.8508333333333331,-0.1387539647409127
A083,4,Source,0.19219941,0.5,144.91,Late,3.7929166666666654,-0.3744045095662367
A084,1,Source,0.8040474,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A084,2,Source,0.14113443,0.5,27.25,Early,1.1354166666666667,0.13060724800135481
A084,3,Source,-0.11596396,0.5,91.97,Late,1.5870833333333332,-0.21083018006710452
A084,4,Source,-0.59100777,0.5,162.51,Late,4.52625,-0.41511431229850054
