UID,TEST,LocationType,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A044,T1,Destination,1.0,1.1713588,-0.26495937,1.400364439809579,-0.27150019754694305,-0.5587328492412306
A044,T2,Destination,47.66,0.16294117,-0.8594988,0.17153908685024702,-0.898194850969116,-0.574137113897275
A044,T3,Destination,91.63,-1.3014706,-1.2835374,-1.6129460873608088,-1.345167263656065,-0.32574728235924655
A044,T4,Destination,155.27,-1.0086085,-0.90289384,-1.2560737333928291,-0.9439368794718198,-0.19310007621280717
A045,T1,Destination,1.0,0.16803594,0.23310524,0.17774741002632696,0.2535018669011622,0.09744108893226561
A045,T2,Destination,24.66,-0.48629287,0.26042888,-0.6195966733964406,0.282303285673391,0.34203197748831476
A045,T3,Destination,72.23,-0.9015519,0.29736727,-1.1256179972296028,0.3212394610571214,0.5093353821361699
A045,T4,Destination,151.52,-0.6140947,-0.72731435,-0.7753318809002985,-0.7588613031831423,-0.22221188659242744
A046,T1,Destination,1.0,-0.82893044,0.37660778,-1.037123817276678,0.40476563517722347,0.5328925256081012
A046,T2,Destination,24.32,-1.229845,0.36936802,-1.5256654304360346,0.39713431813562755,0.6679768874735472
A046,T3,Destination,73.05,-0.9712328,0.024929734,-1.2105289051606987,0.034067343300842746,0.3656909879958574
A046,T4,Destination,147.94,-0.8551873,-0.5020506,-1.0691195840078722,-0.5214143305999631,0.000530927500650813
A047,T1,Destination,1.0,-0.9314449,0.5871213,-1.1620446474419888,0.6266646225279559,0.6983102371117486
A047,T2,Destination,23.46,0.0011731267,-0.041635565,-0.025586257840189426,-0.036098090448014444,-0.013796716564528303
A047,T3,Destination,76.85,-0.31743395,0.10319561,-0.4138306139818195,0.11656617106505474,0.18635741597915245
A047,T4,Destination,144.22,0.5841509,-0.5746598,0.6848117426814972,-0.5979505452447366,-0.545206357990187
A048,T1,Destination,1.0,1.7055423,0.48314616,2.0513033052204817,0.5170660643182474,-0.28362226491813286
A048,T2,Destination,23.91,-0.21394376,0.35914424,-0.2877207905601699,0.38635759258898966,0.308072024853795
A048,T3,Destination,81.15,0.59561753,-0.1659016,0.6987846099121148,-0.16708496164085127,-0.29728746941164375
A048,T4,Destination,146.3,0.05674492,-0.032904245,0.04213174557914344,-0.026894543491813253,-0.027758607410787263
A049,T1,Destination,1.0,0.7261273,1.268603,0.8578196261730774,1.3450037540386333,0.5413445616678105
A049,T2,Destination,27.12,-0.3937213,-0.79708076,-0.5067919298109389,-0.8324009776425121,-0.34191286430765344
A049,T3,Destination,111.38,0.6229021,-0.37368485,0.732032711059051,-0.3861060143667953,-0.4348373434872249
A049,T4,Destination,168.86,1.4647734,-0.5662929,1.7579100525418963,-0.5891311276735285,-0.846567740342203
A050,T1,Destination,1.0,-0.91308653,-0.0120328665,-1.1396737270773696,-0.004894351989795479,0.32267268774817054
A050,T2,Destination,24.73,-0.0066963215,-0.6759028,-0.035175714801547964,-0.7046691976920957,-0.4019446955856964
A050,T3,Destination,93.39,-0.35299146,-1.7570821,-0.4571598542452061,-1.8443232769862608,-0.9477206354845858
A050,T4,Destination,148.69,0.8914575,-2.2046497,1.0592857006702447,-2.31609723815986,-1.6567028236244414
A051,T1,Destination,1.0,1.8028108,1.5559939,2.1698315769290244,1.6479379773788523,0.3436976427912459
A051,T2,Destination,17.16,0.049381785,1.224602,0.03315926563027323,1.2986229926394626,0.7497819710587871
A051,T3,Destination,65.63,0.1110302,0.14085884,0.10828204518913355,0.15626638888174285,0.06043330316942806
A051,T4,Destination,146.99,0.03827322,0.25162408,0.019622724914501847,0.273022284605974,0.1540203377611897
A052,T1,Destination,1.0,-0.4868811,0.41121083,-0.6203134715918187,0.44124016543184447,0.4351608320700455
A052,T2,Destination,31.76,0.9826763,0.39483026,1.1704420021586732,0.4239736644715841,-0.08644217405050042
A052,T3,Destination,80.98,-0.23479229,-0.2530656,-0.3131261399647942,-0.25896316183169527,-0.061964770876427225
A052,T4,Destination,153.27,0.060775243,-0.15629846,0.04704296781056666,-0.15696244294757533,-0.10520699785332947
A053,T1,Destination,1.0,0.830601,0.27674448,0.9851279233093218,0.2995013027794639,-0.10628348391996026
A053,T2,Destination,32.71,0.35691914,-0.14668256,0.40791441425461294,-0.14682647413917807,-0.2023595268215405
A053,T3,Destination,78.28,-0.111180075,-0.0752174,-0.1624962628101675,-0.07149617404796271,0.004614135234092029
A053,T4,Destination,148.9,-0.24006987,-0.19842967,-0.3195572295385367,-0.20137228814355634,-0.026456699882235535
A054,T1,Destination,1.0,0.4994956,1.7236238,0.581653511599819,1.824634015997676,0.9006489730555375
A054,T2,Destination,16.9,-0.12840416,0.7477987,-0.1834849798851819,0.7960321403488948,0.5178188182181076
A054,T3,Destination,72.83,-0.02643241,0.39130184,-0.059225478704474886,0.42025441249694573,0.2626231917827914
A054,T4,Destination,136.83,0.17176248,0.73316056,0.18228845204561125,0.7806023074208327,0.4043187820169966
A055,T1,Destination,1.0,-0.5361741,0.570045,-0.6803803390497233,0.6086647635274637,0.5502047601618933
