UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A058,T3,Source,0.24483971,66.28,-0.60718966,0.31074223385490984,-0.6327923795843293,-0.9435346134392392
A058,T4,Source,-0.613019,143.48,-1.5838706,-0.686028522651813,-1.674135192849596,-0.988106670197783
A059,T1,Source,0.78058815,1.0,0.23920143,0.93324378523054,0.26963464922945657,-0.6636091360010834
A059,T2,Source,0.78051406,30.4,-0.053322088,0.9331576979244501,-0.04225560141920752,-0.9754132993436576
A059,T3,Source,1.2624742,79.78,-0.57601714,1.4931610734848453,-0.5995560601847025,-2.092717133669548
A059,T4,Source,0.8706269,151.93,0.21686792,1.0378624035487238,0.24582253292718909,-0.7920398706215348
A060,T1,Source,-0.73423666,1.0,0.24117829,-0.8268748149977575,0.27174238868614303,1.0986172036839006
A060,T2,Source,0.89305395,24.87,0.6847152,1.0639210392356124,0.744643982984055,-0.31927705625155745
A060,T3,Source,-0.4122879,94.68,0.4573826,-0.4527932729899817,0.5022606625612078,0.9550539355511896
A060,T4,Source,0.5975928,143.91,0.68922484,0.7206162145939807,0.7494521869860842,0.02883597239210345
A061,T1,Source,1.7025199,1.0,0.4348759,2.004462853339165,0.4782638900888001,-1.5261989632503647
A061,T2,Source,0.41044217,35.16,1.2298143,0.5031605043805706,1.3258317660715033,0.8226712616909327
