composite_ID,UID,test,residual
A092_3,A092,T3,0.3888671717196057
A092_4,A092,T4,-0.2759613808023267
A093_1,A093,T1,-0.4604562468235726
A093_2,A093,T2,-0.3614649980004223
A093_3,A093,T3,0.5196661239903207
A093_4,A093,T4,0.6199953031513178
A094_1,A094,T1,-0.5766432736793929
A094_2,A094,T2,0.4384452969529157
A094_3,A094,T3,-0.6527612769207018
A094_4,A094,T4,0.1028550164361046
A095_1,A095,T1,0.8956065616142722
A095_2,A095,T2,-0.3564857482797052
A095_3,A095,T3,-0.2928525516183347
A095_4,A095,T4,-0.2568271254920503
A096_1,A096,T1,-0.0041250847535415
A096_2,A096,T2,-0.3021020107989962
A096_3,A096,T3,-0.7972492826888478
A096_4,A096,T4,0.1337157178885641
A097_1,A097,T1,-0.5071844987441915
A097_2,A097,T2,-0.7985752804019175
A097_3,A097,T3,0.9134254172408528
A097_4,A097,T4,0.4731067061114046
A098_1,A098,T1,-0.3358936689856578
A098_2,A098,T2,-0.0699854178975208
A098_3,A098,T3,1.137963307231626
A098_4,A098,T4,-0.4886973117877607
A099_1,A099,T1,-0.1463229745877665
A099_2,A099,T2,0.5338379809370999
A099_3,A099,T3,-0.5703193266725989
A099_4,A099,T4,0.7151140952346628
A100_1,A100,T1,-0.9403916588637596
A100_2,A100,T2,0.5008079277211421
A100_3,A100,T3,0.2924404501263694
A100_4,A100,T4,0.3328359687799829
A101_1,A101,T1,-0.7821361015951941
A101_2,A101,T2,0.111160008757947
A101_3,A101,T3,-0.3621470707415355
A101_4,A101,T4,0.2393912574684915
A102_1,A102,T1,-0.7059030061080138
A102_2,A102,T2,0.966577056873654
A102_3,A102,T3,-0.2434065466362607
A102_4,A102,T4,-0.0135623518751477
A103_1,A103,T1,1.5077869296412096
A103_2,A103,T2,-0.7312134367534104
A103_3,A103,T3,-1.0558914100792052
A103_4,A103,T4,-0.0727452278810244
A104_1,A104,T1,1.0677924870862572
A104_2,A104,T2,-0.1571414071114197
A104_3,A104,T3,0.4269149863766784
A104_4,A104,T4,-1.318179310928596
A105_1,A105,T1,-0.2513771436939759
A105_2,A105,T2,0.0908333747896773
A105_3,A105,T3,-0.234009418667989
A105_4,A105,T4,0.5737131939648007
A106_1,A106,T1,0.0225989090326306
A106_2,A106,T2,-0.572199011154802
A106_3,A106,T3,0.0216812764270854
A106_4,A106,T4,0.9785775354128804
A107_1,A107,T1,-0.406174263670206
A107_2,A107,T2,-0.7826147023145218
A107_3,A107,T3,0.1458363033121383
A107_4,A107,T4,0.1999192203785089
A108_1,A108,T1,-0.4994504897293175
A108_2,A108,T2,-0.5769648581568747
A108_3,A108,T3,0.4976349658596172
A108_4,A108,T4,0.0129812502073272
A109_1,A109,T1,-0.2987394205354159
A109_2,A109,T2,-0.6405051005522009
A109_3,A109,T3,0.5983778294937911
A109_4,A109,T4,-0.192467144827273
