composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_What_conf,theta_Where_conf
A045_1,A045,1,1.0,-0.90017945,-0.8901351,-0.6257483,-0.78722435
A045_2,A045,2,24.66,-0.808676,-1.1997546,-0.593401,-0.91305506
A045_3,A045,3,72.23,-0.65163666,-1.20582,-0.7782343,-0.6200845
A045_4,A045,4,151.52,-1.5065612,-1.0786914,-0.9648333,-1.1087615
A046_1,A046,1,1.0,-0.55372006,-0.7594207,-0.9063086,-0.8697148
A046_2,A046,2,24.32,-1.0450114,-1.4042654,-1.1701665,-0.91280913
A046_3,A046,3,73.05,-1.613356,-1.4292107,-1.9860176,-1.6639705
A046_4,A046,4,147.94,-1.2604105,-0.8373177,-1.0147238,-1.2999191
A047_1,A047,1,1.0,-0.4363785,-0.77400184,-1.0830257,-0.74380946
A047_2,A047,2,23.46,-0.48320502,-0.5633802,-0.6639803,-1.0145134
A047_3,A047,3,76.85,-1.4562982,-0.9876903,-1.4815022,-1.471186
A047_4,A047,4,144.22,-1.3712326,-1.5214664,-2.0934942,-2.3868499
A048_1,A048,1,1.0,1.0746682,1.2967834,-0.6284435,-0.24701324
A048_2,A048,2,23.91,-0.534043,0.15703231,-0.5796271,-0.44145307
A048_3,A048,3,81.15,0.23268522,-0.019427864,-0.760365,-0.50626874
A048_4,A048,4,146.3,0.47788984,-0.12420391,-0.58579195,-0.6491903
A049_1,A049,1,1.0,2.0709105,2.1550138,-0.2116448,-0.06294507
A049_2,A049,2,27.12,-0.3073396,-0.65311587,-0.5638283,-0.69370794
A049_3,A049,3,111.38,0.13866153,0.5108627,-0.37564683,-0.38595775
A049_4,A049,4,168.86,-0.27844822,0.17281532,-0.5774049,-0.5832282
A050_1,A050,1,1.0,-0.5759458,-0.27281812,-0.42287263,-0.36178616
A050_2,A050,2,24.73,-0.6173181,-0.5890776,-0.43648311,-0.4725317
A050_3,A050,3,93.39,-1.037826,-0.81224996,-1.0299709,-0.75545967
A050_4,A050,4,148.69,-1.1924096,-1.0636857,-1.0414252,-1.2916528
A051_1,A051,1,1.0,1.2619079,1.7481024,-0.14727834,-0.26239568
A051_2,A051,2,17.16,-0.61919725,-0.11357858,-0.22153668,-0.33902845
A051_3,A051,3,65.63,-0.53872013,-0.5669623,-0.63959575,-0.7808797
A051_4,A051,4,146.99,-0.75623167,-0.5802509,-0.6500405,-0.8386645
A052_1,A052,1,1.0,0.9840419,0.27368045,-0.47576472,-0.56775326
A052_2,A052,2,31.76,0.4169858,0.0042204764,-0.6463823,-0.51569283
A052_3,A052,3,80.98,0.17672805,-0.083795846,-1.006661,-0.72437257
A052_4,A052,4,153.27,-0.5472725,-0.75080687,-0.66724753,-0.96979094
A053_1,A053,1,1.0,1.1032048,1.3134335,-0.5527678,-0.32716423
A053_2,A053,2,32.71,0.5740109,0.9613449,-1.2998157,-1.31081
A053_3,A053,3,78.28,-0.52216256,-0.3428614,-1.4460309,-1.3124368
A053_4,A053,4,148.9,0.31794128,-0.13025364,-1.3424246,-1.5747085
A054_1,A054,1,1.0,0.5364078,0.44365084,-0.010698893,0.04480597
A054_2,A054,2,16.9,0.78079957,1.1336492,-0.32851967,-0.3352206
A054_3,A054,3,72.83,1.0624813,1.302544,-0.22610237,-0.33057252
A054_4,A054,4,136.83,1.199456,1.423274,-0.47328517,-0.14014612
A055_1,A055,1,1.0,0.12596902,0.2548027,-0.5363119,-0.26737776
A055_2,A055,2,23.24,0.7207104,1.0685252,-0.8289479,-0.8997421
A055_3,A055,3,74.48,0.026863433,-0.15719408,-0.95640945,-0.8300395
A055_4,A055,4,149.21,-0.27365744,-0.6868054,-0.93987375,-1.2196255
A056_1,A056,1,1.0,0.25282967,0.53407556,-0.49617058,-0.7111716
A056_2,A056,2,33.61,0.79354787,0.36599728,-0.98517495,-1.0561782
A056_3,A056,3,71.46,-0.6342211,-0.27181906,-0.89595854,-0.7928314
A056_4,A056,4,147.84,-0.7479079,-1.0553216,-1.2052184,-0.98227644
A057_1,A057,1,1.0,0.37111652,0.5566227,-0.40966684,-0.52722853
A057_2,A057,2,24.78,-0.33406383,-0.7836676,-0.32671973,-0.85633445
A057_3,A057,3,73.83,-0.36420104,-0.71654075,-0.6543599,-1.1658437
A057_4,A057,4,145.06,-0.8997757,-0.99096304,-1.3364934,-1.4252695
A058_1,A058,1,1.0,0.86404234,1.0633141,-0.50493246,-0.2113685
A058_2,A058,2,22.96,-0.67254853,-0.7664266,-0.6090426,-0.6888368
