UID,test_num,TSVR_hours,TSVR_hours_c,domain,measure,theta
A062,1,1.0,-63.95325000000001,what,accuracy,1.241772
A062,2,44.69,-20.263250000000014,what,accuracy,0.4567172
A062,3,92.72,27.766749999999988,what,accuracy,-0.8347038
A062,4,149.18,84.22675,what,accuracy,-0.5505843
A063,1,1.0,-63.95325000000001,what,accuracy,0.7833641
A063,2,21.98,-42.97325000000001,what,accuracy,0.50485903
A063,3,69.99,5.036749999999984,what,accuracy,0.36549178
A063,4,141.09,76.13674999999999,what,accuracy,-0.6113484
A064,1,1.0,-63.95325000000001,what,accuracy,1.0437275
A064,2,37.65,-27.303250000000013,what,accuracy,0.62713385
A064,3,82.99,18.036749999999984,what,accuracy,0.41516995
A064,4,156.21,91.25675,what,accuracy,-0.070843264
A065,1,1.0,-63.95325000000001,what,accuracy,-2.1746836
A065,2,32.31,-32.64325000000001,what,accuracy,-1.1918952
A065,3,106.41,41.456749999999985,what,accuracy,-1.9587346
A065,4,187.43,122.47675,what,accuracy,-2.4718368
A066,1,1.0,-63.95325000000001,what,accuracy,0.5877305
A066,2,23.35,-41.60325000000001,what,accuracy,-0.24346694
A066,3,73.79,8.836749999999995,what,accuracy,-0.82052904
A066,4,164.93,99.97675,what,accuracy,-1.2888547
A067,1,1.0,-63.95325000000001,what,accuracy,0.88467497
A067,2,29.91,-35.043250000000015,what,accuracy,-1.1704557
A067,3,73.19,8.236749999999986,what,accuracy,-1.4594061
A067,4,144.19,79.23674999999999,what,accuracy,-1.1524973
A068,1,1.0,-63.95325000000001,what,accuracy,1.5781611
A068,2,30.49,-34.463250000000016,what,accuracy,0.14502825
A068,3,82.98,18.026749999999993,what,accuracy,0.23438412
A068,4,155.59,90.63674999999999,what,accuracy,-0.37933305
A069,1,1.0,-63.95325000000001,what,accuracy,-0.41606086
A069,2,24.96,-39.99325000000001,what,accuracy,-1.4017547
A069,3,79.75,14.796749999999989,what,accuracy,-0.28530526
A069,4,140.22,75.26674999999999,what,accuracy,-1.4135531
A070,1,1.0,-63.95325000000001,what,accuracy,0.5219151
A070,2,24.25,-40.70325000000001,what,accuracy,0.19770284
A070,3,81.92,16.96674999999999,what,accuracy,-0.34628716
A070,4,149.2,84.24674999999998,what,accuracy,-0.6466961
A071,1,1.0,-63.95325000000001,what,accuracy,0.8269955
A071,2,30.92,-34.03325000000001,what,accuracy,0.52419287
A071,3,79.96,15.006749999999982,what,accuracy,-1.1711217
A071,4,153.27,88.31675,what,accuracy,0.10002842
A072,1,1.0,-63.95325000000001,what,accuracy,0.81125784
A072,2,33.76,-31.193250000000013,what,accuracy,0.4618086
A072,3,83.54,18.586749999999995,what,accuracy,-1.1341089
A072,4,154.89,89.93674999999998,what,accuracy,-0.5302154
A073,1,1.0,-63.95325000000001,what,accuracy,0.6544795
A073,2,66.66,1.7067499999999853,what,accuracy,-0.7580057
A073,3,66.9,1.9467499999999944,what,accuracy,-0.30615124
A073,4,140.12,75.16675,what,accuracy,0.90156066
A074,1,1.0,-63.95325000000001,what,accuracy,0.9347626
A074,2,29.33,-35.62325000000001,what,accuracy,-0.76089525
A074,3,73.02,8.066749999999985,what,accuracy,-1.1451392
A074,4,147.21,82.25675,what,accuracy,-1.2613695
A075,1,1.0,-63.95325000000001,what,accuracy,0.25188833
A075,2,28.68,-36.27325000000001,what,accuracy,0.108092144
A075,3,71.37,6.416749999999993,what,accuracy,-1.198156
A075,4,244.53,179.57675,what,accuracy,-0.75654626
A076,1,1.0,-63.95325000000001,what,accuracy,-0.48276085
A076,2,27.3,-37.653250000000014,what,accuracy,-0.47757313
A076,3,74.88,9.926749999999984,what,accuracy,-1.4173888
A076,4,149.28,84.32674999999999,what,accuracy,-2.3509033
A077,1,1.0,-63.95325000000001,what,accuracy,1.3145027
A077,2,53.88,-11.073250000000009,what,accuracy,-0.046640176
A077,3,78.36,13.406749999999988,what,accuracy,0.09669988
A077,4,149.75,84.79674999999999,what,accuracy,0.63073874
A078,1,1.0,-63.95325000000001,what,accuracy,0.023597341
A078,2,26.17,-38.78325000000001,what,accuracy,0.099462025
A078,3,72.3,7.346749999999986,what,accuracy,-0.7596743
A078,4,140.08,75.12675,what,accuracy,-0.65401506
A079,1,1.0,-63.95325000000001,what,accuracy,0.13202901
A079,2,26.11,-38.84325000000001,what,accuracy,-0.5799095
A079,3,74.0,9.046749999999989,what,accuracy,-1.0114949
A079,4,194.42,129.46675,what,accuracy,-0.5881184
A080,1,1.0,-63.95325000000001,what,accuracy,0.43105462
A080,2,29.03,-35.92325000000001,what,accuracy,0.4199076
A080,3,72.87,7.916749999999993,what,accuracy,0.3975454
A080,4,145.77,80.81675,what,accuracy,-0.8417055
A081,1,1.0,-63.95325000000001,what,accuracy,0.41316152
A081,2,31.39,-33.56325000000001,what,accuracy,-0.49664956
A081,3,80.13,15.176749999999984,what,accuracy,0.96994483
A081,4,154.53,89.57674999999999,what,accuracy,0.04104539
A082,1,1.0,-63.95325000000001,what,accuracy,0.70349485
A082,2,27.97,-36.98325000000001,what,accuracy,1.0411574
A082,3,75.71,10.756749999999982,what,accuracy,0.26939318
A082,4,170.25,105.29674999999999,what,accuracy,0.099159405
A083,1,1.0,-63.95325000000001,what,accuracy,1.716006
A083,2,25.15,-39.80325000000001,what,accuracy,0.627722
A083,3,74.3,9.346749999999986,what,accuracy,-0.03808578
A083,4,144.91,79.95674999999999,what,accuracy,-0.45677182
A084,1,1.0,-63.95325000000001,what,accuracy,0.27613997
A084,2,27.25,-37.70325000000001,what,accuracy,-1.0235722
A084,3,91.97,27.016749999999988,what,accuracy,-0.04605442
A084,4,162.51,97.55674999999998,what,accuracy,-0.27272734
A085,1,1.0,-63.95325000000001,what,accuracy,0.11177244
A085,2,24.51,-40.443250000000006,what,accuracy,1.5030562
A085,3,71.4,6.446749999999994,what,accuracy,-0.12060891
A085,4,170.65,105.69675,what,accuracy,-0.5840122
A086,1,1.0,-63.95325000000001,what,accuracy,0.67570555
A086,2,23.47,-41.48325000000001,what,accuracy,-0.8055431
A086,3,145.29,80.33674999999998,what,accuracy,-1.0776986
A086,4,169.55,104.59675,what,accuracy,-0.74143744
A087,1,1.0,-63.95325000000001,what,accuracy,1.2110579
A087,2,31.07,-33.88325000000001,what,accuracy,0.91695786
A087,3,72.8,7.846749999999986,what,accuracy,-0.11189697
A087,4,144.2,79.24674999999998,what,accuracy,0.37117374
A088,1,1.0,-63.95325000000001,what,accuracy,1.4964592
A088,2,24.25,-40.70325000000001,what,accuracy,2.3701851
A088,3,74.91,9.956749999999985,what,accuracy,0.24273601
A088,4,149.93,84.97675,what,accuracy,1.3775116
A089,1,1.0,-63.95325000000001,what,accuracy,1.3879722
A089,2,32.14,-32.81325000000001,what,accuracy,0.98157203
A089,3,79.34,14.386749999999992,what,accuracy,0.18005185
A089,4,146.96,82.00675,what,accuracy,0.12621939
A090,1,1.0,-63.95325000000001,what,accuracy,0.5685513
A090,2,23.54,-41.41325000000001,what,accuracy,-1.004835
A090,3,95.42,30.46674999999999,what,accuracy,-1.9035667
A090,4,144.07,79.11674999999998,what,accuracy,-1.0069829
A091,1,1.0,-63.95325000000001,what,accuracy,0.6446007
A091,2,22.2,-42.75325000000001,what,accuracy,-0.23618999
A091,3,73.64,8.68674999999999,what,accuracy,-1.0844674
A091,4,142.61,77.65675,what,accuracy,-0.22201028
A092,1,1.0,-63.95325000000001,what,accuracy,-0.45725018
A092,2,22.83,-42.12325000000001,what,accuracy,-0.707106
A092,3,71.31,6.356749999999991,what,accuracy,-0.27878723
A092,4,146.16,81.20674999999999,what,accuracy,-1.5835248
A093,1,1.0,-63.95325000000001,what,accuracy,0.40196308
A093,2,22.09,-42.86325000000001,what,accuracy,0.31625798
A093,3,70.22,5.266749999999988,what,accuracy,0.895297
A093,4,140.95,75.99674999999998,what,accuracy,0.58903307
A094,1,1.0,-63.95325000000001,what,accuracy,-0.4338472
A094,2,22.98,-41.97325000000001,what,accuracy,-0.10413395
A094,3,76.21,11.256749999999982,what,accuracy,-1.5876961
A094,4,149.99,85.03675,what,accuracy,-0.9550737
A095,1,1.0,-63.95325000000001,what,accuracy,1.5629785
A095,2,29.71,-35.24325000000001,what,accuracy,-0.31464836
A095,3,78.76,13.806749999999994,what,accuracy,-0.52469057
A095,4,148.79,83.83674999999998,what,accuracy,-0.44003212
A096,1,1.0,-63.95325000000001,what,accuracy,-0.5876299
A096,2,24.49,-40.463250000000016,what,accuracy,-1.6634033
A096,3,71.19,6.2367499999999865,what,accuracy,-2.0487726
A096,4,143.66,78.70674999999999,what,accuracy,-1.6537123
A097,1,1.0,-63.95325000000001,what,accuracy,0.30110675
A097,2,24.37,-40.58325000000001,what,accuracy,-0.46951467
A097,3,70.83,5.876749999999987,what,accuracy,0.49897698
A097,4,144.85,79.89674999999998,what,accuracy,0.21680588
A098,1,1.0,-63.95325000000001,what,accuracy,0.63542306
A098,2,25.77,-39.183250000000015,what,accuracy,0.2751316
A098,3,78.84,13.886749999999992,what,accuracy,1.2736149
A098,4,146.29,81.33674999999998,what,accuracy,-0.28662166
A099,1,1.0,-63.95325000000001,what,accuracy,0.8915915
A099,2,28.75,-36.20325000000001,what,accuracy,0.962919
A099,3,78.57,13.616749999999982,what,accuracy,-0.6954294
A099,4,143.51,78.55674999999998,what,accuracy,0.024082785
A100,1,1.0,-63.95325000000001,what,accuracy,0.07399175
A100,2,31.14,-33.81325000000001,what,accuracy,0.9113723
A100,3,75.34,10.386749999999992,what,accuracy,0.36577296
A100,4,146.8,81.84675,what,accuracy,0.07635781
A101,1,1.0,-63.95325000000001,what,accuracy,-1.1400971
A101,2,29.12,-35.83325000000001,what,accuracy,-0.97317004
A101,3,75.21,10.256749999999982,what,accuracy,-1.268504
A101,4,150.22,85.26674999999999,what,accuracy,-1.4687408
A102,1,1.0,-63.95325000000001,what,accuracy,-0.1090957
A102,2,29.13,-35.823250000000016,what,accuracy,0.7893604
A102,3,75.27,10.316749999999985,what,accuracy,-0.54814076
A102,4,150.41,85.45674999999999,what,accuracy,-0.016238477
A103,1,1.0,-63.95325000000001,what,accuracy,1.5837513
A103,2,27.26,-37.693250000000006,what,accuracy,-0.8997795
A103,3,80.24,15.286749999999984,what,accuracy,-1.8014679
A103,4,149.72,84.76674999999999,what,accuracy,-0.7135607
A104,1,1.0,-63.95325000000001,what,accuracy,1.9797188
A104,2,22.6,-42.35325000000001,what,accuracy,-0.25339428
A104,3,72.62,7.666749999999993,what,accuracy,0.30562896
A104,4,145.78,80.82674999999999,what,accuracy,-1.6902736
A105,1,1.0,-63.95325000000001,what,accuracy,0.6786545
A105,2,22.77,-42.183250000000015,what,accuracy,0.4023
A105,3,69.46,4.5067499999999825,what,accuracy,-0.07094553
A105,4,146.2,81.24674999999998,what,accuracy,0.012376063
A106,1,1.0,-63.95325000000001,what,accuracy,1.5945877
A106,2,22.64,-42.31325000000001,what,accuracy,0.07416145
A106,3,66.08,1.126749999999987,what,accuracy,0.610385
A106,4,147.13,82.17674999999998,what,accuracy,0.97847015
A107,1,1.0,-63.95325000000001,what,accuracy,-0.6293192
A107,2,26.22,-38.73325000000001,what,accuracy,-1.6425781
A107,3,71.45,6.496749999999992,what,accuracy,-0.8989691
A107,4,145.95,80.99674999999998,what,accuracy,-1.2341427
A108,1,1.0,-63.95325000000001,what,accuracy,-0.6797666
A108,2,27.61,-37.34325000000001,what,accuracy,-1.2300881
A108,3,68.96,4.0067499999999825,what,accuracy,-0.64672476
A108,4,152.12,87.16675,what,accuracy,-1.2409853
A109,1,1.0,-63.95325000000001,what,accuracy,-0.29406714
A109,2,24.65,-40.30325000000001,what,accuracy,-0.85136366
A109,3,71.17,6.2167499999999905,what,accuracy,-0.2927042
A109,4,149.87,84.91675,what,accuracy,-1.3304558
A010,1,1.0,-63.95325000000001,where,accuracy,2.4439983
A010,2,21.9,-43.05325000000001,where,accuracy,0.59148264
A010,3,80.88,15.926749999999984,where,accuracy,-0.091231495
A010,4,145.31,80.35674999999999,where,accuracy,0.47084022
A011,1,1.0,-63.95325000000001,where,accuracy,0.9860436
A011,2,24.57,-40.38325000000001,where,accuracy,0.20441371
A011,3,72.55,7.596749999999986,where,accuracy,-0.74633425
A011,4,148.85,83.89674999999998,where,accuracy,-0.26116142
A012,1,1.0,-63.95325000000001,where,accuracy,1.4285018
A012,2,25.6,-39.35325000000001,where,accuracy,-0.31520778
A012,3,166.33,101.37675,where,accuracy,1.0647037
A012,4,166.87,101.91675,where,accuracy,-0.45238903
A013,1,1.0,-63.95325000000001,where,accuracy,0.09202722
A013,2,24.77,-40.183250000000015,where,accuracy,-0.6685766
A013,3,79.66,14.706749999999985,where,accuracy,0.24629961
