UID,Age,RAVLT_T,BVMT_T,NART_T,RPM_T,RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,theta_all,Age_c,RAVLT_c,BVMT_c,NART_c,RPM_c,RAVLT_Pct_Ret_c,BVMT_Pct_Ret_c,Age_c_x_RAVLT_c,Age_c_x_BVMT_c,Age_c_x_NART_c,Age_c_x_RPM_c,Age_c_x_RAVLT_Pct_Ret_c,Age_c_x_BVMT_Pct_Ret_c
A036,30,46.87667117684927,49.56508041266159,62.95552989190128,61.0581079353304,58.77555092549201,53.648494608380034,-0.0578950324999999,-14.57,-3.123328823150729,-0.4349195873384133,12.955529891901278,11.058107935330398,8.775550925492013,3.648494608380034,45.50690095330612,6.336778387520682,-188.76207052500163,-161.11663261776388,-127.85977698441863,-53.15856644409709
A037,31,59.84143232955041,65.3803381340584,33.78453640270852,61.0581079353304,63.29139188337481,53.648494608380034,0.6399919475,-13.57,9.841432329550408,15.380338134058405,-16.215463597291482,11.058107935330398,13.291391883374807,3.648494608380034,-133.54823671199904,-208.71118847917256,220.04384101524542,-150.0585246824335,-180.36418785739613,-49.510071835717056
A038,32,69.27034953151487,47.58817319748699,57.121331194062726,55.86650796569172,50.34598113744414,43.603116449914296,0.496686178,-12.57,19.270349531514867,-2.411826802513012,7.121331194062726,5.866507965691717,0.3459811374441415,-6.396883550085704,-242.22829361114188,30.31666290758856,-89.51513310936848,-73.74200512874489,-4.348982897672859,80.4088262245773
A039,31,56.30558837881374,55.4958020581854,47.78661327752104,61.0581079353304,45.22802805184364,53.648494608380034,1.19202671,-13.57,6.305588378813738,5.495802058185397,-2.2133867224789583,11.058107935330398,-4.771971948156363,3.648494608380034,-85.56683430050242,-74.57803392957584,30.035657824039465,-150.0585246824335,64.75565933648184,-49.510071835717056
A040,38,31.554680723657015,41.65745155196318,30.28401718400539,55.86650796569172,50.87282924919713,53.648494608380034,-0.9150132425,-6.57,-18.445319276342985,-8.342548448036823,-19.71598281599461,5.866507965691717,0.8728292491971317,3.648494608380034,121.18574764557341,54.810543303601925,129.5340071010846,-38.54295733459458,-5.734488167225155,-23.970609577056823
A041,35,33.911910024148135,57.47270927336,,50.67490799605303,42.97010757290224,53.648494608380034,0.109736675,-9.57,-16.088089975851865,7.472709273360003,,0.6749079960530295,-7.0298924270977565,3.648494608380034,153.96302106890235,-71.51382774605523,,-6.458869522227493,67.27607052732553,-34.91609340219692
A042,38,52.76974442807706,45.61126598231238,53.6208119753596,40.29170805677566,41.916411349396256,63.69387276684577,-0.8263051475000001,-6.57,2.769744428077061,-4.388734017687618,3.620811975359601,-9.708291943224339,-8.083588650603744,13.693872766845772,-18.19722089246629,28.83398249620765,-23.78873467811258,63.78347806698391,53.1091774344666,-89.96874407817673
A043,38,45.69805652660372,55.4958020581854,44.28609405881791,50.67490799605303,64.52298487188828,53.648494608380034,0.4509235725,-6.57,-4.301943473396278,5.495802058185397,-5.713905941182091,0.6749079960530295,14.522984871888283,3.648494608380034,28.26376862021355,-36.107419522278065,37.54036203356634,-4.434145534068405,-95.41601060830602,-23.970609577056823
A044,38,58.66281767930485,55.4958020581854,57.121331194062726,50.67490799605303,49.74386900972642,53.648494608380034,-0.891856265,-6.57,8.662817679304851,5.495802058185397,7.121331194062726,0.6749079960530295,-0.2561309902735829,3.648494608380034,-56.91471215303287,-36.107419522278065,-46.78714594499211,-4.434145534068405,1.6827806060974395,-23.970609577056823
A045,37,32.73329537390258,51.54198762783619,45.45293379838562,40.29170805677566,52.4533735844561,53.648494608380034,-1.07199485,-7.57,-17.26670462609742,1.5419876278361926,-4.547066201614378,-9.708291943224339,2.453373584456102,3.648494608380034,130.7089540195575,-11.672846342719978,34.42129114622084,73.49177001020824,-18.572038034332696,-27.619104185436857
A046,38,43.3408272261126,57.47270927336,40.785574840114776,35.10010808713698,53.912337586233626,53.648494608380034,-1.212762325,-6.57,-6.6591727738873985,7.472709273360003,-9.214425159885224,-14.89989191286302,3.912337586233626,3.648494608380034,43.75076512444021,-49.095699925975225,60.538773300445925,97.89228986751004,-25.704057941554925,-23.970609577056823
A047,36,32.73329537390258,37.70363712161397,33.78453640270852,19.52530817822093,30.676984965332423,39.8347182628551,-1.026090325,-8.57,-17.26670462609742,-12.296362878386027,-16.215463597291482,-30.47469182177907,-19.323015034667577,-10.165281737144902,147.9756586456549,105.37982986776825,138.966523028788,261.16810891264663,165.59823884710113,87.11646448733181
