composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Segment,Time_Early,Time_Late
A068_T4,A068,4,0.16218548,0.07339282,155.59,Late,0.0,107.59
A069_T1,A069,1,0.25422466,0.07339282,1.0,Early,1.0,0.0
A069_T2,A069,2,-1.0452298,0.07339282,24.96,Early,24.96,0.0
A069_T3,A069,3,-1.6103827,0.07339282,79.75,Late,0.0,31.75
A069_T4,A069,4,-1.5714215,0.07339282,140.22,Late,0.0,92.22
A070_T1,A070,1,0.26595566,0.07339282,1.0,Early,1.0,0.0
A070_T2,A070,2,-0.2891156,0.07339282,24.25,Early,24.25,0.0
A070_T3,A070,3,-1.5362434,0.07339282,81.92,Late,0.0,33.92
A070_T4,A070,4,-2.3315032,0.07339282,149.2,Late,0.0,101.19999999999999
A071_T1,A071,1,1.4062483,0.07339282,1.0,Early,1.0,0.0
A071_T2,A071,2,0.008745952,0.07339282,30.92,Early,30.92,0.0
A071_T3,A071,3,-0.64396226,0.07339282,79.96,Late,0.0,31.959999999999994
A071_T4,A071,4,-0.40711495,0.07339282,153.27,Late,0.0,105.27000000000001
A072_T1,A072,1,1.1476082,0.07339282,1.0,Early,1.0,0.0
A072_T2,A072,2,0.8802795,0.07339282,33.76,Early,33.76,0.0
A072_T3,A072,3,0.34604254,0.07339282,83.54,Late,0.0,35.540000000000006
A072_T4,A072,4,-0.07694118,0.07339282,154.89,Late,0.0,106.88999999999999
A073_T1,A073,1,0.005702734,0.07339282,1.0,Early,1.0,0.0
A073_T2,A073,2,-0.51583505,0.07339282,66.66,Late,0.0,18.659999999999997
A073_T3,A073,3,0.010290367,0.07339282,66.9,Late,0.0,18.900000000000006
A073_T4,A073,4,-0.37375993,0.07339282,140.12,Late,0.0,92.12
A074_T1,A074,1,0.4057072,0.07339282,1.0,Early,1.0,0.0
A074_T2,A074,2,-0.26989007,0.07339282,29.33,Early,29.33,0.0
A074_T3,A074,3,-1.2212816,0.07339282,73.02,Late,0.0,25.019999999999996
A074_T4,A074,4,-0.7347055,0.07339282,147.21,Late,0.0,99.21000000000001
A075_T1,A075,1,0.21868351,0.07339282,1.0,Early,1.0,0.0
A075_T2,A075,2,-0.06407137,0.07339282,28.68,Early,28.68,0.0
A075_T3,A075,3,-1.966908,0.07339282,71.37,Late,0.0,23.370000000000005
A075_T4,A075,4,-0.76381415,0.07339282,244.53,Late,0.0,196.53
A076_T1,A076,1,-0.25764796,0.07339282,1.0,Early,1.0,0.0
A076_T2,A076,2,-0.64143974,0.07339282,27.3,Early,27.3,0.0
A076_T3,A076,3,-0.8713531,0.07339282,74.88,Late,0.0,26.879999999999995
A076_T4,A076,4,-2.0592318,0.07339282,149.28,Late,0.0,101.28
A077_T1,A077,1,1.0828195,0.07339282,1.0,Early,1.0,0.0
A077_T2,A077,2,-0.061775867,0.07339282,53.88,Late,0.0,5.880000000000003
A077_T3,A077,3,-0.057523195,0.07339282,78.36,Late,0.0,30.36
A077_T4,A077,4,0.02102494,0.07339282,149.75,Late,0.0,101.75
A078_T1,A078,1,-0.9361496,0.07339282,1.0,Early,1.0,0.0
A078_T2,A078,2,-0.96595,0.07339282,26.17,Early,26.17,0.0
A078_T3,A078,3,-1.7301757,0.07339282,72.3,Late,0.0,24.299999999999997
A078_T4,A078,4,-1.7319458,0.07339282,140.08,Late,0.0,92.08000000000001
A079_T1,A079,1,0.3822094,0.07339282,1.0,Early,1.0,0.0
A079_T2,A079,2,0.10216686,0.07339282,26.11,Early,26.11,0.0
A079_T3,A079,3,-0.4006794,0.07339282,74.0,Late,0.0,26.0
A079_T4,A079,4,-0.75433517,0.07339282,194.42,Late,0.0,146.42
A080_T1,A080,1,1.1243324,0.07339282,1.0,Early,1.0,0.0
A080_T2,A080,2,0.6892572,0.07339282,29.03,Early,29.03,0.0
A080_T3,A080,3,0.62320197,0.07339282,72.87,Late,0.0,24.870000000000005
A080_T4,A080,4,-0.8472369,0.07339282,145.77,Late,0.0,97.77000000000001
A081_T1,A081,1,1.2758523,0.07339282,1.0,Early,1.0,0.0
A081_T2,A081,2,0.6858867,0.07339282,31.39,Early,31.39,0.0
A081_T3,A081,3,0.8307492,0.07339282,80.13,Late,0.0,32.129999999999995
A081_T4,A081,4,0.7054321,0.07339282,154.53,Late,0.0,106.53
A082_T1,A082,1,0.1739859,0.07339282,1.0,Early,1.0,0.0
A082_T2,A082,2,-0.04442855,0.07339282,27.97,Early,27.97,0.0
A082_T3,A082,3,-0.4148056,0.07339282,75.71,Late,0.0,27.709999999999994
A082_T4,A082,4,-0.8596984,0.07339282,170.25,Late,0.0,122.25
A083_T1,A083,1,1.2734162,0.07339282,1.0,Early,1.0,0.0
A083_T2,A083,2,0.3070551,0.07339282,25.15,Early,25.15,0.0
A083_T3,A083,3,0.6661916,0.07339282,74.3,Late,0.0,26.299999999999997
A083_T4,A083,4,0.5780402,0.07339282,144.91,Late,0.0,96.91
A084_T1,A084,1,-0.42285675,0.07339282,1.0,Early,1.0,0.0
A084_T2,A084,2,-1.4664562,0.07339282,27.25,Early,27.25,0.0
A084_T3,A084,3,-1.013821,0.07339282,91.97,Late,0.0,43.97
A084_T4,A084,4,-1.0321283,0.07339282,162.51,Late,0.0,114.50999999999999
A085_T1,A085,1,0.8677166,0.07339282,1.0,Early,1.0,0.0
A085_T2,A085,2,1.0242546,0.07339282,24.51,Early,24.51,0.0
A085_T3,A085,3,0.7863214,0.07339282,71.4,Late,0.0,23.400000000000006
A085_T4,A085,4,-0.55458117,0.07339282,170.65,Late,0.0,122.65
A086_T1,A086,1,1.277961,0.07339282,1.0,Early,1.0,0.0
A086_T2,A086,2,1.1118082,0.07339282,23.47,Early,23.47,0.0
A086_T3,A086,3,-0.3442445,0.07339282,145.29,Late,0.0,97.28999999999999
A086_T4,A086,4,-0.2083888,0.07339282,169.55,Late,0.0,121.55000000000001
A087_T1,A087,1,1.4973053,0.07339282,1.0,Early,1.0,0.0
A087_T2,A087,2,0.72297037,0.07339282,31.07,Early,31.07,0.0
A087_T3,A087,3,0.12718847,0.07339282,72.8,Late,0.0,24.799999999999997
A087_T4,A087,4,0.21799015,0.07339282,144.2,Late,0.0,96.19999999999999
A088_T1,A088,1,0.25304648,0.07339282,1.0,Early,1.0,0.0
A088_T2,A088,2,0.75527453,0.07339282,24.25,Early,24.25,0.0
A088_T3,A088,3,0.05704416,0.07339282,74.91,Late,0.0,26.909999999999997
A088_T4,A088,4,0.31973332,0.07339282,149.93,Late,0.0,101.93
A089_T1,A089,1,1.3327537,0.07339282,1.0,Early,1.0,0.0
A089_T2,A089,2,0.91714174,0.07339282,32.14,Early,32.14,0.0
A089_T3,A089,3,0.1780254,0.07339282,79.34,Late,0.0,31.340000000000003
A089_T4,A089,4,-0.008746256,0.07339282,146.96,Late,0.0,98.96000000000001
A090_T1,A090,1,-0.65424925,0.07339282,1.0,Early,1.0,0.0
A090_T2,A090,2,-0.8496225,0.07339282,23.54,Early,23.54,0.0
A090_T3,A090,3,-1.6408993,0.07339282,95.42,Late,0.0,47.42
A090_T4,A090,4,-1.4168081,0.07339282,144.07,Late,0.0,96.07
A091_T1,A091,1,0.9867957,0.07339282,1.0,Early,1.0,0.0
A091_T2,A091,2,0.32842198,0.07339282,22.2,Early,22.2,0.0
A091_T3,A091,3,-0.17302956,0.07339282,73.64,Late,0.0,25.64
A091_T4,A091,4,-0.13599955,0.07339282,142.61,Late,0.0,94.61000000000001
A092_T1,A092,1,0.22590114,0.07339282,1.0,Early,1.0,0.0
A092_T2,A092,2,0.14786519,0.07339282,22.83,Early,22.83,0.0
A092_T3,A092,3,-0.3949276,0.07339282,71.31,Late,0.0,23.310000000000002
A092_T4,A092,4,-0.5185454,0.07339282,146.16,Late,0.0,98.16
A093_T1,A093,1,1.615065,0.07339282,1.0,Early,1.0,0.0
A093_T2,A093,2,0.5044622,0.07339282,22.09,Early,22.09,0.0
A093_T3,A093,3,0.049923185,0.07339282,70.22,Late,0.0,22.22
A093_T4,A093,4,-0.3427646,0.07339282,140.95,Late,0.0,92.94999999999999
A094_T1,A094,1,-0.15748604,0.07339282,1.0,Early,1.0,0.0
A094_T2,A094,2,-0.38972417,0.07339282,22.98,Early,22.98,0.0
A094_T3,A094,3,-1.3148012,0.07339282,76.21,Late,0.0,28.209999999999994
A094_T4,A094,4,-1.2071853,0.07339282,149.99,Late,0.0,101.99000000000001
A095_T1,A095,1,1.0626495,0.07339282,1.0,Early,1.0,0.0
A095_T2,A095,2,-0.13491769,0.07339282,29.71,Early,29.71,0.0
A095_T3,A095,3,-0.06304094,0.07339282,78.76,Late,0.0,30.760000000000005
A095_T4,A095,4,-0.4148814,0.07339282,148.79,Late,0.0,100.78999999999999
A096_T1,A096,1,1.2504172,0.07339282,1.0,Early,1.0,0.0
A096_T2,A096,2,0.58374166,0.07339282,24.49,Early,24.49,0.0
A096_T3,A096,3,0.73835707,0.07339282,71.19,Late,0.0,23.189999999999998
A096_T4,A096,4,0.8100288,0.07339282,143.66,Late,0.0,95.66
A097_T1,A097,1,-0.40680176,0.07339282,1.0,Early,1.0,0.0
