composite_ID,theta_What,theta_Where,theta_When,UID,test,Age,TSVR_hours
A051_T1,-0.14727834,-0.26239568,0.18343249,A051,T1,41.0,1.0
A051_T2,-0.22153668,-0.33902845,0.13343063,A051,T2,41.0,17.16
A051_T3,-0.63959575,-0.7808797,-0.41977927,A051,T3,41.0,65.63
A051_T4,-0.6500405,-0.8386645,-0.45129406,A051,T4,41.0,146.99
A052_T1,-0.47576472,-0.56775326,-0.018610764,A052,T1,43.0,1.0
A052_T2,-0.6463823,-0.51569283,-1.0683197,A052,T2,43.0,31.76
A052_T3,-1.006661,-0.72437257,-0.97867095,A052,T3,43.0,80.98
A052_T4,-0.66724753,-0.96979094,-0.26739392,A052,T4,43.0,153.27
A053_T1,-0.5527678,-0.32716423,-0.08502038,A053,T1,44.0,1.0
A053_T2,-1.2998157,-1.31081,-1.1574997,A053,T2,44.0,32.71
A053_T3,-1.4460309,-1.3124368,-1.5159471,A053,T3,44.0,78.28
A053_T4,-1.3424246,-1.5747085,-1.2614434,A053,T4,44.0,148.9
A054_T1,-0.010698893,0.04480597,0.15533759,A054,T1,43.0,1.0
A054_T2,-0.32851967,-0.3352206,-0.26944205,A054,T2,43.0,16.9
A054_T3,-0.22610237,-0.33057252,-0.43893543,A054,T3,43.0,72.83
A054_T4,-0.47328517,-0.14014612,-0.20068726,A054,T4,43.0,136.83
A055_T1,-0.5363119,-0.26737776,-0.35800064,A055,T1,44.0,1.0
A055_T2,-0.8289479,-0.8997421,-1.0338244,A055,T2,44.0,23.24
A055_T3,-0.95640945,-0.8300395,-1.4997674,A055,T3,44.0,74.48
A055_T4,-0.93987375,-1.2196255,-0.83918184,A055,T4,44.0,149.21
A056_T1,-0.49617058,-0.7111716,-0.32862476,A056,T1,42.0,1.0
A056_T2,-0.98517495,-1.0561782,-1.2040669,A056,T2,42.0,33.61
A056_T3,-0.89595854,-0.7928314,-1.051764,A056,T3,42.0,71.46
A056_T4,-1.2052184,-0.98227644,-1.29618,A056,T4,42.0,147.84
A057_T1,-0.40966684,-0.52722853,-0.21358171,A057,T1,40.0,1.0
A057_T2,-0.32671973,-0.85633445,-0.37000984,A057,T2,40.0,24.78
A057_T3,-0.6543599,-1.1658437,-0.58418906,A057,T3,40.0,73.83
A057_T4,-1.3364934,-1.4252695,-1.476217,A057,T4,40.0,145.06
A058_T1,-0.50493246,-0.2113685,-0.18342066,A058,T1,42.0,1.0
A058_T2,-0.6090426,-0.6888368,-0.7613501,A058,T2,42.0,22.96
A058_T3,-0.5491983,-0.8918688,-0.3906964,A058,T3,42.0,66.28
A058_T4,-1.1876487,-1.1060226,-1.3270326,A058,T4,42.0,143.48
A059_T1,-0.73470205,-0.55872375,-0.7384075,A059,T1,43.0,1.0
A059_T2,-0.4889424,-0.543509,-0.7093997,A059,T2,43.0,30.4
A059_T3,-0.76569885,-0.7414035,-0.5706433,A059,T3,43.0,79.78
A059_T4,-0.7211721,-0.7605379,-0.13338895,A059,T4,43.0,151.93
A060_T1,-0.6521186,-0.7345365,-0.35611865,A060,T1,48.0,1.0
A060_T2,-0.32915124,-0.52909,-0.41408816,A060,T2,48.0,24.87
A060_T3,-0.52048606,-0.24922341,-0.57479054,A060,T3,48.0,94.68
A060_T4,-0.10856633,-0.16883858,-0.2654439,A060,T4,48.0,143.91
A061_T1,0.07041081,0.28313136,0.2538349,A061,T1,47.0,1.0
A061_T2,-0.22703744,0.017001087,-0.049571685,A061,T2,47.0,35.16
A061_T3,-0.27437422,-0.24850823,-0.6341318,A061,T3,47.0,82.55
A061_T4,-0.27913383,-0.35313225,0.111837454,A061,T4,47.0,146.56
A062_T1,-0.025706012,-0.430132,-0.164748,A062,T1,48.0,1.0
A062_T2,-0.8947107,-0.64850175,-0.7581154,A062,T2,48.0,44.69
A062_T3,-1.1198639,-0.8085027,-0.8484453,A062,T3,48.0,92.72
A062_T4,-1.6989232,-1.3478737,-1.3191681,A062,T4,48.0,149.18
A063_T1,-1.0210048,-1.3478978,-0.65157485,A063,T1,45.0,1.0
A063_T2,-1.7673504,-2.0114355,-1.9174051,A063,T2,45.0,21.98
A063_T3,-2.1477082,-2.317177,-2.1539063,A063,T3,45.0,69.99
A063_T4,-2.477313,-1.8540944,-2.374919,A063,T4,45.0,141.09
A064_T1,-0.4705508,-0.21037821,-0.42353612,A064,T1,47.0,1.0
A064_T2,-0.43880627,-0.7588211,-0.3590531,A064,T2,47.0,37.65
A064_T3,-0.6070419,-1.0215553,-0.39704904,A064,T3,47.0,82.99
A064_T4,-0.55356926,-0.7785181,-0.46549562,A064,T4,47.0,156.21
A065_T1,-0.7599667,-0.64995366,0.08937529,A065,T1,47.0,1.0
A065_T2,-1.4849308,-1.3680072,-1.383815,A065,T2,47.0,32.31
A065_T3,-2.2474854,-1.9698241,-2.246682,A065,T3,47.0,106.41
A065_T4,-1.7795594,-2.057982,-1.7254683,A065,T4,47.0,187.43
A066_T1,-0.81996965,-0.5925036,-0.31498852,A066,T1,47.0,1.0
A066_T2,-0.46592626,-0.80298775,-0.5624048,A066,T2,47.0,23.35
