UID,test,composite_ID,Age,Age_c,TSVR_hours,log_TSVR,Domain,theta_confidence
A062,T1,A062_T1,48.0,3.4299999999999997,1.0,0.6931471805599453,What,-0.025706012
A062,T2,A062_T2,48.0,3.4299999999999997,44.69,3.8218794555751803,What,-0.8947107
A062,T3,A062_T3,48.0,3.4299999999999997,92.72,4.540311613639595,What,-1.1198639
A062,T4,A062_T4,48.0,3.4299999999999997,149.18,5.011834574671738,What,-1.6989232
A063,T1,A063_T1,45.0,0.4299999999999997,1.0,0.6931471805599453,What,-1.0210048
A063,T2,A063_T2,45.0,0.4299999999999997,21.98,3.1346242724206097,What,-1.7673504
A063,T3,A063_T3,45.0,0.4299999999999997,69.99,4.262539022051294,What,-2.1477082
A063,T4,A063_T4,45.0,0.4299999999999997,141.09,4.956460659649984,What,-2.477313
A064,T1,A064_T1,47.0,2.4299999999999997,1.0,0.6931471805599453,What,-0.4705508
A064,T2,A064_T2,47.0,2.4299999999999997,37.65,3.654546775033431,What,-0.43880627
A064,T3,A064_T3,47.0,2.4299999999999997,82.99,4.430697744137536,What,-0.6070419
A064,T4,A064_T4,47.0,2.4299999999999997,156.21,5.057582491203423,What,-0.55356926
A065,T1,A065_T1,47.0,2.4299999999999997,1.0,0.6931471805599453,What,-0.7599667
A065,T2,A065_T2,47.0,2.4299999999999997,32.31,3.5058576522055884,What,-1.4849308
A065,T3,A065_T3,47.0,2.4299999999999997,106.41,4.676653287609955,What,-2.2474854
A065,T4,A065_T4,47.0,2.4299999999999997,187.43,5.238726585134399,What,-1.7795594
A066,T1,A066_T1,47.0,2.4299999999999997,1.0,0.6931471805599453,What,-0.81996965
A066,T2,A066_T2,47.0,2.4299999999999997,23.35,3.192531849528599,What,-0.46592626
A066,T3,A066_T3,47.0,2.4299999999999997,73.79,4.314684186203576,What,-0.8389682
A066,T4,A066_T4,47.0,2.4299999999999997,164.93,5.111566012674697,What,-1.3690192
A067,T1,A067_T1,48.0,3.4299999999999997,1.0,0.6931471805599453,What,-0.47319022
A067,T2,A067_T2,48.0,3.4299999999999997,29.91,3.431079756144025,What,-1.5407175
A067,T3,A067_T3,48.0,3.4299999999999997,73.19,4.306629370201435,What,-1.3362082
A067,T4,A067_T4,48.0,3.4299999999999997,144.19,4.978043229495596,What,-1.2376945
A068,T1,A068_T1,49.0,4.43,1.0,0.6931471805599453,What,0.043350097
A068,T2,A068_T2,49.0,4.43,30.49,3.4496700351129332,What,-0.38292572
A068,T3,A068_T3,49.0,4.43,82.98,4.430578675256047,What,-0.39800465
A068,T4,A068_T4,49.0,4.43,155.59,5.053630924557352,What,-0.7517871
A069,T1,A069_T1,46.0,1.4299999999999997,1.0,0.6931471805599453,What,-0.9856775
A069,T2,A069_T2,46.0,1.4299999999999997,24.96,3.2565568918358894,What,-1.4256461
A069,T3,A069_T3,46.0,1.4299999999999997,79.75,4.391357962102766,What,-1.7863635
A069,T4,A069_T4,46.0,1.4299999999999997,140.22,4.950318958088201,What,-1.3407162
A070,T1,A070_T1,52.0,7.43,1.0,0.6931471805599453,What,-0.29940233
A070,T2,A070_T2,52.0,7.43,24.25,3.228826155721369,What,-0.38949186
A070,T3,A070_T3,52.0,7.43,81.92,4.417876287567579,What,-0.965894
A070,T4,A070_T4,52.0,7.43,149.2,5.011967739330034,What,-1.3122176
A071,T1,A071_T1,50.0,5.43,1.0,0.6931471805599453,What,-0.03096188
A071,T2,A071_T2,50.0,5.43,30.92,3.463232772581608,What,-0.709585
A071,T3,A071_T3,50.0,5.43,79.96,4.3939552055391555,What,-1.4961342
A071,T4,A071_T4,50.0,5.43,153.27,5.038704314023848,What,-0.97358733
A072,T1,A072_T1,50.0,5.43,1.0,0.6931471805599453,What,-0.007103957
A072,T2,A072_T2,50.0,5.43,33.76,3.548467300397191,What,-0.044950858
A072,T3,A072_T3,50.0,5.43,83.54,4.437224795138644,What,-0.5401528
A072,T4,A072_T4,50.0,5.43,154.89,5.04915063032459,What,-0.7525621
A073,T1,A073_T1,51.0,6.43,1.0,0.6931471805599453,What,-0.83740723
A073,T2,A073_T2,51.0,6.43,66.66,4.214495163352562,What,-1.1371781
A073,T3,A073_T3,51.0,6.43,66.9,4.21803603456465,What,-1.0209675
A073,T4,A073_T4,51.0,6.43,140.12,4.949610592258481,What,-1.0217786
A074,T1,A074_T1,53.0,8.43,1.0,0.6931471805599453,What,-0.18597467
A074,T2,A074_T2,53.0,8.43,29.33,3.41213732170049,What,-0.53408575
A074,T3,A074_T3,53.0,8.43,73.02,4.30433532695801,What,-0.86386716
A074,T4,A074_T4,53.0,8.43,147.21,4.998630186968824,What,-0.7869516
A075,T1,A075_T1,53.0,8.43,1.0,0.6931471805599453,What,-0.61729574
A075,T2,A075_T2,53.0,8.43,28.68,3.39047341829918,What,-0.6755973
A075,T3,A075_T3,53.0,8.43,71.37,4.281791848878036,What,-1.5873282
A075,T4,A075_T4,53.0,8.43,244.53,5.5034191393614815,What,-1.1416014
A076,T1,A076_T1,54.0,9.43,1.0,0.6931471805599453,What,-0.84134424
A076,T2,A076_T2,54.0,9.43,27.3,3.342861804649192,What,-0.8928892
A076,T3,A076_T3,54.0,9.43,74.88,4.3291531450668135,What,-1.2276068
A076,T4,A076_T4,54.0,9.43,149.28,5.0125002207057685,What,-1.6442255
A077,T1,A077_T1,52.0,7.43,1.0,0.6931471805599453,What,-0.29585537
A077,T2,A077_T2,52.0,7.43,53.88,4.00514898341763,What,-0.53061026
A077,T3,A077_T3,52.0,7.43,78.36,4.373994462976618,What,-0.7001903
A077,T4,A077_T4,52.0,7.43,149.75,5.015622835607295,What,-0.4655254
A078,T1,A078_T1,50.0,5.43,1.0,0.6931471805599453,What,-1.0185794
A078,T2,A078_T2,50.0,5.43,26.17,3.3021134234382563,What,-0.9904335
A078,T3,A078_T3,50.0,5.43,72.3,4.294560608892605,What,-1.0203165
A078,T4,A078_T4,50.0,5.43,140.08,4.949327105367852,What,-1.7117021
A079,T1,A079_T1,50.0,5.43,1.0,0.6931471805599453,What,-0.71846724
A079,T2,A079_T2,50.0,5.43,26.11,3.299902663510574,What,-0.4687813
A079,T3,A079_T3,50.0,5.43,74.0,4.31748811353631,What,-0.7912571
A079,T4,A079_T4,50.0,5.43,194.42,5.275151088516197,What,-1.1430237
A080,T1,A080_T1,56.0,11.43,1.0,0.6931471805599453,What,-0.3331419
A080,T2,A080_T2,56.0,11.43,29.03,3.402196881995239,What,-0.52528346
A080,T3,A080_T3,56.0,11.43,72.87,4.302306791540646,What,-0.8356168
A080,T4,A080_T4,56.0,11.43,145.77,4.988866735623107,What,-1.1089727
A081,T1,A081_T1,55.0,10.43,1.0,0.6931471805599453,What,-0.32426777
A081,T2,A081_T2,55.0,10.43,31.39,3.477849733183238,What,-0.46589303
A081,T3,A081_T3,55.0,10.43,80.13,4.396052806406973,What,-0.40189904
A081,T4,A081_T4,55.0,10.43,154.53,5.046838639056468,What,-0.7679094
