UID,location,TSVR_hours,test,theta,se,measure
A062,source,148.0,4,-0.91934156,0.5,accuracy
A063,source,1.0,1,1.103137,0.5,accuracy
A063,source,26.0,2,1.1051809,0.5,accuracy
A063,source,74.0,3,0.2864874,0.5,accuracy
A063,source,148.0,4,-0.9610751,0.5,accuracy
A064,source,1.0,1,0.73301834,0.5,accuracy
A064,source,26.0,2,1.187793,0.5,accuracy
A064,source,74.0,3,-0.08421605,0.5,accuracy
A064,source,148.0,4,-1.2915661,0.5,accuracy
A065,source,1.0,1,-1.3585184,0.5,accuracy
A065,source,26.0,2,-0.18607779,0.5,accuracy
A065,source,74.0,3,-1.534947,0.5,accuracy
A065,source,148.0,4,-1.4947524,0.5,accuracy
A066,source,1.0,1,-0.03744735,0.5,accuracy
A066,source,26.0,2,-0.48925865,0.5,accuracy
A066,source,74.0,3,-0.78109145,0.5,accuracy
A066,source,148.0,4,-1.5672717,0.5,accuracy
A067,source,1.0,1,0.33184186,0.5,accuracy
A067,source,26.0,2,-1.4980056,0.5,accuracy
A067,source,74.0,3,-1.2921559,0.5,accuracy
A067,source,148.0,4,-1.626856,0.5,accuracy
A068,source,1.0,1,1.1554995,0.5,accuracy
A068,source,26.0,2,-0.113646984,0.5,accuracy
A068,source,74.0,3,1.1442444,0.5,accuracy
A068,source,148.0,4,-0.48383042,0.5,accuracy
A069,source,1.0,1,-1.0576996,0.5,accuracy
A069,source,26.0,2,-0.9050108,0.5,accuracy
A069,source,74.0,3,-0.53834414,0.5,accuracy
A069,source,148.0,4,-1.7287896,0.5,accuracy
A070,source,1.0,1,-0.16930422,0.5,accuracy
A070,source,26.0,2,0.23320425,0.5,accuracy
A070,source,74.0,3,-0.75356513,0.5,accuracy
A070,source,148.0,4,-1.1904025,0.5,accuracy
A071,source,1.0,1,0.5082413,0.5,accuracy
A071,source,26.0,2,0.83159643,0.5,accuracy
A071,source,74.0,3,-0.4841799,0.5,accuracy
A071,source,148.0,4,0.43548703,0.5,accuracy
A072,source,1.0,1,1.1708913,0.5,accuracy
A072,source,26.0,2,1.1662811,0.5,accuracy
A072,source,74.0,3,-0.9678977,0.5,accuracy
A072,source,148.0,4,-0.172895,0.5,accuracy
A073,source,1.0,1,1.1209983,0.5,accuracy
A073,source,26.0,2,0.3522422,0.5,accuracy
A073,source,74.0,3,1.3783715,0.5,accuracy
A073,source,148.0,4,1.4486346,0.5,accuracy
A074,source,1.0,1,1.0531274,0.5,accuracy
A074,source,26.0,2,0.28312021,0.5,accuracy
A074,source,74.0,3,-0.56265223,0.5,accuracy
A074,source,148.0,4,-0.6709876,0.5,accuracy
A075,source,1.0,1,1.2248234,0.5,accuracy
A075,source,26.0,2,0.43895453,0.5,accuracy
A075,source,74.0,3,-1.422566,0.5,accuracy
A075,source,148.0,4,-0.6957722,0.5,accuracy
A076,source,1.0,1,0.15540236,0.5,accuracy
A076,source,26.0,2,-1.0829679,0.5,accuracy
A076,source,74.0,3,-1.1610296,0.5,accuracy
A076,source,148.0,4,-1.1055614,0.5,accuracy
A077,source,1.0,1,0.5334684,0.5,accuracy
A077,source,26.0,2,-0.17786074,0.5,accuracy
A077,source,74.0,3,-0.0657532,0.5,accuracy
A077,source,148.0,4,-0.39172974,0.5,accuracy
A078,source,1.0,1,-0.5279406,0.5,accuracy
A078,source,26.0,2,0.1811822,0.5,accuracy
A078,source,74.0,3,-0.7775617,0.5,accuracy
A078,source,148.0,4,-1.4361522,0.5,accuracy
A079,source,1.0,1,0.019097133,0.5,accuracy
A079,source,26.0,2,0.19691332,0.5,accuracy
A079,source,74.0,3,-0.70234376,0.5,accuracy
A079,source,148.0,4,-0.62206274,0.5,accuracy
A080,source,1.0,1,0.10537331,0.5,accuracy
A080,source,26.0,2,0.5328905,0.5,accuracy
A080,source,74.0,3,0.045848988,0.5,accuracy
A080,source,148.0,4,-0.66487795,0.5,accuracy
A081,source,1.0,1,0.37206882,0.5,accuracy
A081,source,26.0,2,-0.42201942,0.5,accuracy
A081,source,74.0,3,0.83210707,0.5,accuracy
A081,source,148.0,4,-0.09271791,0.5,accuracy
A082,source,1.0,1,0.071322605,0.5,accuracy
A082,source,26.0,2,1.181799,0.5,accuracy
A082,source,74.0,3,1.0123066,0.5,accuracy
A082,source,148.0,4,-0.5707041,0.5,accuracy
A083,source,1.0,1,1.2475034,0.5,accuracy
A083,source,26.0,2,0.6259196,0.5,accuracy
A083,source,74.0,3,0.113821276,0.5,accuracy
A083,source,148.0,4,0.19219941,0.5,accuracy
A084,source,1.0,1,0.8040474,0.5,accuracy
A084,source,26.0,2,0.14113443,0.5,accuracy
A084,source,74.0,3,-0.11596396,0.5,accuracy
A084,source,148.0,4,-0.59100777,0.5,accuracy
A085,source,1.0,1,-0.11570579,0.5,accuracy
A085,source,26.0,2,1.1474876,0.5,accuracy
A085,source,74.0,3,-0.103653476,0.5,accuracy
A085,source,148.0,4,-0.4273231,0.5,accuracy
A086,source,1.0,1,0.7650894,0.5,accuracy
A086,source,26.0,2,0.30255273,0.5,accuracy
A086,source,74.0,3,-1.0298048,0.5,accuracy
A086,source,148.0,4,-0.8856172,0.5,accuracy
A087,source,1.0,1,-0.14446898,0.5,accuracy
