location,test,accuracy,confidence,cooks_d,outlier_flag
destination,1,-0.5821275,-0.49119845,0.0,False
destination,2,-0.5422168,-0.49433705,0.0,False
destination,3,-0.26786017,-0.4989826,0.0,False
destination,4,0.8029541,-0.8942387,0.0,False
source,1,0.5334684,-0.36140457,0.0,False
source,2,-0.17786074,-1.2716068,0.0,False
source,3,-0.0657532,-0.84983426,0.0,False
source,4,-0.39172974,-1.0859673,0.0,False
destination,1,-0.27483156,-1.6547972,0.0,False
destination,2,0.06392656,-1.5204173,0.0,False
destination,3,0.34884748,-1.5768688,0.0,False
destination,4,-1.3704203,-1.2363594,0.0,False
source,1,-0.5279406,-0.7442093,0.0,False
source,2,0.1811822,-1.217172,0.0,False
source,3,-0.7775617,-0.9165854,0.0,False
source,4,-1.4361522,-1.074014,0.0,False
destination,1,1.3273735,-0.55983806,0.0,False
destination,2,-0.2008887,-0.5231431,0.0,False
destination,3,-0.19927017,-1.0692254,0.0,False
destination,4,-0.95253634,-1.0383948,0.0,False
source,1,0.019097133,-0.7045413,0.0,False
source,2,0.19691332,-0.8142296,0.0,False
source,3,-0.70234376,-0.79181707,0.0,False
source,4,-0.62206274,-0.7823519,0.0,False
destination,1,-0.1154154,0.4324323,0.0,False
destination,2,0.10268697,-0.22018896,0.0,False
destination,3,1.1151272,-0.9436877,0.0,False
destination,4,-0.40745336,-1.2143112,0.0,False
source,1,0.10537331,-0.42682707,0.0,False
source,2,0.5328905,-0.68094116,0.0,False
source,3,0.045848988,-0.72463816,0.0,False
source,4,-0.66487795,-0.9517683,0.0,False
destination,1,0.6662004,-0.78329015,0.0,False
destination,2,-0.9717388,-0.89706063,0.0,False
destination,3,1.2064252,-0.13209185,0.0,False
destination,4,1.4606197,-0.8795057,0.0,False
source,1,0.37206882,-0.27029097,0.0,False
source,2,-0.42201942,-0.33208665,0.0,False
source,3,0.83210707,-0.4603413,0.0,False
source,4,-0.09271791,-1.0726866,0.0,False
destination,1,-0.6594405,-1.1764239,0.0,False
destination,2,1.5764099,-1.0582744,0.0,False
destination,3,-0.7732746,-1.3677479,0.0,False
destination,4,0.112550795,-1.0435083,0.0,False
source,1,0.071322605,-0.50652784,0.0,False
