composite_ID,UID,TEST,TSVR_hours,theta,congruence,recip_TSVR,log_TSVR
A040_3,A040,3,71.28,-1.1753646,common,0.01383508577753182,4.280547465724028
A040_4,A040,4,143.53,-0.6841468,common,0.006918978758735211,4.97348709846075
A041_1,A041,1,1.0,1.2749807,common,0.5,0.6931471805599453
A041_2,A041,2,31.78,-1.0111216,common,0.03050640634533252,3.4898185733156835
A041_3,A041,3,75.74,-0.52210444,common,0.013031013812874642,4.340423084818807
A041_4,A041,4,141.84,0.22386456,common,0.007000840100812097,4.961725122726247
A042_1,A042,1,1.0,-0.38919944,common,0.5,0.6931471805599453
A042_2,A042,2,28.93,-0.94573104,common,0.03341129301703976,3.3988613218646075
A042_3,A042,3,72.17,-0.60165393,common,0.013666803334700014,4.292785500895938
A042_4,A042,4,146.02,-0.919106,common,0.006801795674057951,4.9905686319459415
A043_1,A043,1,1.0,1.0159061,common,0.5,0.6931471805599453
A043_2,A043,2,25.62,0.23345459,common,0.037565740045078885,3.2816628129669656
A043_3,A043,3,64.94,-0.1154044,common,0.015165301789505611,4.188745237643585
A043_4,A043,4,149.33,0.06730463,common,0.006652032195835827,5.012832877639743
A044_1,A044,1,1.0,-0.021611089,common,0.5,0.6931471805599453
A044_2,A044,2,47.66,0.33177772,common,0.020550760378133994,3.8848573373553763
A044_3,A044,3,91.63,-1.3885521,common,0.010795638562020943,4.5286130632659365
A044_4,A044,4,155.27,-0.6907909,common,0.00639918090484418,5.0515852804252095
A045_1,A045,1,1.0,-0.8811096,common,0.5,0.6931471805599453
A045_2,A045,2,24.66,0.25599375,common,0.03897116134060795,3.2449333591874905
A045_3,A045,3,72.23,0.28792378,common,0.013655605626109518,4.2936051730729785
A045_4,A045,4,151.52,-0.73880816,common,0.006556517178075006,5.027295734989363
A046_1,A046,1,1.0,-0.8263327,common,0.5,0.6931471805599453
A046_2,A046,2,24.32,-1.0503073,common,0.03949447077409163,3.2315945972759756
A046_3,A046,3,73.05,-1.6721164,common,0.013504388926401082,4.304740540713808
A046_4,A046,4,147.94,-1.5642638,common,0.006714113065664026,5.003543540282499
A047_1,A047,1,1.0,0.032663453,common,0.5,0.6931471805599453
A047_2,A047,2,23.46,0.31397206,common,0.04088307440719542,3.1970391302590264
A047_3,A047,3,76.85,-1.4813104,common,0.012845215157353887,4.354783898280007
A047_4,A047,4,144.22,-1.0614867,common,0.006886103842445944,4.978249833952101
A048_1,A048,1,1.0,1.0506663,common,0.5,0.6931471805599453
A048_2,A048,2,23.91,-0.6741307,common,0.04014452027298274,3.215269329274089
A048_3,A048,3,81.15,-0.10325131,common,0.012172854534388313,4.408546844483277
A048_4,A048,4,146.3,0.48396504,common,0.00678886625933469,4.9924713234685845
A049_1,A049,1,1.0,1.7571232,common,0.5,0.6931471805599453
A049_2,A049,2,27.12,-0.60318244,common,0.03556187766714082,3.336481066942464
A049_3,A049,3,111.38,0.6597407,common,0.008898380494749955,4.721885985684052
A049_4,A049,4,168.86,0.3402084,common,0.005887201224537854,5.134974568351863
A050_1,A050,1,1.0,-0.32734805,common,0.5,0.6931471805599453
A050_2,A050,2,24.73,-0.5032114,common,0.0388651379712398,3.2476576262936527
A050_3,A050,3,93.39,-0.91217804,common,0.010594342621040365,4.547435135336853
A050_4,A050,4,148.69,-0.3601759,common,0.006680472977486807,5.008566488927144
A051_1,A051,1,1.0,0.88582057,common,0.5,0.6931471805599453
A051_2,A051,2,17.16,-0.28985074,common,0.05506607929515418,2.8992213731731473
A051_3,A051,3,65.63,-0.6146358,common,0.015008254539996999,4.199154926574446
A051_4,A051,4,146.99,-0.11835715,common,0.006757213325224677,4.997144703913756
A052_1,A052,1,1.0,0.7985213,common,0.5,0.6931471805599453
A052_2,A052,2,31.76,-0.44622117,common,0.03052503052503052,3.4892082589848687
A052_3,A052,3,80.98,-0.017932264,common,0.01219809709685289,4.406475315076191
A052_4,A052,4,153.27,0.04671596,common,0.006482141699617553,5.038704314023848
A053_1,A053,1,1.0,1.12028,common,0.5,0.6931471805599453
A053_2,A053,2,32.71,0.83742,common,0.029664787896766538,3.5177945292459696
A053_3,A053,3,78.28,-0.50420165,common,0.012613521695257316,4.372985890021733
A053_4,A053,4,148.9,-0.45412505,common,0.0066711140760507,5.009968405108552
A054_1,A054,1,1.0,0.18263195,common,0.5,0.6931471805599453
A054_2,A054,2,16.9,0.97050226,common,0.0558659217877095,2.884800712846709
A054_3,A054,3,72.83,0.35355416,common,0.013544629554381687,4.3017651530710745
