composite_ID,UID,TEST,TSVR_hours,theta,congruence,recip_TSVR,log_TSVR
A054_4,A054,4,136.83,1.2971294,common,0.00725531451788435,4.926021041706347
A055_1,A055,1,1.0,-0.84173906,common,0.5,0.6931471805599453
A055_2,A055,2,23.24,0.4803198,common,0.041254125412541254,3.1880041612011136
A055_3,A055,3,74.48,-1.0578766,common,0.013248542660307365,4.32386772050035
A055_4,A055,4,149.21,-1.1588173,common,0.006657346381732241,5.012034315009963
A056_1,A056,1,1.0,0.57677263,common,0.5,0.6931471805599453
A056_2,A056,2,33.61,-0.4870755,common,0.02889338341519792,3.544142657647253
A056_3,A056,3,71.46,0.41734344,common,0.013800717637317142,4.283034685466931
A056_4,A056,4,147.84,-1.3208041,common,0.0067186240257995165,5.002871903478422
A057_1,A057,1,1.0,-0.6586051,common,0.5,0.6931471805599453
A057_2,A057,2,24.78,-0.5845993,common,0.038789759503491075,3.2495989975110415
A057_3,A057,3,73.83,-0.740959,common,0.013363624214887078,4.315218874092267
A057_4,A057,4,145.06,-1.6140344,common,0.006846501437765302,4.984017496191964
A058_1,A058,1,1.0,1.2305706,common,0.5,0.6931471805599453
A058_2,A058,2,22.96,-1.1810384,common,0.041736227045075125,3.1763857732472487
A058_3,A058,3,66.28,-0.43858027,common,0.014863258026159334,4.208863015664693
A058_4,A058,4,143.48,-0.59969,common,0.006921373200442968,4.973141089668675
A059_1,A059,1,1.0,0.9413848,common,0.5,0.6931471805599453
A059_2,A059,2,30.4,1.2146442,common,0.03184713375796178,3.4468078929142076
A059_3,A059,3,79.78,1.4220468,common,0.012379301807378064,4.391729410135267
A059_4,A059,4,151.93,0.37158412,common,0.00653893938403191,5.029980300360032
A060_1,A060,1,1.0,-0.41893917,common,0.5,0.6931471805599453
A060_2,A060,2,24.87,0.87463915,common,0.038654812524159254,3.2530839961979376
A060_3,A060,3,94.68,-0.51012707,common,0.010451505016722408,4.561009290202322
A060_4,A060,4,143.91,0.5292025,common,0.006900835001035125,4.976112860057833
A061_1,A061,1,1.0,2.0136983,common,0.5,0.6931471805599453
A061_2,A061,2,35.16,0.953521,common,0.02765486725663717,3.5879535355239756
A061_3,A061,3,82.55,-0.3127364,common,0.01196888090963495,4.425445255041403
A061_4,A061,4,146.56,-0.5812956,common,0.006776904310111141,4.994234872728475
A062_1,A062,1,1.0,2.011653,common,0.5,0.6931471805599453
A062_2,A062,2,44.69,-0.35419762,common,0.02188662727073758,3.8218794555751803
A062_3,A062,3,92.72,-0.97456145,common,0.010670081092616303,4.540311613639595
A062_4,A062,4,149.18,-1.426174,common,0.006658676255160474,5.011834574671738
A063_1,A063,1,1.0,1.0972812,common,0.5,0.6931471805599453
A063_2,A063,2,21.98,0.82705617,common,0.04351610095735422,3.1346242724206097
A063_3,A063,3,69.99,0.27556694,common,0.014086491055078181,4.262539022051294
A063_4,A063,4,141.09,-0.8945666,common,0.007037792948131466,4.956460659649984
A064_1,A064,1,1.0,1.2642903,common,0.5,0.6931471805599453
A064_2,A064,2,37.65,0.73144156,common,0.0258732212160414,3.654546775033431
A064_3,A064,3,82.99,0.31989926,common,0.011906179307060364,4.430697744137536
A064_4,A064,4,156.21,-0.92497724,common,0.006360918516633802,5.057582491203423
A065_1,A065,1,1.0,-1.3171538,common,0.5,0.6931471805599453
A065_2,A065,2,32.31,0.06738905,common,0.030021014710297205,3.5058576522055884
A065_3,A065,3,106.41,-1.744844,common,0.009310120100549298,4.676653287609955
A065_4,A065,4,187.43,-2.1507194,common,0.005307010560951016,5.238726585134399
A066_1,A066,1,1.0,0.52085555,common,0.5,0.6931471805599453
A066_2,A066,2,23.35,-0.2666786,common,0.04106776180698152,3.192531849528599
A066_3,A066,3,73.79,-0.3462124,common,0.013370771493515175,4.314684186203576
