composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent,CTT_common,CTT_congruent,CTT_incongruent,UID,TEST
A017_1,-0.17695434,-0.758377,-0.49409226,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6052631578947368,0.5,0.5384615384615384,A017,1
A017_2,0.741939,0.2569686,1.3314309,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7236842105263158,0.6805555555555556,0.8846153846153846,A017,2
A017_3,0.18003759,-0.52562934,0.57876515,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6578947368421053,0.5277777777777778,0.7307692307692307,A017,3
A017_4,0.4956496,0.04020235,0.9919836,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7105263157894737,0.5555555555555556,0.8076923076923077,A017,4
A018_1,1.0604457,1.5102456,0.6507261,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7368421052631579,0.9166666666666666,0.5961538461538461,A018,1
A018_2,-0.07882557,-0.21597247,0.8876945,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7105263157894737,0.5694444444444444,0.8461538461538461,A018,2
A018_3,-1.0491173,0.060849763,-0.38700706,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.3947368421052631,0.6666666666666666,0.4807692307692308,A018,3
A018_4,0.44031787,-0.17055476,0.28919047,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7236842105263158,0.5138888888888888,0.5192307692307693,A018,4
A019_1,-0.8709922,-1.0139009,-0.28521618,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5526315789473685,0.5555555555555556,0.5576923076923077,A019,1
A019_2,-0.35722595,-0.52953434,-1.109437,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5263157894736842,0.625,0.3076923076923077,A019,2
A019_3,-0.8311249,-0.8048507,-0.12449538,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.4210526315789473,0.6388888888888888,0.6346153846153846,A019,3
A019_4,-0.5362667,-1.1073892,-0.2515996,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6578947368421053,0.3333333333333333,0.4038461538461538,A019,4
A020_1,0.3413008,0.5093016,0.10248403,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.631578947368421,0.75,0.4230769230769231,A020,1
A020_2,0.4715719,-0.5068383,0.029921481,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6710526315789473,0.5138888888888888,0.5,A020,2
A020_3,0.16060348,-1.5806824,-1.1270595,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7368421052631579,0.2777777777777778,0.2884615384615384,A020,3
A020_4,-1.9810846,-2.0976696,-1.7975917,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.2105263157894736,0.2777777777777778,0.3653846153846153,A020,4
A021_1,0.80163884,2.0377793,1.0467342,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7631578947368421,1.0,0.7692307692307693,A021,1
A021_2,0.10639259,0.26171365,-0.287681,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6052631578947368,0.75,0.75,A021,2
A021_3,0.81882334,-0.1410835,-0.33009732,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.8157894736842105,0.6944444444444444,0.5384615384615384,A021,3
A021_4,0.684539,0.18201117,1.0272207,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6710526315789473,0.5972222222222222,0.7692307692307693,A021,4
A022_1,-0.5011533,0.49725094,0.4842986,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.4868421052631579,0.8333333333333334,0.8076923076923077,A022,1
A022_2,0.2091155,0.19156887,0.75264776,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.618421052631579,0.6805555555555556,0.7115384615384616,A022,2
A022_3,0.274723,1.4768845,0.632036,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5526315789473685,0.8888888888888888,0.7115384615384616,A022,3
A022_4,0.382118,0.73934454,0.3970194,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6842105263157895,0.7638888888888888,0.6538461538461539,A022,4
