composite_ID,domain_name,theta
A029_T2,cued_recall,0.665125
A029_T3,cued_recall,1.2564777
A029_T4,cued_recall,0.15726765
A030_T1,cued_recall,0.24960181
A030_T2,cued_recall,1.1865265
A030_T3,cued_recall,0.42548284
A030_T4,cued_recall,0.43531352
A031_T1,cued_recall,1.1097045
A031_T2,cued_recall,-0.02385518
A031_T3,cued_recall,-0.32465583
A031_T4,cued_recall,-1.3421338
A032_T1,cued_recall,0.52818954
A032_T2,cued_recall,-0.39342964
A032_T3,cued_recall,0.040491976
A032_T4,cued_recall,1.8120422
A033_T1,cued_recall,-0.07482535
A033_T2,cued_recall,0.45553738
A033_T3,cued_recall,0.8876147
A033_T4,cued_recall,0.012849033
A034_T1,cued_recall,1.5361278
A034_T2,cued_recall,1.106263
A034_T3,cued_recall,0.3512957
A034_T4,cued_recall,0.01874953
A035_T1,cued_recall,-0.30726084
A035_T2,cued_recall,0.6302377
A035_T3,cued_recall,-0.56393063
A035_T4,cued_recall,-0.7863202
A036_T1,cued_recall,1.1591142
A036_T2,cued_recall,-0.010205895
A036_T3,cued_recall,-0.21755704
A036_T4,cued_recall,-1.1033306
A037_T1,cued_recall,0.930828
A037_T2,cued_recall,1.4458745
A037_T3,cued_recall,0.4994654
A037_T4,cued_recall,-0.35505232
A038_T1,cued_recall,0.93205726
A038_T2,cued_recall,-0.48769775
A038_T3,cued_recall,1.1442316
A038_T4,cued_recall,0.2925616
A039_T1,cued_recall,2.3684413
A039_T2,cued_recall,1.0701635
A039_T3,cued_recall,1.0783857
A039_T4,cued_recall,0.84890383
A040_T1,cued_recall,-0.38396344
A040_T2,cued_recall,-0.07542484
A040_T3,cued_recall,-1.6174587
A040_T4,cued_recall,-1.3654095
A041_T1,cued_recall,0.9304528
A041_T2,cued_recall,-0.88495684
A041_T3,cued_recall,0.08008985
A041_T4,cued_recall,0.18733235
A042_T1,cued_recall,-0.7978224
A042_T2,cued_recall,-0.7173867
A042_T3,cued_recall,-0.9845599
A042_T4,cued_recall,-1.2684757
A043_T1,cued_recall,0.7010748
A043_T2,cued_recall,0.19385275
A043_T3,cued_recall,0.6832543
A043_T4,cued_recall,-0.37783575
A044_T1,cued_recall,-0.31745797
A044_T2,cued_recall,-0.7589711
A044_T3,cued_recall,-1.3840845
A044_T4,cued_recall,-0.8597264
A045_T1,cued_recall,0.010041433
A045_T2,cued_recall,-0.9781486
A045_T3,cued_recall,-0.73183286
A045_T4,cued_recall,-1.1632024
A046_T1,cued_recall,-0.8493487
A046_T2,cued_recall,-1.3096559
A046_T3,cued_recall,-2.3388553
A046_T4,cued_recall,-1.6172409
A047_T1,cued_recall,-0.4286697
A047_T2,cued_recall,-0.5339437
A047_T3,cued_recall,-1.0338975
A047_T4,cued_recall,-1.4016602
A048_T1,cued_recall,1.3272063
A048_T2,cued_recall,0.25303265
A048_T3,cued_recall,0.18484353
A048_T4,cued_recall,0.3659707
A049_T1,cued_recall,2.6705203
A049_T2,cued_recall,-0.5073319
A049_T3,cued_recall,0.58911026
A049_T4,cued_recall,0.49387115
A050_T1,cued_recall,0.116220094
A050_T2,cued_recall,-0.6291641
A050_T3,cued_recall,-1.3598979
A050_T4,cued_recall,-0.9128048
A051_T1,cued_recall,1.7051834
A051_T2,cued_recall,0.10294883
A051_T3,cued_recall,-0.41325337
A051_T4,cued_recall,-0.15062687
A052_T1,cued_recall,0.8042029
A052_T2,cued_recall,0.5821019
A052_T3,cued_recall,0.41771144
A052_T4,cued_recall,-0.9746603
A053_T1,cued_recall,1.0747491
A053_T2,cued_recall,0.95201176
A053_T3,cued_recall,-0.58744925
A053_T4,cued_recall,-0.10557687
A054_T1,cued_recall,0.7764491
A054_T2,cued_recall,0.5012957
A054_T3,cued_recall,0.89603406
A054_T4,cued_recall,1.4674674
A055_T1,cued_recall,-0.00033148527
A055_T2,cued_recall,0.89307404
A055_T3,cued_recall,-0.51121193
A055_T4,cued_recall,-1.1529888
A056_T1,cued_recall,0.6783654
A056_T2,cued_recall,0.16876228
A056_T3,cued_recall,0.2677905
A056_T4,cued_recall,-1.519925
A057_T1,cued_recall,-0.011395454
A057_T2,cued_recall,-0.9297881
A057_T3,cued_recall,-0.77928877
A057_T4,cued_recall,-1.3875074
A058_T1,cued_recall,1.4859438
A058_T2,cued_recall,-0.723019
