UID,TEST,Paradigm,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A028,T2,IFR,22.82,0.095417134,-0.27348408,0.0539541934902769,0.8287686484947744,0.5335715807276042
A028,T3,IFR,72.26,0.1234633,-0.5850953,0.0842000535504078,0.3098868963601566,0.17890724933672653
A028,T4,IFR,138.91,-0.8479047,-0.89578515,-0.9633534906627002,-0.2074606296321411,0.2584711884147134
A029,T1,IFR,1.0,2.242445,0.2032756,2.369376001242443,1.6226485932077397,0.1269304553379056
A029,T2,IFR,28.43,0.29875055,-0.23989162,0.2732352904460736,0.8847053843520778,0.4823558691132672
A029,T3,IFR,93.26,1.3977594,-0.35276702,1.458440707897618,0.6967500683499909,-0.11809782300444066
A029,T4,IFR,143.14,0.5618795,-0.25487813,0.5570017560467252,0.8597504852082569,0.3518250895800962
A030,T1,IFR,1.0,0.12693016,-0.71084976,0.0879388234916562,0.1004859173339755,0.03918157698181469
A030,T2,IFR,32.95,0.890774,-0.24096577,0.9116918417271244,0.882916755450797,0.22455111601108985
A030,T3,IFR,71.93,0.30001456,-0.59410924,0.2745984382493993,0.29487726679407,0.09247000141685383
A030,T4,IFR,150.46,0.70453537,-0.37904358,0.7108462951105037,0.6529954580607003,0.1535117870509624
A031,T1,IFR,1.0,1.83632,0.21379074,1.9313981358571837,1.640157957174611,0.31453095749278503
A031,T2,IFR,32.41,-0.20975925,-0.3242269,-0.2751575362242497,0.7442738624923592,0.6100823098306953
A031,T3,IFR,71.56,-0.34666744,-0.76721454,-0.42280359792929,0.0066296826159757,0.18251839251520205
A031,T4,IFR,143.85,-0.9627389,-1.2054753,-1.0871942731538642,-0.7231434976971376,-0.03214732153231081
A032,T1,IFR,1.0,0.71397096,-0.2334175,0.7210219296241399,0.8954858136611693,0.3094865131014182
A032,T2,IFR,57.18,-0.325758,-0.4512196,-0.4002542057529868,0.5328110188748993,0.5207803240466832
A032,T3,IFR,80.16,0.41406077,-0.45501208,0.3975894277503633,0.5264959424558426,0.19592295933760992
A032,T4,IFR,144.51,1.8328576,-0.25482178,1.9276641757190245,0.8598443168319475,-0.1990432005016094
A033,T1,IFR,1.0,0.10781428,-0.30860895,0.0673236623531871,0.7702802086719058,0.4895903289546756
A033,T2,IFR,29.16,-0.23640966,-0.7347773,-0.3038981694860336,0.060642795255537,0.17037837028923516
A033,T3,IFR,72.6,0.96893936,-0.250095,0.9959878036104616,0.8677151498794703,0.1806344329643899
A033,T4,IFR,168.33,-0.08949685,-0.55943835,-0.1454628135696281,0.3526097584266454,0.299419788697331
A034,T1,IFR,1.0,1.6616325,-0.04641245,1.7430096880652786,1.2068786704460497,0.10425057160235318
A034,T2,IFR,26.08,1.3464628,-0.021548213,1.4031208547255123,1.2482815405354206,0.2681965226045727
A034,T3,IFR,74.28,0.25853375,-0.31753966,0.2298642391278197,0.7554091701624255,0.41444185601261097
A034,T4,IFR,145.38,-0.10638464,-1.0528941,-0.1636751329670416,-0.4690717720423215,-0.2356412848303408
A035,T1,IFR,1.0,-0.65596753,-0.7573082,-0.7563624607958177,0.0231252987123449,0.3274790885037197
A035,T2,IFR,44.76,0.8209889,-0.33170658,0.8364334135739774,0.7318190174331657,0.15506315318086428
A035,T3,IFR,79.98,-0.50477034,-1.0113604,-0.5933066958750435,-0.3999116210418743,-0.017301512559482535
A035,T4,IFR,152.47,-0.99131393,-0.8755591,-1.11801047664471,-0.1737810712941506,0.34286615750974436
A036,T1,IFR,1.0,0.8689254,-1.634751,0.8881296301182444,-1.4379551381920292,-1.297955883792818
A036,T2,IFR,21.63,-0.1759345,-2.3438737,-0.2386798709680108,-2.6187561024654946,-1.6244725340547044
A036,T3,IFR,71.47,-0.7087776,-2.0187669,-0.813314487214891,-2.077402084420577,-1.0361604799581128
A036,T4,IFR,143.85,-1.176061,-2.1569333,-1.317247478441647,-2.3074708981113434,-0.9854728497838922
