UID,Source_intercept,Source_slope,Destination_intercept,Destination_slope
A099,0.500568492575665,0.6795577169234509,1.0096782496128112,0.2889752940605983
A100,0.5613993945130276,-0.0747550629805546,1.0854151667264649,-0.0204497750011991
A101,-0.8726717330397586,-0.0606300752178173,-0.8726934390512903,-0.0182965874839744
A102,0.0025781137233535,0.1806330635682421,-0.4233696237637451,0.0878967940869088
A103,-1.722434201281999,0.1570031000913063,-1.6831448990016469,0.0762186465025855
A104,0.4433598341769911,-1.035283293438486,0.1571814674492292,-0.5986907749339959
A105,0.68126006538998,-0.0450949222425852,0.8637190243335909,-0.1170489314013901
A106,-0.1411044416889541,0.1610888738477844,0.1312136384676062,0.0632274120951415
A107,-1.3639121983487554,0.2868575642827877,-0.9197172767964856,0.2044065530602959
A108,-1.2071125084008736,0.386730540347185,-1.1055000835963125,0.277751888490186
A109,-0.2092916775519532,0.4771749591332639,0.2384910143975682,0.2133162402013559
