composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A063_T1,A063,T1,1.0,-0.12929891795747772,0.017087406879861072
A063_T2,A063,T2,21.98,-0.7093098314737167,0.03039797584651761
A063_T3,A063,T3,69.99,-1.195984003393582,0.018884958395111225
A063_T4,A063,T4,141.09,-1.5295974661941094,0.029685247479251105
A064_T1,A064,T1,1.0,0.9082978267822335,0.014628091416719169
A064_T2,A064,T2,37.65,0.30227361165449945,0.018930837010362144
A064_T3,A064,T3,82.99,0.043492794861217245,0.013808369420548574
A064_T4,A064,T4,156.21,-0.16557231281527243,0.024089417492401493
A065_T1,A065,T1,1.0,-0.192108519341421,0.01965493002612727
A065_T2,A065,T2,32.31,-0.9147977102512291,0.030863328164305006
A065_T3,A065,T3,106.41,-1.4398296820893084,0.018268979378036357
A065_T4,A065,T4,187.43,-1.709153003010109,0.03211055378617515
A066_T1,A066,T1,1.0,0.43377296225998885,0.016967601260578977
A066_T2,A066,T2,23.35,-0.15955838182275647,0.030117646206203913
A066_T3,A066,T3,73.79,-0.6398652106199736,0.021254006646070543
A066_T4,A066,T4,164.93,-1.0176169787948541,0.034066398117549385
A067_T1,A067,T1,1.0,-0.1988735261907405,0.06700078111294577
A067_T2,A067,T2,29.91,-1.0404720542099475,0.03455958062104639
A067_T3,A067,T3,73.19,-1.5088798779490442,0.037889303576035066
A067_T4,A067,T4,144.19,-1.8994463252047415,0.030511709772574974
A068_T1,A068,T1,1.0,1.9771274227715971,0.02825782492829862
A068_T2,A068,T2,30.49,1.1871079331313064,0.04261635242229369
A068_T3,A068,T3,82.98,0.689967883521872,0.022911604876189148
A068_T4,A068,T4,155.59,0.34305272557966715,0.04367071190861886
A069_T1,A069,T1,1.0,-0.05847327964774902,0.047459997600989096
A069_T2,A069,T2,24.96,-0.7670184412602424,0.03181084830401761
A069_T3,A069,T3,79.75,-1.3300056235814772,0.028751645203188906
A069_T4,A069,T4,140.22,-1.6345852805619023,0.023282329572556076
A070_T1,A070,T1,1.0,0.17368138960827922,0.042869245526983235
A070_T2,A070,T2,24.25,-0.6702861424972267,0.06770581761264136
A070_T3,A070,T3,81.92,-1.4054898204314992,0.03616861900749873
A070_T4,A070,T4,149.2,-1.829556164557175,0.08017931106671523
A071_T1,A071,T1,1.0,0.99083908547848,0.04978073156378236
A071_T2,A071,T2,30.92,0.20113050604314386,0.031680275037956125
A071_T3,A071,T3,79.96,-0.25924000197508057,0.03035225548365709
A071_T4,A071,T4,153.27,-0.6024509200188958,0.0264040983436567
A072_T1,A072,T1,1.0,1.2333965700678355,0.01799461722045748
A072_T2,A072,T2,33.76,0.615084758817765,0.019664710466227593
A072_T3,A072,T3,83.54,0.2874704705374318,0.013863338669826662
A072_T4,A072,T4,154.89,0.051630072453013535,0.02360987521288845
