composite_ID,UID,test,theta_All,se_All,TSVR_hours,Days,Days_squared,log_Days_plus1
A049_T3,A049,T3,-0.15933253,0.07339282,111.38,4.640833333333333,21.537334027777774,1.730031808732516
A049_T4,A049,T4,-0.10835778,0.07339282,168.86,7.035833333333334,49.50295069444445,2.083910706734293
A050_T1,A050,T1,0.035831243,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A050_T2,A050,T2,-0.56609553,0.07339282,24.73,1.0304166666666668,1.0617585069444446,0.7082410265074691
A050_T3,A050,T3,-1.4636116,0.07339282,93.39,3.89125,15.141826562499999,1.587447894542485
A050_T4,A050,T4,-1.8676877,0.07339282,148.69,6.195416666666667,38.38318767361111,1.973444249248633
A051_T1,A051,T1,1.7638129,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A051_T2,A051,T2,1.4229454,0.07339282,17.16,0.715,0.5112249999999999,0.5394130806179032
A051_T3,A051,T3,0.2748946,0.07339282,65.63,2.734583333333333,7.4779460069444434,1.3176362550213248
A051_T4,A051,T4,0.112219095,0.07339282,146.99,6.124583333333334,37.51052100694445,1.963551244912556
A052_T1,A052,T1,1.0086244,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A052_T2,A052,T2,0.23544133,0.07339282,31.76,1.3233333333333335,1.7512111111111115,0.8430029361043228
A052_T3,A052,T3,-0.10714758,0.07339282,80.98,3.374166666666667,11.385000694444447,1.4757160254762083
A052_T4,A052,T4,0.06826525,0.07339282,153.27,6.38625,40.784189062500005,1.9996201636777473
A053_T1,A053,T1,0.7935923,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A053_T2,A053,T2,-0.35076645,0.07339282,32.71,1.3629166666666668,1.8575418402777781,0.8598967316779912
A053_T3,A053,T3,-0.35888958,0.07339282,78.28,3.2616666666666667,10.638469444444445,1.4496603200750402
A053_T4,A053,T4,-0.38389128,0.07339282,148.9,6.204166666666667,38.49168402777778,1.9746595623412992
A054_T1,A054,T1,1.6660749,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A054_T2,A054,T2,0.7989242,0.07339282,16.9,0.7041666666666666,0.49585069444444435,0.5330762327008104
A054_T3,A054,T3,0.90146124,0.07339282,72.83,3.0345833333333334,9.208696006944445,1.3949030332754941
A054_T4,A054,T4,0.721319,0.07339282,136.83,5.701250000000001,32.50425156250001,1.9022940761596105
A055_T1,A055,T1,0.8933571,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A055_T2,A055,T2,-0.30982408,0.07339282,23.24,0.9683333333333333,0.9376694444444443,0.6771871609812159
A055_T3,A055,T3,-0.7091042,0.07339282,74.48,3.1033333333333335,9.630677777777779,1.4117996515282525
A055_T4,A055,T4,-0.52702236,0.07339282,149.21,6.217083333333334,38.65212517361112,1.9764509008342432
A056_T1,A056,T1,0.35512546,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A056_T2,A056,T2,-0.11481737,0.07339282,33.61,1.4004166666666666,1.9611668402777778,0.8756423333963461
A056_T3,A056,T3,-0.09799757,0.07339282,71.46,2.9774999999999996,8.865506249999997,1.3806534812298048
A056_T4,A056,T4,-0.4329056,0.07339282,147.84,6.16,37.9456,1.9685099809725544
A057_T1,A057,T1,0.7148236,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A057_T2,A057,T2,0.027630882,0.07339282,24.78,1.0325,1.06605625,0.7092665624398284
A057_T3,A057,T3,-0.79511607,0.07339282,73.83,3.07625,9.4633140625,1.405177448121392
A057_T4,A057,T4,-1.8122908,0.07339282,145.06,6.0441666666666665,36.53195069444444,1.952199851152836
A058_T1,A058,T1,0.6129219,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A058_T2,A058,T2,-1.2515614,0.07339282,22.96,0.9566666666666667,0.9152111111111111,0.6712423451718953
A058_T3,A058,T3,-1.0903395,0.07339282,66.28,2.7616666666666667,7.626802777777778,1.3248621216013894
A058_T4,A058,T4,-1.8317188,0.07339282,143.48,5.978333333333333,35.740469444444436,1.942810110802997
A059_T1,A059,T1,0.35930577,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A059_T2,A059,T2,-0.2759761,0.07339282,30.4,1.2666666666666666,1.6044444444444443,0.8183103235139513
A059_T3,A059,T3,-0.64548576,0.07339282,79.78,3.3241666666666667,11.050084027777778,1.464219443591648
A059_T4,A059,T4,-0.47585383,0.07339282,151.93,6.330416666666667,40.07417517361112,1.9920323583030093
A060_T1,A060,T1,1.1899056,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A060_T2,A060,T2,1.1297755,0.07339282,24.87,1.0362500000000001,1.0738140625000003,0.7111098809341178
A060_T3,A060,T3,0.7342384,0.07339282,94.68,3.9450000000000003,15.563025000000001,1.5983769650746755
A060_T4,A060,T4,1.113592,0.07339282,143.91,5.99625,35.9550140625,1.9453742912234322
A061_T1,A061,T1,3.035337,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A061_T2,A061,T2,2.2201235,0.07339282,35.16,1.4649999999999999,2.1462249999999994,0.9021918074946533
A061_T3,A061,T3,0.58240455,0.07339282,82.55,3.439583333333333,11.830733506944444,1.4905605281966805
A061_T4,A061,T4,1.2262194,0.07339282,146.56,6.1066666666666665,37.291377777777775,1.9610333106295341
A062_T1,A062,T1,0.8056381,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A062_T2,A062,T2,-0.1124377,0.07339282,44.69,1.8620833333333333,3.467354340277778,1.0515497978778447
A062_T3,A062,T3,-0.80934817,0.07339282,92.72,3.8633333333333333,14.925344444444445,1.5817240738665845
A062_T4,A062,T4,-1.309975,0.07339282,149.18,6.215833333333333,38.63658402777778,1.9762776856717095
A063_T1,A063,T1,-0.22373737,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A063_T2,A063,T2,-0.5303791,0.07339282,21.98,0.9158333333333334,0.8387506944444445,0.65015268898709
A063_T3,A063,T3,-1.2802118,0.07339282,69.99,2.91625,8.504514062499998,1.3651345632842644
