composite_ID,theta_What,theta_Where,theta_When
A090_T1,-1.6694237,-1.4756273,-1.5439972
A090_T2,-1.231995,-1.2440255,-1.1113656
A090_T3,-2.343972,-2.1642137,-2.2179248
A090_T4,-2.383801,-2.0109892,-2.120576
A091_T1,-0.31102517,-0.57862794,-0.18884012
A091_T2,-0.6510467,-0.6094017,-1.0021944
A091_T3,-1.295363,-0.8494066,-1.5836357
A091_T4,-0.6915264,-0.41715935,-1.1188887
A092_T1,-0.39631176,-0.5499598,-0.048927873
A092_T2,-0.874028,-0.3638656,-0.48022532
A092_T3,-1.0167565,-0.6071679,-0.949049
A092_T4,-1.5746155,-0.90732133,-1.531755
A093_T1,-0.31084672,-0.29207903,0.21607958
A093_T2,-1.5315979,-1.7473596,-1.7845649
A093_T3,-2.2868278,-2.0665236,-2.2663598
A093_T4,-2.3151166,-2.109843,-2.1289084
A094_T1,-0.8733607,-1.0246629,-0.858511
A094_T2,-0.84126997,-1.0448214,-0.9233086
A094_T3,-1.1084818,-1.297069,-1.2907438
A094_T4,-1.2153608,-0.9864897,-1.2585236
A095_T1,-0.24935532,-0.24886794,0.33855438
A095_T2,-0.9429458,-0.7041991,-0.9394098
A095_T3,-0.5604514,-0.6586784,-0.44877037
A095_T4,-1.0292403,-1.0800077,-1.0462689
A096_T1,-0.7722609,-0.21997853,0.03505868
A096_T2,-0.9537298,-0.8806961,0.053854737
A096_T3,-0.642855,-0.8012751,-0.26232097
A096_T4,-0.8880069,-0.45656487,0.01525935
A097_T1,-1.0316466,-0.858112,-0.76184154
A097_T2,-2.4364095,-2.0705633,-1.9999062
A097_T3,-1.826925,-1.7153888,-1.6018606
A097_T4,-2.2625446,-2.2418253,-2.168877
A098_T1,-0.32570514,-0.352764,-0.113549925
A098_T2,-0.47275475,-0.61451584,-0.2635758
A098_T3,-0.38767546,-0.14431314,-0.5267351
A098_T4,-0.56587017,-0.5530048,-0.1797722
A099_T1,-0.1933334,-0.34824362,-0.2057989
A099_T2,-0.42159227,-0.41765174,-0.42506936
A099_T3,-0.41357124,-0.23385498,-0.6174337
A099_T4,0.018703647,0.05186575,0.09978434
A100_T1,-1.2776049,-0.9276766,-0.94457746
A100_T2,-1.4885942,-1.2011194,-1.3038135
A100_T3,-1.2015793,-1.00375,-1.2467386
A100_T4,-2.177189,-2.254093,-2.0015745
