composite_ID,theta_What,theta_Where,theta_When
A025_T1,0.48293662,0.88115525,0.7289461
A025_T2,0.23321667,0.5395233,-0.05928211
A025_T3,-0.7970312,-0.0737926,-0.3742996
A025_T4,-1.9903436,-1.7740364,-1.6773081
A026_T1,0.28259417,0.6610412,0.3300065
A026_T2,0.44538358,0.14068994,-0.47674817
A026_T3,0.77498764,0.5005713,-0.35617104
A026_T4,0.37692162,0.7209866,-0.037839487
A027_T1,1.3544594,1.2316928,0.20831324
A027_T2,0.61646074,0.8363026,-0.3417552
A027_T3,-0.37348893,-0.18968897,-0.51930505
A027_T4,-0.8877184,-0.9277913,-1.0202496
A028_T1,1.6566657,1.0295993,0.94847685
A028_T2,0.77889436,0.52599925,0.35507268
A028_T3,-0.018817037,-0.37943977,-0.5419199
A028_T4,0.19788036,-0.41019008,-0.17907536
A029_T1,1.6095282,1.807425,1.0701286
A029_T2,0.8338137,0.99716675,1.1098788
A029_T3,0.2742139,0.5233576,0.78843576
A029_T4,0.7940661,0.8404818,0.6671682
A030_T1,0.10245449,0.16146135,0.48986772
A030_T2,0.41812646,0.651474,0.58352876
A030_T3,-0.114958294,-0.09148778,-0.3096909
A030_T4,-0.3886515,0.20014694,-0.13072547
A031_T1,1.5672276,2.3874776,1.483622
A031_T2,0.7814246,0.4681427,-0.08705535
A031_T3,-0.15674497,-0.30733562,-0.05311813
A031_T4,-0.69105697,-0.80707437,-0.62702745
A032_T1,0.15906884,0.47581536,0.0043056537
A032_T2,-0.18762012,-0.36393392,-1.2128365
A032_T3,0.003759951,-0.38260955,-0.38642234
A032_T4,0.017352404,0.30729058,0.3740662
A033_T1,0.9849708,0.756276,0.34215984
A033_T2,0.52950835,0.48224255,0.09999629
A033_T3,0.74378633,0.22165829,0.2446528
A033_T4,-0.27217814,-0.88271004,-0.5644109
A034_T1,1.9694862,1.8555467,1.8390939
A034_T2,1.0133814,1.6196369,1.8098484
A034_T3,0.87087333,1.1697499,1.3694692
A034_T4,0.080423005,0.66490114,0.9939579
A035_T1,0.4352891,0.8428105,0.8794999
A035_T2,0.64520705,0.7074209,0.5717007
A035_T3,-0.13357198,0.06691841,0.36121637
A035_T4,-0.407174,-0.47703782,0.21940301
A036_T1,-0.68959,-0.83898187,-0.7446073
A036_T2,-1.5393137,-1.4299022,-0.78765035
A036_T3,-1.0958534,-1.4437767,-1.6579019
A036_T4,-1.4412717,-1.689815,-1.2213951
A037_T1,0.81392264,0.8577503,0.9244265
A037_T2,0.7211551,0.31007934,-0.10441164
A037_T3,-0.15534528,-0.67438585,-0.6802063
A037_T4,-0.33363542,-1.0795283,-1.2496545
A038_T1,0.915166,1.0229701,1.487465
A038_T2,0.6371052,0.810494,1.2727027
A038_T3,1.0557492,0.7824176,1.2887223
A038_T4,0.24496922,0.37100708,1.0860654
A039_T1,2.0075622,2.3707182,1.6598659
A039_T2,1.2216313,2.0282812,1.2450855
A039_T3,0.715095,0.8273198,0.8699836
A039_T4,0.18723726,0.45103568,0.5737276
A040_T1,-0.21338353,-0.0061264024,0.92583144
A040_T2,-0.14309652,-0.014302976,0.24045813
A040_T3,-1.2845875,-1.5473062,-1.0156578
A040_T4,-2.0744703,-2.0952506,-2.5078793
A041_T1,1.4965852,1.4620919,0.12869547
A041_T2,0.548553,-0.59136313,-1.0531032
A041_T3,1.1022797,0.61070406,-0.17350994
A041_T4,0.5086726,0.0610611,-0.29453143
A042_T1,-0.33713746,-0.346468,0.17402983
A042_T2,-0.40515396,-0.8694842,-0.6209212
A042_T3,-0.23960285,-0.71112776,-0.79325944
A042_T4,-1.0331725,-0.94631505,-1.1364074
A043_T1,1.7324169,1.7943176,2.156327
A043_T2,1.7612675,1.9642005,1.6254795
A043_T3,1.1345874,1.2327694,1.3226925
A043_T4,0.42588365,0.7579212,0.8699283
A044_T1,-0.49661842,-0.52761877,-0.27144203
A044_T2,-0.84652436,-0.6498156,-0.84738314
A044_T3,-0.9586024,-1.3862622,-0.9460744
A044_T4,-1.6750358,-1.6018562,-0.8573211
A045_T1,0.02036986,-0.17946674,-0.32778805
A045_T2,-0.055139713,-0.3241761,-0.28420517
A045_T3,-0.012082517,0.080351666,-0.46489567
A045_T4,-0.85058284,-0.9611035,-1.1958957
A046_T1,0.16116326,0.52250075,1.3125876
A046_T2,-0.47311264,-0.18510693,0.57435673
A046_T3,-0.86166155,-0.17848374,0.4786844
