composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age,Age_c,Time,Time_recip,Time_log
A034_T4,A034,T4,0.6997216,0.07339282,145.38,33.0,-11.57,145.38,0.006831534362617844,4.986205980173081
A035_T1,A035,T1,0.8264408,0.07339282,1.0,34.0,-10.57,1.0,0.5,0.6931471805599453
A035_T2,A035,T2,0.7271903,0.07339282,44.76,34.0,-10.57,44.76,0.021853146853146856,3.8234103470715426
A035_T3,A035,T3,0.063205935,0.07339282,79.98,34.0,-10.57,79.98,0.012348728081007655,4.394202210604015
A035_T4,A035,T4,-0.33424705,0.07339282,152.47,34.0,-10.57,152.47,0.006515931452401121,5.033505108187003
A036_T1,A036,T1,-0.8724763,0.07339282,1.0,30.0,-14.57,1.0,0.5,0.6931471805599453
A036_T2,A036,T2,-1.4847412,0.07339282,21.63,30.0,-14.57,21.63,0.04418912947414936,3.119276459645446
A036_T3,A036,T3,-1.3907819,0.07339282,71.47,30.0,-14.57,71.47,0.013798813302056023,4.28317268312119
A036_T4,A036,T4,-1.6291748,0.07339282,143.85,30.0,-14.57,143.85,0.0069036934760096655,4.975698724215359
A037_T1,A037,T1,0.981827,0.07339282,1.0,31.0,-13.57,1.0,0.5,0.6931471805599453
A037_T2,A037,T2,0.40132684,0.07339282,23.7,31.0,-13.57,23.7,0.04048582995951417,3.2068032436339315
A037_T3,A037,T3,-0.5773718,0.07339282,72.08,31.0,-13.57,72.08,0.013683634373289545,4.291554731509806
A037_T4,A037,T4,-0.9496738,0.07339282,143.66,31.0,-13.57,143.66,0.006912760956726116,4.974386161421135
A038_T1,A038,T1,1.2398889,0.07339282,1.0,32.0,-12.57,1.0,0.5,0.6931471805599453
A038_T2,A038,T2,0.9916787,0.07339282,71.85,32.0,-12.57,71.85,0.013726835964310227,4.288402532641213
A038_T3,A038,T3,1.0252008,0.07339282,72.86,32.0,-12.57,72.86,0.013539128080151638,4.3021714094244174
A038_T4,A038,T4,0.66296256,0.07339282,152.89,32.0,-12.57,152.89,0.006498148027812074,5.0362380614757605
A039_T1,A039,T1,2.2039258,0.07339282,1.0,31.0,-13.57,1.0,0.5,0.6931471805599453
A039_T2,A039,T2,1.7605134,0.07339282,28.65,31.0,-13.57,28.65,0.03372681281618887,3.3894621254437345
A039_T3,A039,T3,0.9264932,0.07339282,98.84,31.0,-13.57,98.84,0.01001602564102564,4.603568904621118
A039_T4,A039,T4,0.4581183,0.07339282,246.24,31.0,-13.57,246.24,0.004044652968775279,5.510359524791073
A040_T1,A040,T1,0.10722337,0.07339282,1.0,38.0,-6.57,1.0,0.5,0.6931471805599453
A040_T2,A040,T2,0.08675729,0.07339282,26.26,38.0,-6.57,26.26,0.036683785766691124,3.3054204262683866
A040_T3,A040,T3,-1.4581342,0.07339282,71.28,38.0,-6.57,71.28,0.01383508577753182,4.280547465724028
A040_T4,A040,T4,-2.264335,0.07339282,143.53,38.0,-6.57,143.53,0.006918978758735211,4.97348709846075
A041_T1,A041,T1,1.1639924,0.07339282,1.0,35.0,-9.57,1.0,0.5,0.6931471805599453
A041_T2,A041,T2,-0.3599962,0.07339282,31.78,35.0,-9.57,31.78,0.03050640634533252,3.4898185733156835
A041_T3,A041,T3,0.55802584,0.07339282,75.74,35.0,-9.57,75.74,0.013031013812874642,4.340423084818807
A041_T4,A041,T4,0.12782939,0.07339282,141.84,35.0,-9.57,141.84,0.007000840100812097,4.961725122726247
A042_T1,A042,T1,-0.26355729,0.07339282,1.0,38.0,-6.57,1.0,0.5,0.6931471805599453
A042_T2,A042,T2,-0.74814,0.07339282,28.93,38.0,-6.57,28.93,0.03341129301703976,3.3988613218646075
A042_T3,A042,T3,-0.6204812,0.07339282,72.17,38.0,-6.57,72.17,0.013666803334700014,4.292785500895938
A042_T4,A042,T4,-1.0438489,0.07339282,146.02,38.0,-6.57,146.02,0.006801795674057951,4.9905686319459415
A043_T1,A043,T1,2.2976968,0.07339282,1.0,38.0,-6.57,1.0,0.5,0.6931471805599453
A043_T2,A043,T2,1.9961102,0.07339282,25.62,38.0,-6.57,25.62,0.037565740045078885,3.2816628129669656
A043_T3,A043,T3,1.3940244,0.07339282,64.94,38.0,-6.57,64.94,0.015165301789505611,4.188745237643585
A043_T4,A043,T4,0.8008104,0.07339282,149.33,38.0,-6.57,149.33,0.006652032195835827,5.012832877639743
A044_T1,A044,T1,-0.48998752,0.07339282,1.0,38.0,-6.57,1.0,0.5,0.6931471805599453
A044_T2,A044,T2,-0.78027636,0.07339282,47.66,38.0,-6.57,47.66,0.020550760378133994,3.8848573373553763
A044_T3,A044,T3,-1.2760453,0.07339282,91.63,38.0,-6.57,91.63,0.010795638562020943,4.5286130632659365
A044_T4,A044,T4,-1.6953964,0.07339282,155.27,38.0,-6.57,155.27,0.00639918090484418,5.0515852804252095
A045_T1,A045,T1,-0.1593461,0.07339282,1.0,37.0,-7.57,1.0,0.5,0.6931471805599453
A045_T2,A045,T2,-0.27718532,0.07339282,24.66,37.0,-7.57,24.66,0.03897116134060795,3.2449333591874905
A045_T3,A045,T3,-0.045916285,0.07339282,72.23,37.0,-7.57,72.23,0.013655605626109518,4.2936051730729785
A045_T4,A045,T4,-1.021972,0.07339282,151.52,37.0,-7.57,151.52,0.006556517178075006,5.027295734989363
A046_T1,A046,T1,0.676205,0.07339282,1.0,38.0,-6.57,1.0,0.5,0.6931471805599453
A046_T2,A046,T2,-0.12228983,0.07339282,24.32,38.0,-6.57,24.32,0.03949447077409163,3.2315945972759756
A046_T3,A046,T3,-0.17526035,0.07339282,73.05,38.0,-6.57,73.05,0.013504388926401082,4.304740540713808
A046_T4,A046,T4,-0.0935051,0.07339282,147.94,38.0,-6.57,147.94,0.006714113065664026,5.003543540282499
A047_T1,A047,T1,0.3895279,0.07339282,1.0,36.0,-8.57,1.0,0.5,0.6931471805599453
A047_T2,A047,T2,0.2769776,0.07339282,23.46,36.0,-8.57,23.46,0.04088307440719542,3.1970391302590264
A047_T3,A047,T3,-0.20571186,0.07339282,76.85,36.0,-8.57,76.85,0.012845215157353887,4.354783898280007
A047_T4,A047,T4,-1.0360394,0.07339282,144.22,36.0,-8.57,144.22,0.006886103842445944,4.978249833952101
A048_T1,A048,T1,0.724293,0.07339282,1.0,38.0,-6.57,1.0,0.5,0.6931471805599453
A048_T2,A048,T2,0.52653074,0.07339282,23.91,38.0,-6.57,23.91,0.04014452027298274,3.215269329274089
A048_T3,A048,T3,-0.118984975,0.07339282,81.15,38.0,-6.57,81.15,0.012172854534388313,4.408546844483277
A048_T4,A048,T4,-0.5066172,0.07339282,146.3,38.0,-6.57,146.3,0.00678886625933469,4.9924713234685845
A049_T1,A049,T1,1.5637307,0.07339282,1.0,35.0,-9.57,1.0,0.5,0.6931471805599453
A049_T2,A049,T2,-0.2571439,0.07339282,27.12,35.0,-9.57,27.12,0.03556187766714082,3.336481066942464
A049_T3,A049,T3,-0.15933253,0.07339282,111.38,35.0,-9.57,111.38,0.008898380494749955,4.721885985684052
A049_T4,A049,T4,-0.10835778,0.07339282,168.86,35.0,-9.57,168.86,0.005887201224537854,5.134974568351863
A050_T1,A050,T1,0.035831243,0.07339282,1.0,41.0,-3.5700000000000003,1.0,0.5,0.6931471805599453
A050_T2,A050,T2,-0.56609553,0.07339282,24.73,41.0,-3.5700000000000003,24.73,0.0388651379712398,3.2476576262936527
A050_T3,A050,T3,-1.4636116,0.07339282,93.39,41.0,-3.5700000000000003,93.39,0.010594342621040365,4.547435135336853
A050_T4,A050,T4,-1.8676877,0.07339282,148.69,41.0,-3.5700000000000003,148.69,0.006680472977486807,5.008566488927144
A051_T1,A051,T1,1.7638129,0.07339282,1.0,41.0,-3.5700000000000003,1.0,0.5,0.6931471805599453
A051_T2,A051,T2,1.4229454,0.07339282,17.16,41.0,-3.5700000000000003,17.16,0.05506607929515418,2.8992213731731473
A051_T3,A051,T3,0.2748946,0.07339282,65.63,41.0,-3.5700000000000003,65.63,0.015008254539996999,4.199154926574446
A051_T4,A051,T4,0.112219095,0.07339282,146.99,41.0,-3.5700000000000003,146.99,0.006757213325224677,4.997144703913756
A052_T1,A052,T1,1.0086244,0.07339282,1.0,43.0,-1.5700000000000003,1.0,0.5,0.6931471805599453
A052_T2,A052,T2,0.23544133,0.07339282,31.76,43.0,-1.5700000000000003,31.76,0.03052503052503052,3.4892082589848687
A052_T3,A052,T3,-0.10714758,0.07339282,80.98,43.0,-1.5700000000000003,80.98,0.01219809709685289,4.406475315076191
A052_T4,A052,T4,0.06826525,0.07339282,153.27,43.0,-1.5700000000000003,153.27,0.006482141699617553,5.038704314023848
A053_T1,A053,T1,0.7935923,0.07339282,1.0,44.0,-0.5700000000000003,1.0,0.5,0.6931471805599453
A053_T2,A053,T2,-0.35076645,0.07339282,32.71,44.0,-0.5700000000000003,32.71,0.029664787896766538,3.5177945292459696
A053_T3,A053,T3,-0.35888958,0.07339282,78.28,44.0,-0.5700000000000003,78.28,0.012613521695257316,4.372985890021733
A053_T4,A053,T4,-0.38389128,0.07339282,148.9,44.0,-0.5700000000000003,148.9,0.0066711140760507,5.009968405108552
A054_T1,A054,T1,1.6660749,0.07339282,1.0,43.0,-1.5700000000000003,1.0,0.5,0.6931471805599453
A054_T2,A054,T2,0.7989242,0.07339282,16.9,43.0,-1.5700000000000003,16.9,0.0558659217877095,2.884800712846709
A054_T3,A054,T3,0.90146124,0.07339282,72.83,43.0,-1.5700000000000003,72.83,0.013544629554381687,4.3017651530710745
A054_T4,A054,T4,0.721319,0.07339282,136.83,43.0,-1.5700000000000003,136.83,0.00725531451788435,4.926021041706347
A055_T1,A055,T1,0.8933571,0.07339282,1.0,44.0,-0.5700000000000003,1.0,0.5,0.6931471805599453
A055_T2,A055,T2,-0.30982408,0.07339282,23.24,44.0,-0.5700000000000003,23.24,0.041254125412541254,3.1880041612011136
A055_T3,A055,T3,-0.7091042,0.07339282,74.48,44.0,-0.5700000000000003,74.48,0.013248542660307365,4.32386772050035
A055_T4,A055,T4,-0.52702236,0.07339282,149.21,44.0,-0.5700000000000003,149.21,0.006657346381732241,5.012034315009963
A056_T1,A056,T1,0.35512546,0.07339282,1.0,42.0,-2.5700000000000003,1.0,0.5,0.6931471805599453
A056_T2,A056,T2,-0.11481737,0.07339282,33.61,42.0,-2.5700000000000003,33.61,0.02889338341519792,3.544142657647253
A056_T3,A056,T3,-0.09799757,0.07339282,71.46,42.0,-2.5700000000000003,71.46,0.013800717637317142,4.283034685466931
A056_T4,A056,T4,-0.4329056,0.07339282,147.84,42.0,-2.5700000000000003,147.84,0.0067186240257995165,5.002871903478422
A057_T1,A057,T1,0.7148236,0.07339282,1.0,40.0,-4.57,1.0,0.5,0.6931471805599453
A057_T2,A057,T2,0.027630882,0.07339282,24.78,40.0,-4.57,24.78,0.038789759503491075,3.2495989975110415
A057_T3,A057,T3,-0.79511607,0.07339282,73.83,40.0,-4.57,73.83,0.013363624214887078,4.315218874092267
A057_T4,A057,T4,-1.8122908,0.07339282,145.06,40.0,-4.57,145.06,0.006846501437765302,4.984017496191964
A058_T1,A058,T1,0.6129219,0.07339282,1.0,42.0,-2.5700000000000003,1.0,0.5,0.6931471805599453
A058_T2,A058,T2,-1.2515614,0.07339282,22.96,42.0,-2.5700000000000003,22.96,0.041736227045075125,3.1763857732472487
A058_T3,A058,T3,-1.0903395,0.07339282,66.28,42.0,-2.5700000000000003,66.28,0.014863258026159334,4.208863015664693
A058_T4,A058,T4,-1.8317188,0.07339282,143.48,42.0,-2.5700000000000003,143.48,0.006921373200442968,4.973141089668675
A059_T1,A059,T1,0.35930577,0.07339282,1.0,43.0,-1.5700000000000003,1.0,0.5,0.6931471805599453
A059_T2,A059,T2,-0.2759761,0.07339282,30.4,43.0,-1.5700000000000003,30.4,0.03184713375796178,3.4468078929142076
A059_T3,A059,T3,-0.64548576,0.07339282,79.78,43.0,-1.5700000000000003,79.78,0.012379301807378064,4.391729410135267
A059_T4,A059,T4,-0.47585383,0.07339282,151.93,43.0,-1.5700000000000003,151.93,0.00653893938403191,5.029980300360032
A060_T1,A060,T1,1.1899056,0.07339282,1.0,48.0,3.4299999999999997,1.0,0.5,0.6931471805599453
A060_T2,A060,T2,1.1297755,0.07339282,24.87,48.0,3.4299999999999997,24.87,0.038654812524159254,3.2530839961979376
A060_T3,A060,T3,0.7342384,0.07339282,94.68,48.0,3.4299999999999997,94.68,0.010451505016722408,4.561009290202322
A060_T4,A060,T4,1.113592,0.07339282,143.91,48.0,3.4299999999999997,143.91,0.006900835001035125,4.976112860057833
A061_T1,A061,T1,3.035337,0.07339282,1.0,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
