composite_ID,UID,test,TSVR_hours,log_TSVR,paradigm,theta
A075_T2,A075,T2,28.68,3.39047341829918,IFR,-0.3218043
A075_T3,A075,T3,71.37,4.281791848878036,IFR,-2.1068995
A075_T4,A075,T4,244.53,5.5034191393614815,IFR,-0.9829342
A076_T1,A076,T1,1.0,0.6931471805599453,IFR,-1.0988492
A076_T2,A076,T2,27.3,3.342861804649192,IFR,-0.6238554
A076_T3,A076,T3,74.88,4.3291531450668135,IFR,0.04293301
A076_T4,A076,T4,149.28,5.0125002207057685,IFR,-1.8978391
A077_T1,A077,T1,1.0,0.6931471805599453,IFR,0.82051986
A077_T2,A077,T2,53.88,4.00514898341763,IFR,-0.35891193
A077_T3,A077,T3,78.36,4.373994462976618,IFR,0.36551058
A077_T4,A077,T4,149.75,5.015622835607295,IFR,-0.061078273
A078_T1,A078,T1,1.0,0.6931471805599453,IFR,-1.558383
A078_T2,A078,T2,26.17,3.3021134234382563,IFR,-0.6561911
A078_T3,A078,T3,72.3,4.294560608892605,IFR,-1.8081024
A078_T4,A078,T4,140.08,4.949327105367852,IFR,-1.3083563
A079_T1,A079,T1,1.0,0.6931471805599453,IFR,0.45226386
A079_T2,A079,T2,26.11,3.299902663510574,IFR,0.145982
A079_T3,A079,T3,74.0,4.31748811353631,IFR,-0.6224159
A079_T4,A079,T4,194.42,5.275151088516197,IFR,-0.9836733
A080_T1,A080,T1,1.0,0.6931471805599453,IFR,0.940382
A080_T2,A080,T2,29.03,3.402196881995239,IFR,0.7526924
A080_T3,A080,T3,72.87,4.302306791540646,IFR,0.5243247
A080_T4,A080,T4,145.77,4.988866735623107,IFR,-0.5087663
A081_T1,A081,T1,1.0,0.6931471805599453,IFR,0.29619476
A081_T2,A081,T2,31.39,3.477849733183238,IFR,1.1095508
A081_T3,A081,T3,80.13,4.396052806406973,IFR,1.0639774
A081_T4,A081,T4,154.53,5.046838639056468,IFR,1.198507
A082_T1,A082,T1,1.0,0.6931471805599453,IFR,0.23269816
A082_T2,A082,T2,27.97,3.366260811781259,IFR,0.044686586
