composite_ID,UID,test,paradigm,TSVR_hours,ma_theta,ma_theta_se
A060_T3,A060,T3,IFR,94.68,-0.8462606149186657,0.0
A060_T4,A060,T4,IFR,143.91,-1.0031533373782358,0.0
A061_T1,A061,T1,IFR,1.0,-0.5477087107949089,0.0
A061_T2,A061,T2,IFR,35.16,-0.6565743496171498,0.0
A061_T3,A061,T3,IFR,82.55,-0.8076031149504636,0.0
A061_T4,A061,T4,IFR,146.56,-1.0115987104133337,0.0
A062_T1,A062,T1,IFR,1.0,-0.5477087107949089,0.0
A062_T2,A062,T2,IFR,44.69,-0.6869458232112937,0.0
A062_T3,A062,T3,IFR,92.72,-0.8400142258059141,0.0
A062_T4,A062,T4,IFR,149.18,-1.0199484754518076,0.0
A063_T1,A063,T1,IFR,1.0,-0.5477087107949089,0.0
A063_T2,A063,T2,IFR,21.98,-0.6145705697671165,0.0
A063_T3,A063,T3,IFR,69.99,-0.7675752336973212,0.0
A063_T4,A063,T4,IFR,141.09,-0.9941661856956036,0.0
A064_T1,A064,T1,IFR,1.0,-0.5477087107949089,0.0
A064_T2,A064,T2,IFR,37.65,-0.6645098133369208,0.0
A064_T3,A064,T3,IFR,82.99,-0.8090053655676118,0.0
A064_T4,A064,T4,IFR,156.21,-1.0423526159939724,0.0
A065_T1,A065,T1,IFR,1.0,-0.5477087107949089,0.0
A065_T2,A065,T2,IFR,32.31,-0.6474915899378937,0.0
A065_T3,A065,T3,IFR,106.41,-0.8836433415985511,0.0
A065_T4,A065,T4,IFR,187.43,-1.1418486711470859,0.0
A066_T1,A066,T1,IFR,1.0,-0.5477087107949089,0.0
A066_T2,A066,T2,IFR,23.35,-0.618936668279601,0.0
A066_T3,A066,T3,IFR,73.79,-0.7796855799363291,0.0
A066_T4,A066,T4,IFR,164.93,-1.0701426736792752,0.0
A067_T1,A067,T1,IFR,1.0,-0.5477087107949089,0.0
A067_T2,A067,T2,IFR,29.91,-0.639842950207994,0.0
A067_T3,A067,T3,IFR,73.19,-0.7777734200038542,0.0
A067_T4,A067,T4,IFR,144.19,-1.0040456786800576,0.0
A068_T1,A068,T1,IFR,1.0,-0.5477087107949089,0.0
A068_T2,A068,T2,IFR,30.49,-0.641691371476053,0.0
A068_T3,A068,T3,IFR,82.98,-0.8089734962354039,0.0
A068_T4,A068,T4,IFR,155.59,-1.0403767173970817,0.0
A069_T1,A069,T1,IFR,1.0,-0.5477087107949089,0.0
A069_T2,A069,T2,IFR,24.96,-0.6240676307650755,0.0
A069_T3,A069,T3,IFR,79.75,-0.7986797019322471,0.0
A069_T4,A069,T4,IFR,140.22,-0.9913935537935149,0.0
A070_T1,A070,T1,IFR,1.0,-0.5477087107949089,0.0
A070_T2,A070,T2,IFR,24.25,-0.6218049081783136,0.0
A070_T3,A070,T3,IFR,81.92,-0.8055953470213648,0.0
A070_T4,A070,T4,IFR,149.2,-1.0200122141162233,0.0
A071_T1,A071,T1,IFR,1.0,-0.5477087107949089,0.0
A071_T2,A071,T2,IFR,30.92,-0.6430617527609935,0.0
A071_T3,A071,T3,IFR,79.96,-0.7993489579086133,0.0
A071_T4,A071,T4,IFR,153.27,-1.032983032324845,0.0
A072_T1,A072,T1,IFR,1.0,-0.5477087107949089,0.0
A072_T2,A072,T2,IFR,33.76,-0.6521126431080415,0.0
A072_T3,A072,T3,IFR,83.54,-0.8107581788390472,0.0
A072_T4,A072,T4,IFR,154.89,-1.0381458641425276,0.0
A073_T1,A073,T1,IFR,1.0,-0.5477087107949089,0.0
A073_T2,A073,T2,IFR,66.66,-0.756962746072085,0.0
A073_T3,A073,T3,IFR,66.9,-0.757727610045075,0.0
A073_T4,A073,T4,IFR,140.12,-0.9910748604714358,0.0
A074_T1,A074,T1,IFR,1.0,-0.5477087107949089,0.0
A074_T2,A074,T2,IFR,29.33,-0.6379945289399348,0.0
A074_T3,A074,T3,IFR,73.02,-0.7772316413563196,0.0
A074_T4,A074,T4,IFR,147.21,-1.0136702170068481,0.0
A075_T1,A075,T1,IFR,1.0,-0.5477087107949089,0.0
A075_T2,A075,T2,IFR,28.68,-0.6359230223464203,0.0
A075_T3,A075,T3,IFR,71.37,-0.7719732015420134,0.0
A075_T4,A075,T4,IFR,244.53,-1.3238225580542864,0.0
A076_T1,A076,T1,IFR,1.0,-0.5477087107949089,0.0
A076_T2,A076,T2,IFR,27.3,-0.6315250545017278,0.0
A076_T3,A076,T3,IFR,74.88,-0.783159337146992,0.0
A076_T4,A076,T4,IFR,149.28,-1.0202671687738867,0.0
A077_T1,A077,T1,IFR,1.0,-0.5477087107949089,0.0
A077_T2,A077,T2,IFR,53.88,-0.7162337395103684,0.0
A077_T3,A077,T3,IFR,78.36,-0.7942498647553468,0.0
A077_T4,A077,T4,IFR,149.75,-1.0217650273876588,0.0
A078_T1,A078,T1,IFR,1.0,-0.5477087107949089,0.0
A078_T2,A078,T2,IFR,26.17,-0.6279238199622333,0.0
A078_T3,A078,T3,IFR,72.3,-0.7749370494373496,0.0
A078_T4,A078,T4,IFR,140.08,-0.990947383142604,0.0
A079_T1,A079,T1,IFR,1.0,-0.5477087107949089,0.0
A079_T2,A079,T2,IFR,26.11,-0.6277326039689858,0.0
A079_T3,A079,T3,IFR,74.0,-0.7803548359126954,0.0
A079_T4,A079,T4,IFR,194.42,-1.1641253343604194,0.0
A080_T1,A080,T1,IFR,1.0,-0.5477087107949089,0.0
A080_T2,A080,T2,IFR,29.03,-0.6370384489736973,0.0
A080_T3,A080,T3,IFR,72.87,-0.7767536013732009,0.0
A080_T4,A080,T4,IFR,145.77,-1.0090810331689084,0.0
A081_T1,A081,T1,IFR,1.0,-0.5477087107949089,0.0
A081_T2,A081,T2,IFR,31.39,-0.6445596113747655,0.0
A081_T3,A081,T3,IFR,80.13,-0.7998907365561478,0.0
A081_T4,A081,T4,IFR,154.53,-1.0369985681830425,0.0
A082_T1,A082,T1,IFR,1.0,-0.5477087107949089,0.0
A082_T2,A082,T2,IFR,27.97,-0.6336602997596582,0.0
A082_T3,A082,T3,IFR,75.71,-0.785804491720249,0.0
A082_T4,A082,T4,IFR,170.25,-1.0870971584138864,0.0
A083_T1,A083,T1,IFR,1.0,-0.5477087107949089,0.0
A083_T2,A083,T2,IFR,25.15,-0.624673148077026,0.0
A083_T3,A083,T3,IFR,74.3,-0.7813109158789329,0.0
A083_T4,A083,T4,IFR,144.91,-1.0063402705990274,0.0
