UID,domain,TEST,HCE_rate,N_items,Days_mean,domain_Where,domain_When,HCE_rate_trans
A027,Where,3,0.04,50,3.2778375,1,0,0.20389438103477908
A027,Where,4,0.04,50,6.307300000000001,1,0,0.20389438103477908
A028,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A028,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A028,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A028,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A028,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A028,When,2,0.11538461538461539,26,1.1987375,0,1,0.3481420348899342
A028,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A028,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A028,Where,1,0.04,50,0.04166666666666666,1,0,0.20389438103477908
A028,Where,2,0.14,50,1.1987375,1,0,0.38493583409084897
A028,Where,3,0.04,50,3.2778375,1,0,0.20389438103477908
A028,Where,4,0.02,50,6.307300000000001,1,0,0.1454258194533693
A029,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A029,What,2,0.13793103448275862,29,1.1987375,0,0,0.38195417820268907
A029,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A029,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A029,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
A029,When,2,0.23076923076923078,26,1.1987375,0,1,0.5022788480074405
A029,When,3,0.11538461538461539,26,3.2778375,0,1,0.3481420348899342
A029,When,4,0.11538461538461539,26,6.307300000000001,0,1,0.3481420348899342
A029,Where,1,0.1,50,0.04166666666666666,1,0,0.323413536785469
A029,Where,2,0.14,50,1.1987375,1,0,0.38493583409084897
A029,Where,3,0.02,50,3.2778375,1,0,0.1454258194533693
A029,Where,4,0.02,50,6.307300000000001,1,0,0.1454258194533693
A030,What,1,0.10344827586206896,29,0.04166666666666666,0,0,0.329092735817834
A030,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A030,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A030,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A030,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A030,When,2,0.07692307692307693,26,1.1987375,0,1,0.28290573721145973
A030,When,3,0.11538461538461539,26,3.2778375,0,1,0.3481420348899342
A030,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A030,Where,1,0.02,50,0.04166666666666666,1,0,0.1454258194533693
A030,Where,2,0.08,50,1.1987375,1,0,0.28859435195061733
A030,Where,3,0.04,50,3.2778375,1,0,0.20389438103477908
A030,Where,4,0.02,50,6.307300000000001,1,0,0.1454258194533693
A031,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A031,What,2,0.13793103448275862,29,1.1987375,0,0,0.38195417820268907
A031,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A031,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
