age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Middle,74.88,,,,,
Middle,74.91,,,,,
Middle,75.21,,,,,
Middle,75.27,,,,,
Middle,75.34,,,,,
Middle,75.46,,,,,
Middle,75.71,,,,,
Middle,75.74,,,,,
Middle,76.21,,,,,
Middle,76.85,,,,,
Middle,78.25,,,,,
Middle,78.28,-0.40916884,,,,0.1608506167431268
Middle,78.36,0.254887,,,,0.21075561130907927
Middle,78.57,,,,,
Middle,78.76,,,,,
Middle,78.84,,,,,
Middle,79.34,,,,,
Middle,79.66,,,,,
Middle,79.75,-0.71302193,,,,-1.2300775519800446
Middle,79.78,1.3356622,,,,0.6008860970670972
Middle,79.96,-0.86193055,,,,-0.06549917596513838
Middle,79.98,,,,,
Middle,80.13,,,,,
Middle,80.16,,,,,
Middle,80.24,,,,,
Middle,80.64,,,,,
Middle,80.88,,,,,
Middle,80.98,0.116021834,,,,-0.17569118215941915
Middle,81.15,0.14282681,,,,0.017764864956645893
Middle,81.92,-0.4347659,,,,-0.42990443296005887
Middle,82.55,0.27741587,,,,0.4830569842991117
Middle,82.98,0.4192529,,,,0.07273223613237606
Middle,82.99,0.17636402,,,,0.032288184534835895
Middle,83.54,-0.88631296,,,,-0.1714383593115551
Middle,83.64,,,,,
Middle,83.68,,,,,
Middle,91.47,,,,,
Middle,91.63,-1.308094,,,,-0.984564658125002
Middle,91.97,,,,,
Middle,92.72,-0.59946907,,,,-0.18203497041047864
Middle,93.26,,,,,
Middle,93.39,-0.9261868,,,,-0.9486740426892826
Middle,94.68,-0.5090028,,,,-0.09646724266429782
Middle,95.42,,,,,
Middle,98.84,,,,,
Middle,106.41,-2.2205753,,,,-1.9210087982747046
Middle,111.38,,,,,
Middle,136.83,1.2362738,,,,0.3674899340618988
Middle,137.74,,,,,
Middle,138.91,,,,,
Middle,140.08,-1.0697036,,,,-0.903218909563482
Middle,140.12,0.9759681,,,,-0.14313315317511793
Middle,140.22,-1.7110198,,,,-1.4690949273010552
Middle,140.39,,,,,
Middle,140.49,,,,,
Middle,140.95,,,,,
Middle,141.09,-0.58241045,,,,-0.2568539682453682
Middle,141.71,,,,,
Middle,141.84,,,,,
Middle,142.61,,,,,
Middle,143.14,,,,,
Middle,143.48,-1.0669552,,,,-0.7267123725630853
Middle,143.51,,,,,
Middle,143.53,-1.6119773,,,,-1.275947148996447
Middle,143.66,,,,,
Middle,143.85,,,,,
Middle,143.91,0.19280487,,,,-0.27446661022174296
Middle,144.07,,,,,
Middle,144.19,-1.1757759,,,,-1.183168536911854
Middle,144.2,,,,,
Middle,144.22,,,,,
Middle,144.51,,,,,
Middle,144.85,,,,,
Middle,144.91,,,,,
Middle,145.06,-1.0877718,,,,-0.9376696360389669
Middle,145.07,,,,,
Middle,145.29,,,,,
Middle,145.31,,,,,
Middle,145.38,,,,,
Middle,145.65,,,,,
Middle,145.77,,,,,
Middle,145.78,,,,,
Middle,145.92,,,,,
Middle,145.95,,,,,
Middle,146.02,-1.260689,,,,-1.1931865427550492
Middle,146.16,,,,,
Middle,146.2,,,,,
Middle,146.29,,,,,
Middle,146.3,0.09614354,,,,-0.23855596114515235
Middle,146.54,,,,,
Middle,146.56,-0.2929151,,,,0.2402121070367852
Middle,146.8,,,,,
Middle,146.96,,,,,
Middle,146.99,-0.72000563,,,,-0.5746321408934619
Middle,147.13,,,,,
Middle,147.21,,,,,
Middle,147.65,,,,,
Middle,147.84,-0.9539059,,,,-0.5623140441936063
Middle,147.94,-1.154563,,,,-1.5319005440413977
Middle,148.69,-1.1381246,,,,-1.1614621388973685
Middle,148.79,,,,,
Middle,148.85,,,,,
Middle,148.87,,,,,
Middle,148.9,-0.13549207,,,,-0.11219744787636743
Middle,149.18,-0.7168849,,,,-0.39151431486309596
Middle,149.2,-1.0469787,,,,-0.6799043459721853
Middle,149.21,-0.62007034,,,,-0.430943287552214
Middle,149.28,,,,,
Middle,149.33,-0.36708274,,,,-0.14994856197492262
Middle,149.72,,,,,
Middle,149.75,0.58986604,,,,-0.046586387537326246
Middle,149.87,,,,,
Middle,149.93,,,,,
Middle,149.99,,,,,
Middle,150.22,,,,,
Middle,150.41,,,,,
Middle,150.46,,,,,
Middle,150.8,,,,,
Middle,150.87,,,,,
Middle,151.52,-1.2476392,,,,-1.4250529352374568
Middle,151.93,0.38432297,,,,0.3311198487126737
Middle,152.12,,,,,
Middle,152.47,,,,,
Middle,152.89,,,,,
Middle,153.27,-0.34253005000000003,0.48874634999999994,-1.300472896,0.6154127959999999,-0.39456389554918314
Middle,154.53,,,,,
Middle,154.76,,,,,
Middle,154.89,-0.13873519,,,,-0.4321499934442541
Middle,155.27,-1.7971689,,,,-1.2369629216659566
Middle,155.59,-0.3906647,,,,-0.19307965280179873
Middle,156.21,-0.33321425,,,,-0.23794656772497474
Middle,162.51,,,,,
Middle,164.93,-1.2830758,,,,-1.0215373150518077
Middle,166.33,,,,,
Middle,166.87,,,,,
Middle,168.33,,,,,
Middle,168.86,,,,,
Middle,169.55,,,,,
Middle,170.25,,,,,
Middle,170.65,,,,,
Middle,187.43,-2.3754525,,,,-2.2086013858797733
Middle,194.42,-0.9119565,,,,-0.988011870917616
Middle,244.53,,,,,
Middle,246.24,,,,,
Older,1.0,0.5172281558787879,0.1433342068105849,0.23629311053004148,0.7981632012275344,0.5202669551902883
Older,16.9,,,,,
Older,17.16,,,,,
Older,20.61,,,,,
Older,21.63,,,,,
Older,21.9,,,,,
Older,21.98,,,,,
Older,22.09,0.19028424,,,,0.4657664964797008
Older,22.2,-0.25296763,,,,-0.23983143892955883
Older,22.6,0.04523211,,,,0.11148669019504237
Older,22.64,0.124567874,,,,0.6113305129268579
Older,22.77,0.47426346,,,,0.2900604956562756
