UID,TEST,Domain,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A045,T4,What,151.52,-1.5065612,-0.9648333,-1.83324204388818,-0.3282737388160669,0.5969192948413699
A046,T1,What,1.0,-0.55372006,-0.9063086,-0.7082041923000698,-0.2297381131325102,0.17518566042274958
A046,T2,What,24.32,-1.0450114,-1.1701665,-1.2882813221114924,-0.6739847862132665,0.13979606549298096
A046,T3,What,73.05,-1.613356,-1.9860176,-1.9593367172906968,-2.047599663403888,-0.4536115391627732
A046,T4,What,147.94,-1.2604105,-1.0147238,-1.5426071803526813,-0.4122723177607773,0.41763286479299494
A047,T1,What,1.0,-0.4363785,-1.0830257,-0.5696567566127345,-0.5272694121820339,-0.07575207341307627
A047,T2,What,23.46,-0.48320502,-0.6639803,-0.6249457289782094,0.178260059627583,0.4014822924985038
A047,T3,What,76.85,-1.4562982,-1.4815022,-1.7738955535231933,-1.1981678746721238,0.01230933922970745
A047,T4,What,144.22,-1.3712326,-2.0934942,-1.6734569642867403,-2.228553585890314,-0.6931545528912989
A048,T1,What,1.0,1.0746682,-0.6284435,1.2144651307118453,0.2380919053746164,-0.3531229596597557
A048,T2,What,23.91,-0.534043,-0.5796271,-0.6849711092827158,0.3202820664112178,0.5186300835322264
A048,T3,What,81.15,0.23268522,-0.760365,0.220319639793018,0.0159811120922363,-0.0672365996625629
A048,T4,What,146.3,0.47788984,-0.58579195,0.5098374484849044,0.3099025625095272,-0.0031774215059326982
A049,T1,What,1.0,2.0709105,-0.2116448,2.390747566263692,0.939838700977038,-0.4093069245218899
A049,T2,What,27.12,-0.3073396,-0.5638283,-0.417298046715623,0.3468818549287049,0.4203177424669545
A049,T3,What,111.38,0.13866153,-0.37564683,0.1093040614816255,0.663715241319433,0.396882874772348
A049,T4,What,168.86,-0.27844822,-0.5774049,-0.3831854389365176,0.3240234929780178,0.3909206733168585
A050,T1,What,1.0,-0.5759458,-0.42287263,-0.7344465507897084,0.584203107956827,0.7095656859800035
A050,T2,What,24.73,-0.6173181,-0.43648311,-0.7832956207482734,0.5612877036462789,0.715900580001868
A050,T3,What,93.39,-1.037826,-1.0299709,-1.2797973821980655,-0.4379432317229119,0.2878264083652407
A050,T4,What,148.69,-1.1924096,-1.0414252,-1.462317210461102,-0.4572283646200847,0.3541258886828237
A051,T1,What,1.0,1.2619079,-0.14727834,1.435542644031644,1.0482098572432916,0.07216905787096939
A051,T2,What,17.16,-0.61919725,-0.22153668,-0.7855143692783924,0.9231841502491116,0.9494238915605068
A051,T3,What,65.63,-0.53872013,-0.63959575,-0.6904934865877073,0.219315321615461,0.4561264440734544
A051,T4,What,146.99,-0.75623167,-0.6500405,-0.947313543346824,0.2017299264513965,0.5555525011418208
A052,T1,What,1.0,0.9840419,-0.47576472,1.1074609160854916,0.4951508756196943,-0.1417938349714371
