UID,TEST,theta_accuracy,Domain,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration
A016,T1,-0.4965228,When,-0.48393413,1.0,-0.6406702878476167,0.48139637665061785,1.1220666644982344,1.1220666644982344
A016,T2,-0.30227306,When,-0.5529809,32.85,-0.4113158855375432,0.36514517530522644,0.7764610608427697,0.7764610608427697
A016,T3,0.80358815,When,-0.9073644,80.64,0.8943957043850206,-0.23151572008473204,-1.1259114244697526,1.1259114244697526
A016,T4,-0.51415277,When,-1.488098,150.8,-0.6614863323483431,-1.209272951330075,-0.547786618981732,0.547786618981732
A017,T1,-0.18879388,When,0.01883186,1.0,-0.27732883616729825,1.3278827558556852,1.6052115920229835,1.6052115920229835
A017,T2,0.13481109,When,0.1813509,20.61,0.10475777295207174,1.601509366361864,1.4967515934097924,1.4967515934097924
A017,T3,1.3445141,When,-0.13713914,61.28,1.5330773724081475,1.0652808104635683,-0.4677965619445792,0.4677965619445792
A017,T4,1.555736,When,-0.20532954,140.49,1.7824711303060892,0.9504714439975803,-0.8319996863085088,0.8319996863085088
A018,T1,0.23296411,When,-0.46659443,1.0,0.2206489305774497,0.5105905150001552,0.28994158442270546,0.28994158442270546
A018,T2,1.0015876,When,-0.5171451,34.03,1.128177461377196,0.4254804350309627,-0.7026970263462333,0.7026970263462333
A018,T3,-0.03338013,When,-0.45024264,83.64,-0.09382883384030839,0.5381213499928356,0.6319501838331439,0.6319501838331439
A018,T4,0.828471,When,-0.95619863,150.87,0.9237753637324216,-0.3137359007575885,-1.2375112644900101,1.2375112644900101
A019,T1,-0.4402759,When,-2.1217449,1.0,-0.5742584917170558,-2.276118125315522,-1.701859633598466,1.701859633598466
A019,T2,-0.45907453,When,-2.2057974,28.69,-0.5964543955463129,-2.4176338559005077,-1.8211794603541949,1.8211794603541949
A019,T3,-0.39007965,When,-1.9657898,83.68,-0.5149908143602828,-2.0135429500981923,-1.4985521357379095,1.4985521357379095
A019,T4,1.2304523,When,-2.0905952,154.76,1.3984024124035106,-2.223672659053327,-3.6220750714568375,3.6220750714568375
A020,T1,-0.24716589,When,0.023764621,1.0,-0.3462497905283576,1.336187842280433,1.6824376328087904,1.6824376328087904
A020,T2,0.23668598,When,-0.4758664,26.85,0.2250434140363506,0.49497968119375946,0.26993626715740887,0.26993626715740887
A020,T3,1.100098,When,-1.1435447,78.25,1.2444905844389118,-0.629162758593774,-1.8736533430326858,1.8736533430326858
A020,T4,-0.6003916,When,-1.5056263,145.78,-0.7633101768001813,-1.2387846277277175,-0.47547445092753615,0.47547445092753615
A021,T1,0.8683164,When,0.04435199,1.0,0.9708215935075853,1.3708499470941828,0.4000283535865975,0.4000283535865975
