TSVR_hours,domain,theta,predicted_theta,UID
47.66,what,-0.47558594,-0.023683028283578267,A044
53.88,what,-0.046640176,-0.06830541816626035,A077
57.18,what,-0.077504,-0.09055308440065601,A032
61.28,what,0.66992927,-0.11696689069218302,A017
64.94,what,0.38608864,-0.1394945543375562,A043
65.63,what,-0.53872013,-0.14363752567853194,A051
66.08,what,0.610385,-0.14632231587174382,A106
66.28,what,-0.33693078,-0.14751125363808837,A058
66.66,what,-0.7580057,-0.14976299665527237,A073
66.9,what,-0.30615124,-0.15118029244207765,A073
68.96,what,-0.64672476,-0.16319373051253772,A108
69.46,what,-0.07094553,-0.16606945792707772,A105
69.99,what,0.36549178,-0.16910098015988084,A063
70.22,what,0.895297,-0.17041123125997037,A093
70.56,what,0.39994225,-0.17234227708662597,A014
70.59,what,1.7069992,-0.1725123300045025,A015
70.83,what,0.49897698,-0.17387081491038303,A097
71.17,what,-0.2927042,-0.17578946136359574,A109
71.19,what,-2.0487726,-0.1759021093613018,A096
71.28,what,-1.5265014,-0.17640873263332102,A040
71.31,what,-0.27878723,-0.1765775007188043,A092
71.37,what,-1.198156,-0.17691487758274638,A075
71.4,what,-0.12060891,-0.1770834864280144,A085
71.45,what,-0.8989691,-0.17736438337921978,A107
71.46,what,-0.6342211,-0.17742054511193162,A056
71.47,what,-0.35021576,-0.17747670096167767,A036
71.56,what,0.16093041,-0.17798183907914333,A031
71.85,what,0.007853324,-0.17960627611479651,A038
71.93,what,-0.18143387,-0.18005353180377814,A030
72.08,what,0.059776444,-0.18089113181653893,A037
72.17,what,0.056583792,-0.18139306437565017,A042
