UID,TEST,gamma,n_items,TSVR_hours
A091,T2,0.6333002973240832,72,22.2
A091,T3,0.7951807228915663,72,73.64
A091,T4,0.6713147410358565,72,142.61
A092,T1,0.7945492662473794,72,1.0
A092,T2,0.763023493360572,72,22.83
A092,T3,0.3137485311398355,72,71.31
A092,T4,0.7050209205020921,72,146.16
A093,T1,0.7611336032388664,72,1.0
A093,T2,0.8703481392557023,72,22.09
A093,T3,0.7642857142857142,72,70.22
A093,T4,0.7567567567567568,72,140.95
A094,T1,0.7649442755825735,72,1.0
A094,T2,0.5855855855855856,72,22.98
A094,T3,0.7785467128027682,72,76.21
A094,T4,0.6731517509727627,72,149.99
A095,T1,0.7979420018709074,72,1.0
A095,T2,0.5888888888888889,72,29.71
A095,T3,0.7134883720930233,72,78.76
A095,T4,0.6865079365079365,72,148.79
A096,T1,0.7597402597402597,72,1.0
A096,T2,0.38391845979614947,72,24.49
A096,T3,0.20881971465629054,72,71.19
A096,T4,0.30982367758186397,72,143.66
A097,T1,0.7139896373056995,72,1.0
A097,T2,0.3696612665684831,72,24.37
A097,T3,0.6124031007751938,72,70.83
A097,T4,0.7835909631391201,72,144.85
A098,T1,0.7411988582302569,72,1.0
A098,T2,0.6098562628336756,72,25.77
A098,T3,0.7316356513222331,72,78.84
A098,T4,0.8466019417475729,72,146.29
A099,T1,0.6100342075256556,72,1.0
A099,T2,0.6313799621928167,72,28.75
A099,T3,0.690522243713733,72,78.57
A099,T4,0.8409638554216867,72,143.51
A100,T1,0.4228855721393035,72,1.0
A100,T2,1.0,72,31.14
A100,T3,0.4645669291338583,72,75.34
A100,T4,0.32456140350877194,72,146.8
A101,T1,0.7057057057057057,72,1.0
A101,T2,0.5971394517282479,72,29.12
A101,T3,0.7404580152671756,72,75.21
A101,T4,0.45454545454545453,72,150.22
A102,T1,0.6219281663516069,72,1.0
A102,T2,0.8862815884476535,72,29.13
A102,T3,0.7584204413472706,72,75.27
A102,T4,0.7090909090909091,72,150.41
A103,T1,0.7068965517241379,72,1.0
A103,T2,0.7078651685393258,72,27.26
A103,T3,0.7294117647058823,72,80.24
A103,T4,0.8416666666666667,72,149.72
A104,T1,0.7443609022556391,72,1.0
A104,T2,0.6448979591836734,72,22.6
A104,T3,0.7116883116883117,72,72.62
A104,T4,0.8181818181818182,72,145.78
A105,T1,0.660056657223796,72,1.0
A105,T2,0.7926078028747433,72,22.77
A105,T3,0.8739054290718039,72,69.46
A105,T4,0.5150943396226415,72,146.2
A106,T1,0.8794964028776978,72,1.0
A106,T2,0.589066918001885,72,22.64
A106,T3,0.8956043956043956,72,66.08
A106,T4,0.868421052631579,72,147.13
A107,T1,0.649025069637883,72,1.0
A107,T2,1.0,72,26.22
A107,T3,0.45263157894736844,72,71.45
A107,T4,0.47096774193548385,72,145.95
A108,T1,0.6574712643678161,72,1.0
A108,T2,0.7834757834757835,72,27.61
A108,T3,0.7668449197860963,72,68.96
A108,T4,0.22935779816513763,72,152.12
A109,T1,0.8007566204287516,72,1.0
A109,T2,0.4080604534005038,72,24.65
A109,T3,0.920863309352518,72,71.17
A109,T4,0.21868365180467092,72,149.87
