UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A023,A023_4,4,Incongruent,-0.62461984,0.2365098342133737,145.07,21045.3049,4.984085958862719
A024,A024_1,1,Common,0.41629925,0.1962873223365104,1.0,1.0,0.6931471805599453
A024,A024_1,1,Congruent,0.45857278,0.2061241640685505,1.0,1.0,0.6931471805599453
A024,A024_1,1,Incongruent,-0.21332482,0.2365098342133737,1.0,1.0,0.6931471805599453
A024,A024_2,2,Common,0.16924852,0.1962873223365104,29.57,874.3849,3.420019135902743
A024,A024_2,2,Congruent,0.1918723,0.2061241640685505,29.57,874.3849,3.420019135902743
A024,A024_2,2,Incongruent,0.54554003,0.2365098342133737,29.57,874.3849,3.420019135902743
A024,A024_3,3,Common,0.1597057,0.1962873223365104,91.47,8366.7609,4.526884267589547
A024,A024_3,3,Congruent,0.4113518,0.2061241640685505,91.47,8366.7609,4.526884267589547
A024,A024_3,3,Incongruent,-0.9363269,0.2365098342133737,91.47,8366.7609,4.526884267589547
A024,A024_4,4,Common,-0.92016464,0.1962873223365104,145.65,21213.9225,4.9880487954234605
A024,A024_4,4,Congruent,-1.0682684,0.2061241640685505,145.65,21213.9225,4.9880487954234605
A024,A024_4,4,Incongruent,-1.3045677,0.2365098342133737,145.65,21213.9225,4.9880487954234605
A025,A025_1,1,Common,1.3860037,0.1962873223365104,1.0,1.0,0.6931471805599453
A025,A025_1,1,Congruent,0.78151184,0.2061241640685505,1.0,1.0,0.6931471805599453
A025,A025_1,1,Incongruent,0.7944789,0.2365098342133737,1.0,1.0,0.6931471805599453
A025,A025_2,2,Common,1.3983331,0.1962873223365104,23.33,544.2888999999999,3.191710156795432
A025,A025_2,2,Congruent,1.5787265,0.2061241640685505,23.33,544.2888999999999,3.191710156795432
A025,A025_2,2,Incongruent,1.4322243,0.2365098342133737,23.33,544.2888999999999,3.191710156795432
A025,A025_3,3,Common,-0.60741305,0.1962873223365104,72.94,5320.2436,4.303253953508486
A025,A025_3,3,Congruent,0.42811912,0.2061241640685505,72.94,5320.2436,4.303253953508486
A025,A025_3,3,Incongruent,-0.5307447,0.2365098342133737,72.94,5320.2436,4.303253953508486
A025,A025_4,4,Common,-0.2785447,0.1962873223365104,137.74,18972.307600000004,4.932601677957155
A025,A025_4,4,Congruent,-0.46808136,0.2061241640685505,137.74,18972.307600000004,4.932601677957155
A025,A025_4,4,Incongruent,-1.0591911,0.2365098342133737,137.74,18972.307600000004,4.932601677957155
A026,A026_1,1,Common,0.46583936,0.1962873223365104,1.0,1.0,0.6931471805599453
A026,A026_1,1,Congruent,0.8863477,0.2061241640685505,1.0,1.0,0.6931471805599453
A026,A026_1,1,Incongruent,0.79825217,0.2365098342133737,1.0,1.0,0.6931471805599453
A026,A026_2,2,Common,-0.6492574,0.1962873223365104,26.48,701.1904000000001,3.3134584673541485
A026,A026_2,2,Congruent,0.90089154,0.2061241640685505,26.48,701.1904000000001,3.3134584673541485
A026,A026_2,2,Incongruent,0.37958306,0.2365098342133737,26.48,701.1904000000001,3.3134584673541485
A026,A026_3,3,Common,0.53066975,0.1962873223365104,75.46,5694.211599999999,4.336767728268267
A026,A026_3,3,Congruent,0.34505966,0.2061241640685505,75.46,5694.211599999999,4.336767728268267
A026,A026_3,3,Incongruent,0.5891306,0.2365098342133737,75.46,5694.211599999999,4.336767728268267
A026,A026_4,4,Common,-0.24492168,0.1962873223365104,147.65,21800.522500000003,5.001594549444107
A026,A026_4,4,Congruent,0.16592842,0.2061241640685505,147.65,21800.522500000003,5.001594549444107
A026,A026_4,4,Incongruent,-0.9533398,0.2365098342133737,147.65,21800.522500000003,5.001594549444107
A027,A027_1,1,Common,0.16586939,0.1962873223365104,1.0,1.0,0.6931471805599453
A027,A027_1,1,Congruent,-0.20171066,0.2061241640685505,1.0,1.0,0.6931471805599453
A027,A027_1,1,Incongruent,0.7571643,0.2365098342133737,1.0,1.0,0.6931471805599453
A027,A027_2,2,Common,0.39497662,0.1962873223365104,28.26,798.6276000000001,3.3762213955919784
A027,A027_2,2,Congruent,1.3977581,0.2061241640685505,28.26,798.6276000000001,3.3762213955919784
A027,A027_2,2,Incongruent,0.6780212,0.2365098342133737,28.26,798.6276000000001,3.3762213955919784
A027,A027_3,3,Common,-0.28117114,0.1962873223365104,74.58,5562.176399999999,4.325191697921343
A027,A027_3,3,Congruent,-1.3093231,0.2061241640685505,74.58,5562.176399999999,4.325191697921343
A027,A027_3,3,Incongruent,-0.5856879,0.2365098342133737,74.58,5562.176399999999,4.325191697921343
A027,A027_4,4,Common,-0.5017699,0.1962873223365104,145.92,21292.6464,4.989888220951467
A027,A027_4,4,Congruent,-0.176613,0.2061241640685505,145.92,21292.6464,4.989888220951467
A027,A027_4,4,Incongruent,-0.2486425,0.2365098342133737,145.92,21292.6464,4.989888220951467
A028,A028_1,1,Common,1.5246681,0.1962873223365104,1.0,1.0,0.6931471805599453
A028,A028_1,1,Congruent,1.7031448,0.2061241640685505,1.0,1.0,0.6931471805599453
A028,A028_1,1,Incongruent,1.369158,0.2365098342133737,1.0,1.0,0.6931471805599453
A028,A028_2,2,Common,-0.05649298,0.1962873223365104,22.82,520.7524,3.170525563927154
A028,A028_2,2,Congruent,-1.2437313,0.2061241640685505,22.82,520.7524,3.170525563927154
A028,A028_2,2,Incongruent,0.3490204,0.2365098342133737,22.82,520.7524,3.170525563927154
A028,A028_3,3,Common,-0.29285774,0.1962873223365104,72.26,5221.507600000001,4.294014757350668
