UID,test,SD_confidence,mean_confidence,SD_accuracy,mean_accuracy
A056,1,0.29814239699997197,0.6111111111111112,0.4417203661216396,0.6423611111111112
A056,2,0.28183114624216976,0.44722222222222224,0.4313010986714269,0.5381944444444444
A056,3,0.29787983209038704,0.5166666666666667,0.41535886307266917,0.6215277777777778
A056,4,0.2783249696530916,0.4166666666666667,0.42166891665602463,0.4340277777777778
A057,1,0.3369289639680201,0.6166666666666667,0.4184089161654667,0.59375
A057,2,0.339934634239519,0.5777777777777778,0.4460310101011263,0.4583333333333333
A057,3,0.32253640718423,0.4361111111111111,0.43867910637783625,0.4652777777777778
A057,4,0.20140352599120542,0.26666666666666666,0.44392911977057964,0.3854166666666667
A058,1,0.3618765211897829,0.6444444444444444,0.42301501839804384,0.7013888888888888
A058,2,0.3571754959376113,0.4444444444444444,0.4317685724511391,0.5138888888888888
A058,3,0.3417253470735685,0.46111111111111114,0.46428329592312434,0.5729166666666666
A058,4,0.2731603712462797,0.34444444444444444,0.4363737459631184,0.4756944444444444
A059,1,0.3140925772839137,0.6222222222222222,0.40026399738876567,0.75
A059,2,0.37100506389197685,0.5305555555555556,0.40842793768508306,0.7291666666666666
A059,3,0.3390126508919523,0.4666666666666667,0.41672534798048017,0.6736111111111112
A059,4,0.3390011102321851,0.4972222222222222,0.4132341004234024,0.6284722222222222
A060,1,0.21477141467937552,0.7749999999999999,0.4194595365668796,0.6354166666666666
A060,2,0.30753449365678054,0.6916666666666667,0.40818839048694844,0.7013888888888888
A060,3,0.3411753595705451,0.6722222222222222,0.41531470805795506,0.6180555555555556
A060,4,0.35992522262852605,0.7055555555555555,0.4123010735783566,0.5972222222222222
A061,1,0.07505866250408014,0.9666666666666666,0.2304302551834554,0.9131944444444444
A061,2,0.2066197129760308,0.8888888888888888,0.38124045948708246,0.7222222222222222
A061,3,0.3622115170706082,0.6583333333333333,0.4645070754694587,0.5972222222222222
A061,4,0.33872401643731154,0.7138888888888889,0.45759917727445,0.5520833333333334
A062,1,0.3219657929516518,0.7,0.4009354281270072,0.7152777777777778
A062,2,0.32687403593396974,0.5361111111111111,0.4536411548124719,0.6388888888888888
A062,3,0.30487689606255614,0.39722222222222225,0.45915951998051,0.3958333333333333
A062,4,0.23012550158309975,0.3333333333333333,0.42616807630848624,0.4131944444444444
A063,1,0.22888106402900285,0.5527777777777778,0.4089514579900349,0.6840277777777778
A063,2,0.20960877187201973,0.4972222222222223,0.43040723882888715,0.6805555555555556
A063,3,0.19282919538168825,0.3666666666666667,0.45373547390708846,0.53125
A063,4,0.15704628864195688,0.3111111111111111,0.43693373816780934,0.4895833333333333
A064,1,0.29036429549818366,0.7361111111111112,0.35431334990619917,0.8402777777777778
A064,2,0.338908770806507,0.5583333333333333,0.42214705697799193,0.6805555555555556
A064,3,0.3313438280613752,0.5249999999999999,0.45380283268685817,0.6180555555555556
A064,4,0.34355227988485904,0.55,0.4205075320455536,0.5104166666666666
A065,1,0.3342592773218768,0.5305555555555556,0.4062669281413495,0.3958333333333333
A065,2,0.20932860854091978,0.3888888888888889,0.43288562552795906,0.5729166666666666
A065,3,0.12806492875916797,0.2777777777777778,0.4440392690483174,0.3715277777777778
A065,4,0.17361118935835482,0.31666666666666665,0.3898500725018965,0.2951388888888889
A066,1,0.3035007019041933,0.5833333333333334,0.4538567125128345,0.5416666666666666
A066,2,0.32755555980235396,0.5444444444444445,0.4726477876203484,0.5138888888888888
A066,3,0.3237108777819587,0.4666666666666667,0.4473311354661483,0.4618055555555556
A066,4,0.251552301222611,0.3805555555555556,0.4343517961118643,0.4131944444444444
A067,1,0.3355676292535037,0.575,0.42532092274415995,0.6041666666666666
