composite_ID,UID,TEST,paradigm,CTT_mean,n_items
A053_2,A053,T2,ICR,0.8026315789473685,19
A053_2,A053,T2,IRE,0.6964285714285714,14
A053_3,A053,T3,IFR,0.3541666666666667,12
A053_3,A053,T3,ICR,0.6052631578947368,19
A053_3,A053,T3,IRE,0.44642857142857145,14
A053_4,A053,T4,IFR,0.5416666666666666,12
A053_4,A053,T4,ICR,0.5263157894736842,19
A053_4,A053,T4,IRE,0.5714285714285714,14
A054_1,A054,T1,IFR,0.4791666666666667,12
A054_1,A054,T1,ICR,0.7368421052631579,19
A054_1,A054,T1,IRE,0.7321428571428571,14
A054_2,A054,T2,IFR,0.6875,12
A054_2,A054,T2,ICR,0.7105263157894737,19
A054_2,A054,T2,IRE,0.5892857142857143,14
A054_3,A054,T3,IFR,0.7083333333333334,12
A054_3,A054,T3,ICR,0.6842105263157895,19
A054_3,A054,T3,IRE,0.6428571428571429,14
A054_4,A054,T4,IFR,0.7916666666666666,12
A054_4,A054,T4,ICR,0.7368421052631579,19
A054_4,A054,T4,IRE,0.75,14
A055_1,A055,T1,IFR,0.3125,12
A055_1,A055,T1,ICR,0.7763157894736842,19
A055_1,A055,T1,IRE,0.6071428571428571,14
A055_2,A055,T2,IFR,0.5625,12
A055_2,A055,T2,ICR,0.75,19
A055_2,A055,T2,IRE,0.8214285714285714,14
A055_3,A055,T3,IFR,0.2916666666666667,12
A055_3,A055,T3,ICR,0.6973684210526315,19
A055_3,A055,T3,IRE,0.5,14
A055_4,A055,T4,IFR,0.4166666666666667,12
A055_4,A055,T4,ICR,0.47368421052631576,19
