UID,TEST,composite_ID,paradigm,IRT_theta,CTT_mean,IRT_fitted,CTT_fitted
A019,T1,A019_1,ICR,-0.40954873,0.5789473684210527,-0.38254320458510316,0.5946977835152343
A019,T1,A019_1,IRE,-0.6919953,0.4464285714285714,-0.38592162177293676,0.579250368654194
A019,T2,A019_2,IFR,-0.7839532,0.4375,-0.6583697198078585,0.43524148977046745
A019,T2,A019_2,ICR,-0.72419274,0.4210526315789473,-0.6389788503811595,0.5130186216656436
A019,T2,A019_2,IRE,-0.8384044,0.4464285714285714,-0.6707997975198045,0.49857474492274595
A019,T3,A019_3,IFR,-0.731604,0.375,-0.7289531843160366,0.412332001955218
A019,T3,A019_3,ICR,-0.7890297,0.5263157894736842,-0.7386066691483056,0.48128544857832956
A019,T3,A019_3,IRE,-0.5890452,0.5178571428571429,-0.7814778242657281,0.46723145645326614
A019,T4,A019_4,IFR,-0.75950915,0.375,-0.7699964385117284,0.39901046923581684
A019,T4,A019_4,ICR,-0.43077806,0.5263157894736842,-0.796538791340303,0.46283307168618076
A019,T4,A019_4,IRE,-1.1340683,0.3928571428571428,-0.8458354810804369,0.4490057917746401
A020,T1,A020_1,IFR,0.072841056,0.5833333333333334,0.21781744143490728,0.5270243310306744
A020,T1,A020_1,ICR,-0.19779886,0.5,0.3119666246869411,0.6275130655589618
A020,T1,A020_1,IRE,0.06332161,0.5357142857142857,0.3085882074991075,0.6120656506979214
A020,T2,A020_2,IFR,-0.20886408,0.3541666666666667,-0.6604059271425714,0.4317943468111814
A020,T2,A020_2,ICR,0.26416394,0.5263157894736842,-0.6392421021784314,0.5101101032364215
A020,T2,A020_2,IRE,0.047483053,0.8035714285714286,-0.6703885110832024,0.49564242675309983
A020,T3,A020_3,IFR,-0.7968719,0.25,-1.0091276926708985,0.3939807683794815
A020,T3,A020_3,ICR,-0.7218849,0.5657894736842105,-1.0169446303584033,0.4634921586858377
A020,T3,A020_3,IRE,-0.51456475,0.6071428571428571,-1.0591170531944492,0.44941351318148803
A020,T4,A020_4,IFR,-2.0479772,0.2083333333333333,-1.2146469600147993,0.3716953256479097
