composite_ID,UID,TEST,theta_IFR,theta_ICR,theta_IRE,CTT_IFR,CTT_ICR,CTT_IRE,se_IFR,se_ICR,se_IRE
A045_1,A045,T1,-0.76336116,-0.45263797,-0.6049191,0.2916666666666667,0.5131578947368421,0.6785714285714286,,,
A045_2,A045,T2,-0.47526395,-0.82860243,-0.8930858,0.5,0.4736842105263157,0.4107142857142857,,,
A045_3,A045,T3,-0.4236594,-0.43453157,-0.5937915,0.3958333333333333,0.5131578947368421,0.4107142857142857,,,
A045_4,A045,T4,-1.2165346,-0.81670034,-1.290313,0.2916666666666667,0.4078947368421052,0.5,,,
A046_1,A046,T1,-0.77469015,-0.7534626,-0.5982873,0.375,0.4078947368421052,0.625,,,
A046_2,A046,T2,-1.245836,-1.6854773,-1.413458,0.4375,0.3552631578947368,0.2678571428571428,,,
A046_3,A046,T3,-1.6056858,-2.0226305,-2.0996013,0.5625,0.2105263157894736,0.3392857142857143,,,
A046_4,A046,T4,-1.0504586,-1.145097,-1.4497496,0.4583333333333333,0.3947368421052631,0.2142857142857142,,,
A047_1,A047,T1,-0.5218471,-0.2947177,-0.30463582,0.3333333333333333,0.5921052631578947,0.4642857142857143,,,
A047_2,A047,T2,-0.38599724,-0.074646346,-0.47663674,0.4166666666666667,0.5657894736842105,0.5535714285714286,,,
A047_3,A047,T3,-1.1630286,-1.0434045,-1.5128936,0.3333333333333333,0.5263157894736842,0.5178571428571429,,,
A047_4,A047,T4,-0.8443499,-1.3391343,-1.0254031,0.4166666666666667,0.4210526315789473,0.5714285714285714,,,
A048_1,A048,T1,1.4464241,1.3396158,1.2373691,0.8333333333333334,0.8421052631578947,0.7321428571428571,,,
A048_2,A048,T2,-0.24025916,-0.045005087,-0.08034208,0.4583333333333333,0.5526315789473685,0.7142857142857143,,,
A048_3,A048,T3,0.37180644,-0.04359406,-0.14090295,0.625,0.5,0.7142857142857143,,,
A048_4,A048,T4,0.32747135,0.53243536,0.27244678,0.5833333333333334,0.6973684210526315,0.6785714285714286,,,
A049_1,A049,T1,1.9369724,2.1185856,1.8781378,0.9166666666666666,0.8421052631578947,0.8571428571428571,,,
