composite_ID,theta_IFR,theta_ICR,theta_IRE,se_IFR,se_ICR,se_IRE
A090_4,-0.72259337,-0.66221637,-0.7518836,,,
A091_1,0.56830114,0.37353247,0.97061104,,,
A091_2,-0.024470944,-0.38569748,0.039785095,,,
A091_3,-1.0722411,-0.9121887,-0.97475123,,,
A091_4,-0.80329055,-0.82411695,-0.9651673,,,
A092_1,-0.20546757,-0.018687323,0.05058304,,,
A092_2,-1.1036576,-0.92986196,-1.2336305,,,
A092_3,-0.9559158,-0.65643394,-1.2415818,,,
A092_4,-1.0151985,-0.845883,-0.89444345,,,
A093_1,0.5351138,0.5201135,0.5990654,,,
A093_2,1.1764531,0.55581963,1.2117604,,,
A093_3,0.49807674,-0.043852262,0.17340481,,,
A093_4,0.36329606,-0.121557094,0.5586453,,,
A094_1,-0.95102084,-0.73902184,-0.9617219,,,
A094_2,-0.08161993,-0.29991186,0.0140557075,,,
A094_3,-1.1016859,-1.2893258,-1.5349207,,,
A094_4,-0.83792824,-1.1009582,-1.2094593,,,
A095_1,1.80899,1.8624213,1.9830589,,,
A095_2,-0.14235677,0.055583816,0.3200694,,,
A095_3,-0.18422538,-0.016563427,-0.17800218,,,
A095_4,-0.21127401,-0.25386304,-0.41172364,,,
A096_1,-0.41371152,-0.405043,-0.6706398,,,
A096_2,-0.7807312,-0.70250136,-0.55896944,,,
A096_3,-1.6348042,-1.5279682,-1.9151922,,,
A096_4,-1.5612783,-2.1239834,-1.9204532,,,
A097_1,0.35705918,0.17421606,0.14730547,,,
A097_2,-0.31381193,-0.18929343,-0.47214893,,,
A097_3,0.67599416,0.3600653,0.31698403,,,
A097_4,-0.4779618,-0.3640842,-0.5914035,,,
A098_1,0.4863022,0.76267684,0.6124665,,,
A098_2,0.35508934,0.50032306,-0.096271254,,,
A098_3,1.2622093,0.7660794,1.3472352,,,
A098_4,-0.91847074,-0.8945514,-0.9018639,,,
A099_1,0.5947077,1.0417407,0.5525987,,,
A099_2,0.9436256,0.6420143,0.97143245,,,
A099_3,0.5655428,0.33446977,0.9325728,,,
A099_4,1.2966081,0.98564196,1.1421402,,,
A100_1,0.15649687,0.2507026,0.41694874,,,
A100_2,1.812935,1.7990696,1.5501331,,,
A100_3,0.31755033,0.022800112,0.26074573,,,
A100_4,0.07595712,-0.14655165,0.18579558,,,
A101_1,-0.3487501,0.06431497,-0.24693763,,,
A101_2,-1.0621837,-0.4466182,-0.8620508,,,
A101_3,-1.3082596,-1.0314987,-1.2491857,,,
A101_4,-0.9258172,-0.9808568,-1.011913,,,
A102_1,-0.45942888,-0.4727804,-0.38333195,,,
A102_2,1.2470385,1.1755204,1.0901707,,,
A102_3,-0.7463703,-0.62653625,-0.3659669,,,
A102_4,0.35073677,-0.13949722,0.1741312,,,
A103_1,1.6094108,1.6574401,1.6768701,,,
A103_2,-0.4749365,-0.61883485,-0.57117534,,,
A103_3,-1.2749491,-1.058727,-1.2689043,,,
A103_4,-0.7590711,-0.77343935,-0.71614736,,,
A104_1,1.8006684,1.5773517,1.6540266,,,
A104_2,0.63661397,0.6895314,1.0291764,,,
A104_3,-0.25256342,0.17436832,-0.4121698,,,
A104_4,-1.6931355,-1.2733445,-1.7346635,,,
A105_1,0.6124308,0.91576445,0.6195348,,,
A105_2,0.6128357,0.7752459,0.6627499,,,
A105_3,-0.43068558,-0.4392154,-0.66510576,,,
A105_4,-0.08775301,-0.16613224,-0.010698175,,,
A106_1,1.270947,1.0576928,1.0056148,,,
A106_2,-0.42703262,-0.51895714,-0.080483235,,,
A106_3,0.37435147,0.29473698,0.26081502,,,
A106_4,1.085603,1.0693434,0.8969831,,,
A107_1,-0.8262498,-0.5625059,-1.0345303,,,
A107_2,-1.2923126,-1.480025,-1.5771314,,,
A107_3,-0.8783097,-0.9414066,-0.7658409,,,
A107_4,-0.54525477,-0.7620688,-1.1520263,,,
A108_1,-0.5137304,-0.81889147,-0.7558844,,,
A108_2,-0.843856,-0.4216877,-0.6152969,,,
A108_3,-0.07909426,0.16783781,0.07778465,,,
A108_4,-1.6712129,-1.4309634,-1.6173264,,,
A109_1,-0.14437068,-0.4498533,-0.15640523,,,
A109_2,-1.270778,-1.0999992,-1.224899,,,
A109_3,0.009080338,0.0005814457,-0.13068518,,,
A109_4,-1.5646012,-1.645536,-1.6439301,,,
