UID,composite_ID,test,domain,theta,TSVR_hours,log_TSVR,age,Age_c,mean_age
A067,A067_2,2,What,-1.1704557,29.91,3.431079756144025,48.0,3.4299999999999997,44.57
A067,A067_3,3,What,-1.4594061,73.19,4.306629370201435,48.0,3.4299999999999997,44.57
A067,A067_4,4,What,-1.1524973,144.19,4.978043229495596,48.0,3.4299999999999997,44.57
A068,A068_1,1,What,1.5781611,1.0,0.6931471805599453,49.0,4.43,44.57
A068,A068_2,2,What,0.14502825,30.49,3.4496700351129332,49.0,4.43,44.57
A068,A068_3,3,What,0.23438412,82.98,4.430578675256047,49.0,4.43,44.57
A068,A068_4,4,What,-0.37933305,155.59,5.053630924557352,49.0,4.43,44.57
A069,A069_1,1,What,-0.41606086,1.0,0.6931471805599453,46.0,1.4299999999999997,44.57
A069,A069_2,2,What,-1.4017547,24.96,3.2565568918358894,46.0,1.4299999999999997,44.57
A069,A069_3,3,What,-0.28530526,79.75,4.391357962102766,46.0,1.4299999999999997,44.57
A069,A069_4,4,What,-1.4135531,140.22,4.950318958088201,46.0,1.4299999999999997,44.57
A070,A070_1,1,What,0.5219151,1.0,0.6931471805599453,52.0,7.43,44.57
A070,A070_2,2,What,0.19770284,24.25,3.228826155721369,52.0,7.43,44.57
A070,A070_3,3,What,-0.34628716,81.92,4.417876287567579,52.0,7.43,44.57
A070,A070_4,4,What,-0.6466961,149.2,5.011967739330034,52.0,7.43,44.57
A071,A071_1,1,What,0.8269955,1.0,0.6931471805599453,50.0,5.43,44.57
A071,A071_2,2,What,0.52419287,30.92,3.463232772581608,50.0,5.43,44.57
A071,A071_3,3,What,-1.1711217,79.96,4.3939552055391555,50.0,5.43,44.57
A071,A071_4,4,What,0.10002842,153.27,5.038704314023848,50.0,5.43,44.57
A072,A072_1,1,What,0.81125784,1.0,0.6931471805599453,50.0,5.43,44.57
A072,A072_2,2,What,0.4618086,33.76,3.548467300397191,50.0,5.43,44.57
A072,A072_3,3,What,-1.1341089,83.54,4.437224795138644,50.0,5.43,44.57
A072,A072_4,4,What,-0.5302154,154.89,5.04915063032459,50.0,5.43,44.57
A073,A073_1,1,What,0.6544795,1.0,0.6931471805599453,51.0,6.43,44.57
A073,A073_2,2,What,-0.7580057,66.66,4.214495163352562,51.0,6.43,44.57
A073,A073_3,3,What,-0.30615124,66.9,4.21803603456465,51.0,6.43,44.57
A073,A073_4,4,What,0.90156066,140.12,4.949610592258481,51.0,6.43,44.57
A074,A074_1,1,What,0.9347626,1.0,0.6931471805599453,53.0,8.43,44.57
A074,A074_2,2,What,-0.76089525,29.33,3.41213732170049,53.0,8.43,44.57
A074,A074_3,3,What,-1.1451392,73.02,4.30433532695801,53.0,8.43,44.57
A074,A074_4,4,What,-1.2613695,147.21,4.998630186968824,53.0,8.43,44.57
A075,A075_1,1,What,0.25188833,1.0,0.6931471805599453,53.0,8.43,44.57
A075,A075_2,2,What,0.108092144,28.68,3.39047341829918,53.0,8.43,44.57
A075,A075_3,3,What,-1.198156,71.37,4.281791848878036,53.0,8.43,44.57
A075,A075_4,4,What,-0.75654626,244.53,5.5034191393614815,53.0,8.43,44.57
A076,A076_1,1,What,-0.48276085,1.0,0.6931471805599453,54.0,9.43,44.57
A076,A076_2,2,What,-0.47757313,27.3,3.342861804649192,54.0,9.43,44.57
A076,A076_3,3,What,-1.4173888,74.88,4.3291531450668135,54.0,9.43,44.57
A076,A076_4,4,What,-2.3509033,149.28,5.0125002207057685,54.0,9.43,44.57
A077,A077_1,1,What,1.3145027,1.0,0.6931471805599453,52.0,7.43,44.57
A077,A077_2,2,What,-0.046640176,53.88,4.00514898341763,52.0,7.43,44.57
A077,A077_3,3,What,0.09669988,78.36,4.373994462976618,52.0,7.43,44.57
A077,A077_4,4,What,0.63073874,149.75,5.015622835607295,52.0,7.43,44.57
A078,A078_1,1,What,0.023597341,1.0,0.6931471805599453,50.0,5.43,44.57
A078,A078_2,2,What,0.099462025,26.17,3.3021134234382563,50.0,5.43,44.57
A078,A078_3,3,What,-0.7596743,72.3,4.294560608892605,50.0,5.43,44.57
A078,A078_4,4,What,-0.65401506,140.08,4.949327105367852,50.0,5.43,44.57
A079,A079_1,1,What,0.13202901,1.0,0.6931471805599453,50.0,5.43,44.57
A079,A079_2,2,What,-0.5799095,26.11,3.299902663510574,50.0,5.43,44.57
A079,A079_3,3,What,-1.0114949,74.0,4.31748811353631,50.0,5.43,44.57
A079,A079_4,4,What,-0.5881184,194.42,5.275151088516197,50.0,5.43,44.57
A080,A080_1,1,What,0.43105462,1.0,0.6931471805599453,56.0,11.43,44.57
A080,A080_2,2,What,0.4199076,29.03,3.402196881995239,56.0,11.43,44.57
A080,A080_3,3,What,0.3975454,72.87,4.302306791540646,56.0,11.43,44.57
A080,A080_4,4,What,-0.8417055,145.77,4.988866735623107,56.0,11.43,44.57
A081,A081_1,1,What,0.41316152,1.0,0.6931471805599453,55.0,10.43,44.57
A081,A081_2,2,What,-0.49664956,31.39,3.477849733183238,55.0,10.43,44.57
A081,A081_3,3,What,0.96994483,80.13,4.396052806406973,55.0,10.43,44.57
A081,A081_4,4,What,0.04104539,154.53,5.046838639056468,55.0,10.43,44.57
A082,A082_1,1,What,0.70349485,1.0,0.6931471805599453,58.0,13.43,44.57
A082,A082_2,2,What,1.0411574,27.97,3.366260811781259,58.0,13.43,44.57
A082,A082_3,3,What,0.26939318,75.71,4.3400320779712045,58.0,13.43,44.57
A082,A082_4,4,What,0.099159405,170.25,5.143124477142335,58.0,13.43,44.57
A083,A083_1,1,What,1.716006,1.0,0.6931471805599453,58.0,13.43,44.57
A083,A083_2,2,What,0.627722,25.15,3.263849190510932,58.0,13.43,44.57
A083,A083_3,3,What,-0.03808578,74.3,4.321480134805848,58.0,13.43,44.57
A083,A083_4,4,What,-0.45677182,144.91,4.982989993275931,58.0,13.43,44.57
A084,A084_1,1,What,0.27613997,1.0,0.6931471805599453,59.0,14.43,44.57
A084,A084_2,2,What,-1.0235722,27.25,3.34109345759245,59.0,14.43,44.57
A084,A084_3,3,What,-0.04605442,91.97,4.532276860467767,59.0,14.43,44.57
A084,A084_4,4,What,-0.27272734,162.51,5.096874150546495,59.0,14.43,44.57
A085,A085_1,1,What,0.11177244,1.0,0.6931471805599453,58.0,13.43,44.57
A085,A085_2,2,What,1.5030562,24.51,3.23907053215372,58.0,13.43,44.57
A085,A085_3,3,What,-0.12060891,71.4,4.282206299391671,58.0,13.43,44.57
A085,A085_4,4,What,-0.5840122,170.65,5.145457519903701,58.0,13.43,44.57
A086,A086_1,1,What,0.67570555,1.0,0.6931471805599453,58.0,13.43,44.57
A086,A086_2,2,What,-0.8055431,23.47,3.19744787745458,58.0,13.43,44.57
A086,A086_3,3,What,-1.0776986,145.29,4.985590952989995,58.0,13.43,44.57
A086,A086_4,4,What,-0.74143744,169.55,5.139028508864655,58.0,13.43,44.57
A087,A087_1,1,What,1.2110579,1.0,0.6931471805599453,59.0,14.43,44.57
