composite_ID,domain,test,theta
A060_1,Where,1,-0.18527703
A060_2,Where,2,1.1582936
A060_3,Where,3,-0.6168478
A060_4,Where,4,0.17548531
A061_1,Where,1,2.4665449
A061_2,Where,2,0.91655695
A061_3,Where,3,0.4243972
A061_4,Where,4,-0.2831631
A062_1,Where,1,1.5600666
A062_2,Where,2,0.1418573
A062_3,Where,3,-0.45045272
A062_4,Where,4,-0.56087077
A063_1,Where,1,0.9488983
A063_2,Where,2,0.7603441
A063_3,Where,3,0.14207737
A063_4,Where,4,-0.39704204
A064_1,Where,1,0.6850892
A064_2,Where,2,0.5197236
A064_3,Where,3,0.03945113
A064_4,Where,4,-0.45727742
A065_1,Where,1,-2.1264358
A065_2,Where,2,-0.8308915
A065_3,Where,3,-2.107138
A065_4,Where,4,-2.2702193
A066_1,Where,1,0.4814991
A066_2,Where,2,-0.52560335
A066_3,Where,3,-0.813506
A066_4,Where,4,-1.2912297
A067_1,Where,1,0.5986335
A067_2,Where,2,-1.3370378
A067_3,Where,3,-1.4671184
A067_4,Where,4,-1.208704
A068_1,Where,1,1.186578
A068_2,Where,2,0.117177755
A068_3,Where,3,0.610876
A068_4,Where,4,-0.36081517
A069_1,Where,1,-0.96561235
A069_2,Where,2,-1.4912251
A069_3,Where,3,-0.81586957
A069_4,Where,4,-1.6760168
A070_1,Where,1,0.66849816
A070_2,Where,2,0.25979045
A070_3,Where,3,-0.5671378
A070_4,Where,4,-1.2078129
A071_1,Where,1,1.1825029
A071_2,Where,2,0.37755665
A071_3,Where,3,-0.6371901
A071_4,Where,4,0.19446951
A072_1,Where,1,0.9963321
A072_2,Where,2,0.3808361
A072_3,Where,3,-0.72129774
A072_4,Where,4,-0.058391795
A073_1,Where,1,0.8587265
A073_2,Where,2,-0.20244986
A073_3,Where,3,0.21029665
A073_4,Where,4,0.9916159
A074_1,Where,1,1.0983253
A074_2,Where,2,0.24436297
A074_3,Where,3,-0.60411704
A074_4,Where,4,-0.96847135
A075_1,Where,1,0.7470089
A075_2,Where,2,0.6729385
A075_3,Where,3,-1.4312079
A075_4,Where,4,-0.60777307
A076_1,Where,1,-0.44263244
A076_2,Where,2,-0.7997155
A076_3,Where,3,-0.8135321
A076_4,Where,4,-2.3054538
A077_1,Where,1,1.0192841
A077_2,Where,2,-0.15604849
A077_3,Where,3,0.16106999
A077_4,Where,4,0.6083534
A078_1,Where,1,0.07454012
A078_2,Where,2,0.16946432
A078_3,Where,3,-1.0444946
A078_4,Where,4,-1.1616063
