observation,fitted,residual,standardized_residual,cooks_d,leverage
A070,-0.0005697430894888567,0.0012861491481596567,0.3519531430115495,0.0011118209249999572,0.07516713067482929
A071,-0.0022315255511594135,0.0010610371355693135,0.2903515158019876,0.0005150040386819025,0.053575995017932906
A072,-0.0028565395642400995,0.0020560346031030996,0.5626313571315383,0.0016287865082567168,0.04586411992263074
A073,0.00021897396334712084,-0.0011786110719113208,-0.32252547983331353,0.0004897527123108235,0.04228243651525897
A074,-0.003109836682319741,0.003343503919790441,0.9149457626477424,0.00443148628203588,0.0470673192279199
A075,0.001145799405989525,0.000712373339421475,0.1949400939741539,0.00017245584246169168,0.04087539358909614
A076,0.0072541859662063985,-0.0008596118843273983,-0.23523174189557683,0.0017845198211145642,0.20138920622387874
A077,-0.003301722905582038,0.0006680670085784384,0.18281572067123697,0.00034776510453529626,0.0852509405556059
A078,0.00215391226891413,0.0008821669417434699,0.24140390580032398,0.0003292422685278202,0.049931347826460276
A079,-0.0015214525845290024,0.004209329516102502,1.1518778792361766,0.03666940086661148,0.18135180047425983
A080,1.4277862169913925e-05,-0.0004731408192227139,-0.12947440710960378,0.00014118851229033436,0.07114773812015901
A081,0.003972280965643028,-0.004691477635270428,-1.2838171229709112,0.026849447554642712,0.12274792219785617
A082,-0.0010794592213568496,-0.0017292306056772505,-0.47320184251626457,0.003735389814496586,0.125041527379757
A083,-0.0010718851603653836,-0.004704359645580317,-1.2873422693533196,0.01472685832130884,0.07452289542207992
A084,0.0030797262409669695,-0.0013958472757141696,-0.3819719015906283,0.0009188701106472994,0.05505998441873425
A085,-0.00031596630709983383,-0.002455491294371366,-0.6719421926516878,0.005625462245989133,0.09902711815596288
A086,-0.0018134855225951426,0.002834730956554143,0.7757206628632138,0.004750844548430653,0.06725468795734316
A087,0.0003689802419468616,-0.004112907586669062,-1.1254921360524284,0.008467349509215075,0.058068131299469604
A088,0.0012872837454916655,-0.011593281304773365,-3.1724872646928146,0.07887804630131195,0.06682229546249473
A089,-0.0016026004887642715,-0.0041776632570987285,-1.143212446148775,0.01601317943100437,0.09767547223536255
A090,0.002129304664007124,0.0022401073931339758,0.6130026512283173,0.00477342686167957,0.1006094015427524
A091,0.0013683322369466603,0.0009145078452064395,0.25025395451972204,0.0006583909945852937,0.08599203998309815
A092,0.005379136394042699,-0.00020713523560539956,-0.056682304151173354,5.511241877923425e-05,0.12777544654839637
A093,0.00020144543837613018,-0.00134824950936223,-0.36894683098208725,0.0012871866866843427,0.07860373411081761
A094,0.003964389820705177,0.0025971491812279233,0.7107067003161991,0.0035613232769296952,0.06088427210559548
A095,-0.0008884690922014124,-0.0002733311694955875,-0.07479674058381663,5.9947239732927534e-05,0.08738136447000444
A096,0.003224759668824506,0.005827864877104094,1.5947881032914113,0.08593945574739292,0.2076892547011573
A097,0.0028600097562452194,-0.0016487848242683193,-0.4511879527201966,0.005816415129905896,0.18556309486718076
A098,-0.0016074970191409322,-0.000569676365246768,-0.15589124133455973,0.00013820876632084152,0.05023022891379679
A099,-0.001001194983427202,-0.003108009429092698,-0.8505029829891223,0.006123452357030514,0.07146273716296515
