UID,TEST,location_type,theta,se,TSVR_hours
A056,T4,Destination,-0.68625605,0.5,147.84
A057,T1,Destination,-0.18430327,0.5,1.0
A057,T2,Destination,-0.13640554,0.5,24.78
A057,T3,Destination,-1.1143383,0.5,73.83
A057,T4,Destination,-1.8609331,0.5,145.06
A058,T1,Destination,0.30534035,0.5,1.0
A058,T2,Destination,-0.8726649,0.5,22.96
A058,T3,Destination,-0.4743847,0.5,66.28
A058,T4,Destination,-1.3673245,0.5,143.48
A059,T1,Destination,0.26070774,0.5,1.0
A059,T2,Destination,-1.7803308,0.5,30.4
A059,T3,Destination,-1.1945233,0.5,79.78
A059,T4,Destination,-0.9576993,0.5,151.93
A060,T1,Destination,1.1205553,0.5,1.0
A060,T2,Destination,0.99378914,0.5,24.87
A060,T3,Destination,1.2311963,0.5,94.68
A060,T4,Destination,1.6289663,0.5,143.91
A061,T1,Destination,2.2966886,0.5,1.0
A061,T2,Destination,1.9969625,0.5,35.16
A061,T3,Destination,1.1333011,0.5,82.55
A061,T4,Destination,1.2504314,0.5,146.56
A062,T1,Destination,0.51519597,0.5,1.0
A062,T2,Destination,-0.18536384,0.5,44.69
A062,T3,Destination,-0.94058126,0.5,92.72
A062,T4,Destination,-1.6496172,0.5,149.18
A063,T1,Destination,0.05842032,0.5,1.0
A063,T2,Destination,-0.22587404,0.5,21.98
A063,T3,Destination,-0.6147864,0.5,69.99
A063,T4,Destination,-0.9946281,0.5,141.09
A064,T1,Destination,1.0055289,0.5,1.0
A064,T2,Destination,-0.5609506,0.5,37.65
A064,T3,Destination,-0.33990285,0.5,82.99
A064,T4,Destination,0.83374274,0.5,156.21
A065,T1,Destination,-0.0420574,0.5,1.0
A065,T2,Destination,-0.5968943,0.5,32.31
A065,T3,Destination,-1.1818291,0.5,106.41
A065,T4,Destination,-0.9220074,0.5,187.43
A066,T1,Destination,-0.2369096,0.5,1.0
A066,T2,Destination,-0.34996164,0.5,23.35
A066,T3,Destination,-1.2297783,0.5,73.79
A066,T4,Destination,-1.5177912,0.5,164.93
A067,T1,Destination,-0.7136271,0.5,1.0
A067,T2,Destination,-1.6840695,0.5,29.91
A067,T3,Destination,-1.9274367,0.5,73.19
A067,T4,Destination,-2.0146925,0.5,144.19
A068,T1,Destination,2.179757,0.5,1.0
A068,T2,Destination,1.4514263,0.5,30.49
A068,T3,Destination,0.42876357,0.5,82.98
A068,T4,Destination,0.28106436,0.5,155.59
A069,T1,Destination,0.4284194,0.5,1.0
A069,T2,Destination,-0.9245045,0.5,24.96
A069,T3,Destination,-1.7875651,0.5,79.75
A069,T4,Destination,-1.3160499,0.5,140.22
A070,T1,Destination,-0.49763846,0.5,1.0
A070,T2,Destination,-0.66268843,0.5,24.25
A070,T3,Destination,-1.7471137,0.5,81.92
A070,T4,Destination,-2.2185535,0.5,149.2
A071,T1,Destination,0.74664927,0.5,1.0
A071,T2,Destination,-0.14447047,0.5,30.92
A071,T3,Destination,-0.4445975,0.5,79.96
A071,T4,Destination,-1.0832429,0.5,153.27
A072,T1,Destination,1.4586939,0.5,1.0
A072,T2,Destination,1.5416913,0.5,33.76
A072,T3,Destination,0.597224,0.5,83.54
A072,T4,Destination,0.7568157,0.5,154.89
A073,T1,Destination,-0.073171444,0.5,1.0
A073,T2,Destination,-0.11646445,0.5,66.66
A073,T3,Destination,0.21188341,0.5,66.9
A073,T4,Destination,-0.23729247,0.5,140.12
A074,T1,Destination,-0.41321808,0.5,1.0
A074,T2,Destination,0.26912332,0.5,29.33
A074,T3,Destination,-1.1327794,0.5,73.02
A074,T4,Destination,-0.9172052,0.5,147.21
A075,T1,Destination,-0.13164216,0.5,1.0
A075,T2,Destination,-0.11858212,0.5,28.68
A075,T3,Destination,-2.5341713,0.5,71.37
A075,T4,Destination,-0.6303648,0.5,244.53
A076,T1,Destination,-0.5170347,0.5,1.0
A076,T2,Destination,-0.9599613,0.5,27.3
A076,T3,Destination,-0.5517695,0.5,74.88
A076,T4,Destination,-1.6269691,0.5,149.28
A077,T1,Destination,0.14284195,0.5,1.0
A077,T2,Destination,-0.89152926,0.5,53.88
A077,T3,Destination,-0.55568767,0.5,78.36
A077,T4,Destination,-0.42253417,0.5,149.75
A078,T1,Destination,-1.2230827,0.5,1.0
A078,T2,Destination,-0.85786813,0.5,26.17
A078,T3,Destination,-1.2683096,0.5,72.3
A078,T4,Destination,-0.84077936,0.5,140.08
A079,T1,Destination,0.7505545,0.5,1.0
A079,T2,Destination,0.024114441,0.5,26.11
A079,T3,Destination,-0.36143973,0.5,74.0
A079,T4,Destination,-0.590337,0.5,194.42
A080,T1,Destination,1.106992,0.5,1.0
A080,T2,Destination,0.8046346,0.5,29.03
A080,T3,Destination,0.48181114,0.5,72.87
A080,T4,Destination,-0.43002534,0.5,145.77
A081,T1,Destination,1.2009158,0.5,1.0
A081,T2,Destination,0.009786245,0.5,31.39
A081,T3,Destination,0.32190835,0.5,80.13
A081,T4,Destination,0.79271454,0.5,154.53
A082,T1,Destination,-0.40188107,0.5,1.0
A082,T2,Destination,-0.37836897,0.5,27.97
A082,T3,Destination,-1.4438484,0.5,75.71
A082,T4,Destination,-1.0390277,0.5,170.25
A083,T1,Destination,1.1439762,0.5,1.0
A083,T2,Destination,0.24409963,0.5,25.15
A083,T3,Destination,0.11060281,0.5,74.3
A083,T4,Destination,0.5948737,0.5,144.91
A084,T1,Destination,0.13065845,0.5,1.0
A084,T2,Destination,-0.7013877,0.5,27.25
A084,T3,Destination,-0.5774413,0.5,91.97
A084,T4,Destination,-0.6225055,0.5,162.51
A085,T1,Destination,1.0677788,0.5,1.0
A085,T2,Destination,0.93825793,0.5,24.51
A085,T3,Destination,-0.421368,0.5,71.4
A085,T4,Destination,-1.3817028,0.5,170.65
A086,T1,Destination,0.94961023,0.5,1.0
A086,T2,Destination,0.6308833,0.5,23.47
A086,T3,Destination,0.21144061,0.5,145.29
A086,T4,Destination,0.17004518,0.5,169.55
A087,T1,Destination,1.5478343,0.5,1.0
A087,T2,Destination,1.0058842,0.5,31.07
A087,T3,Destination,0.16136597,0.5,72.8
A087,T4,Destination,-0.4262727,0.5,144.2
A088,T1,Destination,1.0618956,0.5,1.0
A088,T2,Destination,1.0432209,0.5,24.25
A088,T3,Destination,0.37309405,0.5,74.91
A088,T4,Destination,1.3233032,0.5,149.93
A089,T1,Destination,0.8121433,0.5,1.0
A089,T2,Destination,0.7289868,0.5,32.14
A089,T3,Destination,-0.14526197,0.5,79.34
A089,T4,Destination,-0.07424965,0.5,146.96
A090,T1,Destination,-0.2083959,0.5,1.0
A090,T2,Destination,-0.48259068,0.5,23.54
A090,T3,Destination,-1.3980002,0.5,95.42
A090,T4,Destination,-0.5008834,0.5,144.07
A091,T1,Destination,0.65458727,0.5,1.0
A091,T2,Destination,0.548435,0.5,22.2
A091,T3,Destination,0.3316451,0.5,73.64
A091,T4,Destination,0.55651975,0.5,142.61
A092,T1,Destination,0.003960049,0.5,1.0
A092,T2,Destination,-0.23441996,0.5,22.83
A092,T3,Destination,-0.2751614,0.5,71.31
A092,T4,Destination,-0.66281474,0.5,146.16
A093,T1,Destination,1.3280941,0.5,1.0
A093,T2,Destination,0.9094467,0.5,22.09
A093,T3,Destination,0.28626767,0.5,70.22
A093,T4,Destination,0.1377664,0.5,140.95
A094,T1,Destination,-0.5268859,0.5,1.0
A094,T2,Destination,-0.21789545,0.5,22.98
A094,T3,Destination,-1.0557201,0.5,76.21
A094,T4,Destination,-1.070297,0.5,149.99
A095,T1,Destination,1.1234274,0.5,1.0
A095,T2,Destination,-0.26930702,0.5,29.71
A095,T3,Destination,-0.29432428,0.5,78.76
A095,T4,Destination,-0.6069099,0.5,148.79
A096,T1,Destination,1.5010747,0.5,1.0
A096,T2,Destination,0.634124,0.5,24.49
A096,T3,Destination,0.794869,0.5,71.19
A096,T4,Destination,0.70938325,0.5,143.66
A097,T1,Destination,-0.9642258,0.5,1.0
A097,T2,Destination,-0.36310253,0.5,24.37
A097,T3,Destination,-0.35814762,0.5,70.83
A097,T4,Destination,-0.80419695,0.5,144.85
A098,T1,Destination,0.28148198,0.5,1.0
A098,T2,Destination,-0.7234401,0.5,25.77
A098,T3,Destination,0.35625297,0.5,78.84
A098,T4,Destination,-0.27041504,0.5,146.29
A099,T1,Destination,1.3154249,0.5,1.0
A099,T2,Destination,1.3236241,0.5,28.75
A099,T3,Destination,0.6556382,0.5,78.57
A099,T4,Destination,1.9964099,0.5,143.51
A100,T1,Destination,1.5770688,0.5,1.0
A100,T2,Destination,1.6435581,0.5,31.14
A100,T3,Destination,0.8536865,0.5,75.34
A100,T4,Destination,0.68930566,0.5,146.8
A101,T1,Destination,-0.21817127,0.5,1.0
A101,T2,Destination,-0.88835955,0.5,29.12
A101,T3,Destination,-1.6436224,0.5,75.21
A101,T4,Destination,-1.1911759,0.5,150.22
A102,T1,Destination,0.03595928,0.5,1.0
A102,T2,Destination,-0.4667018,0.5,29.13
A102,T3,Destination,-0.74882245,0.5,75.27
A102,T4,Destination,-0.4704805,0.5,150.41
A103,T1,Destination,-1.5460261,0.5,1.0
A103,T2,Destination,-1.7063676,0.5,27.26
A103,T3,Destination,-2.1477895,0.5,80.24
A103,T4,Destination,-1.8939518,0.5,149.72
A104,T1,Destination,1.4034938,0.5,1.0
A104,T2,Destination,0.6199584,0.5,22.6
A104,T3,Destination,-0.37916905,0.5,72.62
A104,T4,Destination,-2.4627867,0.5,145.78
A105,T1,Destination,1.9226042,0.5,1.0
A105,T2,Destination,0.9493199,0.5,22.77
A105,T3,Destination,0.5204851,0.5,69.46
A105,T4,Destination,0.22215156,0.5,146.2
A106,T1,Destination,1.0958929,0.5,1.0
A106,T2,Destination,-0.45441872,0.5,22.64
A106,T3,Destination,0.21723706,0.5,66.08
A106,T4,Destination,-0.01406853,0.5,147.13
A107,T1,Destination,-1.9086866,0.5,1.0
A107,T2,Destination,-0.13229832,0.5,26.22
A107,T3,Destination,-0.2855823,0.5,71.45
A107,T4,Destination,-1.1628886,0.5,145.95
A108,T1,Destination,-0.8499682,0.5,1.0
A108,T2,Destination,-1.7737292,0.5,27.61
A108,T3,Destination,-0.8209312,0.5,68.96
A108,T4,Destination,-0.6899837,0.5,152.12
A109,T1,Destination,0.5619888,0.5,1.0
A109,T2,Destination,0.046443008,0.5,24.65
A109,T3,Destination,0.5703379,0.5,71.17
A109,T4,Destination,0.49588653,0.5,149.87
