UID,test,composite_ID,Congruence,theta,SE,TSVR_hours,Segment,Days_within
A054,3,A054_3,Common,0.35355416,0.1962873223365104,72.83,Late,2.0345833333333334
A054,4,A054_4,Common,1.2971294,0.1962873223365104,136.83,Late,4.701250000000001
A055,1,A055_1,Common,-0.84173906,0.1962873223365104,1.0,Early,0.041666666666666664
A055,2,A055_2,Common,0.4803198,0.1962873223365104,23.24,Early,0.9683333333333333
A055,3,A055_3,Common,-1.0578766,0.1962873223365104,74.48,Late,2.1033333333333335
A055,4,A055_4,Common,-1.1588173,0.1962873223365104,149.21,Late,5.217083333333334
A056,1,A056_1,Common,0.57677263,0.1962873223365104,1.0,Early,0.041666666666666664
A056,2,A056_2,Common,-0.4870755,0.1962873223365104,33.61,Late,0.40041666666666664
A056,3,A056_3,Common,0.41734344,0.1962873223365104,71.46,Late,1.9774999999999998
A056,4,A056_4,Common,-1.3208041,0.1962873223365104,147.84,Late,5.16
A057,1,A057_1,Common,-0.6586051,0.1962873223365104,1.0,Early,0.041666666666666664
A057,2,A057_2,Common,-0.5845993,0.1962873223365104,24.78,Late,0.03250000000000005
A057,3,A057_3,Common,-0.740959,0.1962873223365104,73.83,Late,2.07625
A057,4,A057_4,Common,-1.6140344,0.1962873223365104,145.06,Late,5.0441666666666665
A058,1,A058_1,Common,1.2305706,0.1962873223365104,1.0,Early,0.041666666666666664
A058,2,A058_2,Common,-1.1810384,0.1962873223365104,22.96,Early,0.9566666666666667
A058,3,A058_3,Common,-0.43858027,0.1962873223365104,66.28,Late,1.7616666666666667
A058,4,A058_4,Common,-0.59969,0.1962873223365104,143.48,Late,4.978333333333333
A059,1,A059_1,Common,0.9413848,0.1962873223365104,1.0,Early,0.041666666666666664
A059,2,A059_2,Common,1.2146442,0.1962873223365104,30.4,Late,0.2666666666666666
A059,3,A059_3,Common,1.4220468,0.1962873223365104,79.78,Late,2.3241666666666667
A059,4,A059_4,Common,0.37158412,0.1962873223365104,151.93,Late,5.330416666666667
A060,1,A060_1,Common,-0.41893917,0.1962873223365104,1.0,Early,0.041666666666666664
A060,2,A060_2,Common,0.87463915,0.1962873223365104,24.87,Late,0.03625000000000004
A060,3,A060_3,Common,-0.51012707,0.1962873223365104,94.68,Late,2.9450000000000003
A060,4,A060_4,Common,0.5292025,0.1962873223365104,143.91,Late,4.99625
A061,1,A061_1,Common,2.0136983,0.1962873223365104,1.0,Early,0.041666666666666664
A061,2,A061_2,Common,0.953521,0.1962873223365104,35.16,Late,0.46499999999999986
A061,3,A061_3,Common,-0.3127364,0.1962873223365104,82.55,Late,2.439583333333333
A061,4,A061_4,Common,-0.5812956,0.1962873223365104,146.56,Late,5.1066666666666665
A062,1,A062_1,Common,2.011653,0.1962873223365104,1.0,Early,0.041666666666666664
A062,2,A062_2,Common,-0.35419762,0.1962873223365104,44.69,Late,0.8620833333333332
A062,3,A062_3,Common,-0.97456145,0.1962873223365104,92.72,Late,2.8633333333333333
A062,4,A062_4,Common,-1.426174,0.1962873223365104,149.18,Late,5.215833333333333
A063,1,A063_1,Common,1.0972812,0.1962873223365104,1.0,Early,0.041666666666666664
A063,2,A063_2,Common,0.82705617,0.1962873223365104,21.98,Early,0.9158333333333334
A063,3,A063_3,Common,0.27556694,0.1962873223365104,69.99,Late,1.9162499999999998
A063,4,A063_4,Common,-0.8945666,0.1962873223365104,141.09,Late,4.87875
A064,1,A064_1,Common,1.2642903,0.1962873223365104,1.0,Early,0.041666666666666664
A064,2,A064_2,Common,0.73144156,0.1962873223365104,37.65,Late,0.56875
A064,3,A064_3,Common,0.31989926,0.1962873223365104,82.99,Late,2.4579166666666663
A064,4,A064_4,Common,-0.92497724,0.1962873223365104,156.21,Late,5.50875
A065,1,A065_1,Common,-1.3171538,0.1962873223365104,1.0,Early,0.041666666666666664
A065,2,A065_2,Common,0.06738905,0.1962873223365104,32.31,Late,0.3462500000000001
A065,3,A065_3,Common,-1.744844,0.1962873223365104,106.41,Late,3.43375
A065,4,A065_4,Common,-2.1507194,0.1962873223365104,187.43,Late,6.809583333333333
A066,1,A066_1,Common,0.52085555,0.1962873223365104,1.0,Early,0.041666666666666664
A066,2,A066_2,Common,-0.2666786,0.1962873223365104,23.35,Early,0.9729166666666668
A066,3,A066_3,Common,-0.3462124,0.1962873223365104,73.79,Late,2.0745833333333334
A066,4,A066_4,Common,-0.95671576,0.1962873223365104,164.93,Late,5.872083333333333
A067,1,A067_1,Common,0.43133983,0.1962873223365104,1.0,Early,0.041666666666666664
A067,2,A067_2,Common,-1.2040907,0.1962873223365104,29.91,Late,0.24625
A067,3,A067_3,Common,-1.468142,0.1962873223365104,73.19,Late,2.049583333333333
A067,4,A067_4,Common,-1.2924346,0.1962873223365104,144.19,Late,5.007916666666667
