observation,fitted,residual,standardized_residual,leverage,cooks_d
61,-0.20513230596519816,-0.04985426653480185,-0.07802763602937692,0.09687248192890967,0.00012051689242020265
62,-0.10012951677756018,-0.19098624822243984,-0.29891534864952757,0.05111251012616127,0.0008453624415075353
63,-0.08225016289261068,-1.1385760821073894,-1.7820019489086734,0.038128388398357374,0.021811188615790136
64,0.006968513024367434,0.4792960694756325,0.750153233790911,0.021861961286201992,0.0021430758639326784
65,-0.1763882569645202,-0.3223967230354798,-0.5045877897835618,0.05087333299966909,0.0023964262278018
66,-0.07144265506964606,-0.3691034574303539,-0.5776891775843421,0.024298838035800914,0.0014196754575318516
67,-0.06079925531908192,0.11434573031908182,0.1789641618861712,0.027034344178249035,0.00015244097181678926
68,-0.17514171695157602,0.536656109451576,0.8399282647553942,0.026450899723919563,0.0032813901601464134
69,0.06497713109787609,0.4259532689021239,0.6666656425126031,0.0635888876301951,0.005371715551262832
70,-0.029860184600603336,0.7801575221006033,1.221035859339183,0.09521786564057175,0.02890253899799754
71,-0.1743924889692579,0.1634733994692579,0.25585458980462544,0.030748565528470898,0.0003570977627139037
72,-0.22105372899403714,0.560407951494037,0.8771026174183234,0.030430019740977435,0.00415043366304865
73,-0.06970800177334527,-0.3606282582266547,-0.5644245203201324,0.032185861071725885,0.0018244909022943965
74,0.23610084321195424,0.34457886178804586,0.539305377048237,0.10845128300971152,0.006613978606842299
75,0.047567178405822835,1.510385241594177,2.36392586004618,0.08333318535113117,0.09236584701156798
76,-0.20206820395686792,1.067181203956868,1.670260789046221,0.030128731694829824,0.014892581425277721
77,-0.09405113488099082,-0.6588624101190091,-1.0311951193648914,0.042904205782062735,0.008300791372015873
78,-0.12661389685034444,-0.24648455814965556,-0.38577655889766976,0.02972261674553842,0.0007830971518059909
79,-0.062077976624274896,-0.665490935875725,-1.041569521218649,0.03476265563586016,0.006746367412245586
80,-0.10009714560437236,0.5845598056043724,0.914903034773583,0.09190610089418479,0.015548257040150825
81,0.02269000865190792,-0.960210578651908,-1.5028395110437915,0.03248522428785988,0.013063050804588236
82,-0.006159168814700246,-0.007302648685299755,-0.011429481432029693,0.055755896449604624,1.3615200534208752e-06
83,-0.04231746093757621,-1.2836238540624236,-2.0090183217015394,0.04904499914673359,0.03648306714597738
84,-0.15399061262751323,0.29640958662751327,0.4639149454710075,0.05781322402223252,0.002336031301001215
85,0.02829216750140362,0.3261585574985963,0.510475491492821,0.05314892085948552,0.0025747178005031475
86,-0.1594036574040934,0.9108404399040935,1.4255695904394001,0.036253641783671166,0.013220617312315167
