composite_ID,theta_Source,theta_Destination
A098_T4,-0.73384935,-0.36731473
A099_T1,-0.31035092,-0.47044238
A099_T2,-0.76345474,0.16673175
A099_T3,-0.7051677,-0.060389794
A099_T4,-0.15837,-0.53642064
A100_T1,-0.36270642,-0.39480323
A100_T2,-0.38971692,-0.45809406
A100_T3,-0.6291912,-0.8427135
A100_T4,-1.1158364,-0.98631173
A101_T1,-1.5677562,-0.9365896
A101_T2,-0.44245857,-2.1290123
A101_T3,-0.6251148,-2.2356324
A101_T4,-0.7079477,-1.9734753
A102_T1,-0.37073874,-0.9376403
A102_T2,-0.43359956,-0.81403023
A102_T3,-1.4138342,-0.77805036
A102_T4,-0.3470185,-0.70786196
A103_T1,-0.9875712,-1.6287484
A103_T2,-0.68782264,-1.8562754
A103_T3,-0.7828647,-1.9553695
A103_T4,-0.5694739,-1.8315674
A104_T1,-0.32713103,0.124897674
A104_T2,-0.28146636,-0.49000484
A104_T3,-0.67699015,-0.22105755
A104_T4,-0.7249983,-1.6025496
A105_T1,-0.850042,-0.706381
A105_T2,-0.2583237,0.07295361
A105_T3,-0.70324385,0.04275472
A105_T4,-0.9267532,-0.8371109
A106_T1,-0.5487127,0.36985904
A106_T2,-0.7079691,-1.0674404
A106_T3,-0.7521782,-0.5867519
A106_T4,-0.68852544,-0.8619753
A107_T1,-0.76167816,-1.9350983
A107_T2,-1.2636036,-1.612143
A107_T3,-1.8093004,-1.1583843
A107_T4,-0.693725,-1.8400137
A108_T1,-0.8945166,-1.294088
A108_T2,-1.4660817,-1.0175229
A108_T3,-0.93358773,-0.77218366
A108_T4,-1.7967459,-0.97322947
A109_T1,-1.2752917,-0.8033006
A109_T2,-1.3744121,-1.4939446
A109_T3,-0.9456064,-0.8767856
A109_T4,-0.5972417,-1.5974748
