composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours,z_accuracy,z_confidence,calibration
A032_T4,free_recall,1.8328576,-0.25482178,A032,T4,144.0,1.9931765790025433,0.8530301829963857,-1.1401463960061577
A033_T1,free_recall,0.10781428,-0.30860895,A033,T1,0.0,0.07280368961707756,0.7622239751051402,0.6894202854880627
A033_T2,free_recall,-0.23640966,-0.7347773,A033,T2,24.0,-0.3103973086357948,0.042745114500109885,0.35314242313590466
A033_T3,free_recall,0.96893936,-0.250095,A033,T3,72.0,1.0314354171970495,0.8610101709254061,-0.17042524627164335
A033_T4,free_recall,-0.08949685,-0.55943835,A033,T4,144.0,-0.14684931296723505,0.3387611559674839,0.48561046893471893
A034_T1,free_recall,1.6616325,-0.04641245,A034,T1,0.0,1.8025633716644718,1.2048773046511443,-0.5976860670133275
A034_T2,free_recall,1.3464628,-0.021548213,A034,T2,24.0,1.4517064740905892,1.2468543611514062,-0.20485211293918293
A034_T3,free_recall,0.25853375,-0.31753966,A034,T3,72.0,0.24058937982835066,0.7471467009359205,0.5065573211075698
A034_T4,free_recall,-0.10638464,-1.0528941,A034,T4,144.0,-0.16564933595890982,-0.4943156803789992,-0.32866634442008935
A035_T1,free_recall,-0.65596753,-0.7573082,A035,T1,0.0,-0.7774624250505592,0.004707314976973329,0.7821697400275325
A035_T2,free_recall,0.8209889,-0.33170658,A035,T2,24.0,0.8667322766659996,0.7232293934683843,-0.14350288319761528
A035_T3,free_recall,-0.50477034,-1.0113604,A035,T3,72.0,-0.6091449217966332,-0.42419639734751374,0.1849485244491194
A035_T4,free_recall,-0.99131393,-0.8755591,A035,T4,144.0,-1.150780664451651,-0.19492980682599353,0.9558508576256575
A036_T1,free_recall,0.8689254,-1.634751,A036,T1,0.0,0.9200967075441913,-1.4766357880246634,-2.3967324955688545
A036_T2,free_recall,-0.1759345,-2.3438737,A036,T2,24.0,-0.24307444410318219,-2.6738124254384057,-2.4307379813352235
A036_T3,free_recall,-0.7087776,-2.0187669,A036,T3,72.0,-0.8362522684931857,-2.1249507607020464,-1.2886984922088607
A036_T4,free_recall,-1.176061,-2.1569333,A036,T4,144.0,-1.3564469572966322,-2.358210232096153,-1.0017632747995209
A037_T1,free_recall,1.0822115,-0.053982724,A037,T1,0.0,1.1575335529694746,1.1920967870177068,0.03456323404823225
A037_T2,free_recall,0.93259835,-0.4549343,A037,T2,24.0,0.9909794532408016,0.5151901536220753,-0.4757892996187263
A037_T3,free_recall,0.6126821,-0.74478394,A037,T3,72.0,0.6348385457916699,0.025851401145552306,-0.6089871446461176
A037_T4,free_recall,-0.28599942,-0.8572854,A037,T4,144.0,-0.3656022009367788,-0.16407922663852023,0.20152297429825858
A038_T1,free_recall,1.1545284,-0.32439503,A038,T1,0.0,1.238039017727542,0.7355731202215716,-0.5024658975059704
A038_T2,free_recall,-0.09438367,-0.2553714,A038,T2,24.0,-0.15228947585155422,0.8521022868460363,1.0043917626975905
A038_T3,free_recall,0.9860895,-0.36756817,A038,T3,72.0,1.0505274965224343,0.6626860520572148,-0.3878414444652195
A038_T4,free_recall,-0.008316844,-0.37407354,A038,T4,144.0,-0.056477157743591494,0.651703358960897,0.7081805167044886
A039_T1,free_recall,2.3421638,0.10765596,A039,T1,0.0,2.560152380442667,1.4649833497904152,-1.095169030652252
A039_T2,free_recall,0.7976839,0.10201621,A039,T2,24.0,0.8407884121448882,1.4554620399510123,0.6146736278061241
A039_T3,free_recall,0.839274,-0.24429365,A039,T3,72.0,0.8870878294295685,0.870804302019306,-0.01628352741026251
A039_T4,free_recall,0.6956401,-0.61507744,A039,T4,144.0,0.7271900202796493,0.24482844351171207,-0.48236157676793723
A040_T1,free_recall,-0.5817445,-0.42340112,A040,T1,0.0,-0.6948349959724047,0.5684260553910672,1.2632610513634719
A040_T2,free_recall,-0.26374146,-0.5048996,A040,T2,24.0,-0.34082393452372073,0.43083621904718605,0.7716601535709068
A040_T3,free_recall,-1.6241969,-0.5793214,A040,T3,72.0,-1.8553260423275846,0.3051935900997867,2.160519632427371
A040_T4,free_recall,-0.8882852,-0.70157135,A040,T4,144.0,-1.0360858172985863,0.09880507078571288,1.1348908880842992
A041_T1,free_recall,1.2497655,0.10194059,A041,T1,0.0,1.3440599754526459,1.4553343744605107,0.11127439900786484
A041_T2,free_recall,-1.167476,-0.39274108,A041,T2,24.0,-1.3468898632432642,0.6201878782606084,1.9670777415038727
A041_T3,free_recall,0.075356334,-0.41618338,A041,T3,72.0,0.03667047555753881,0.5806114073801188,0.5439409318225801
A041_T4,free_recall,0.66515946,-0.31845248,A041,T4,144.0,0.6932580059189212,0.7456056322630886,0.05234762634416745
A042_T1,free_recall,-1.02681,-1.1798056,A042,T1,0.0,-1.19029601442427,-0.7085740630525956,0.4817219513716744
A042_T2,free_recall,-1.0026407,-1.2260817,A042,T2,24.0,-1.1633899837540234,-0.7866997044833693,0.376690279270654
