composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours
A061_T3,free_recall,0.720659,-0.19571824,A061,T3,72.0
A061_T4,free_recall,-0.44061255,-0.36124137,A061,T4,144.0
A062_T1,free_recall,1.5698215,-0.23546267,A062,T1,0.0
A062_T2,free_recall,0.29121718,-0.7131469,A062,T2,24.0
A062_T3,free_recall,-0.99807596,-0.8465645,A062,T3,72.0
A062_T4,free_recall,-1.3407863,-1.4831631,A062,T4,144.0
A063_T1,free_recall,1.0055077,-1.1761686,A063,T1,0.0
A063_T2,free_recall,0.5848471,-1.960452,A063,T2,24.0
A063_T3,free_recall,-0.0073365774,-2.2781718,A063,T3,72.0
A063_T4,free_recall,-1.0480841,-2.0773058,A063,T4,144.0
A064_T1,free_recall,0.9337908,-0.26722994,A064,T1,0.0
A064_T2,free_recall,1.0231495,-0.48492604,A064,T2,24.0
A064_T3,free_recall,0.12078351,-0.5543253,A064,T3,72.0
A064_T4,free_recall,-0.82732314,-0.39566955,A064,T4,144.0
A065_T1,free_recall,-1.6313238,-0.66037697,A065,T1,0.0
A065_T2,free_recall,0.011327019,-1.3904742,A065,T2,24.0
A065_T3,free_recall,-1.3355386,-2.1570559,A065,T3,72.0
A065_T4,free_recall,-2.3671904,-1.7601811,A065,T4,144.0
A066_T1,free_recall,0.2606496,-0.535729,A066,T1,0.0
A066_T2,free_recall,-0.04822852,-0.467701,A066,T2,24.0
A066_T3,free_recall,-0.73158157,-0.40296277,A066,T3,72.0
A066_T4,free_recall,-1.053569,-1.5947227,A066,T4,144.0
A067_T1,free_recall,0.53448457,-0.41348854,A067,T1,0.0
A067_T2,free_recall,-1.4098325,-1.5664383,A067,T2,24.0
A067_T3,free_recall,-1.5651689,-1.4050277,A067,T3,72.0
A067_T4,free_recall,-1.2525647,-1.4525421,A067,T4,144.0
A068_T1,free_recall,1.1313976,0.11658433,A068,T1,0.0
A068_T2,free_recall,-0.6020199,-0.330725,A068,T2,24.0
A068_T3,free_recall,0.8178577,-0.25759494,A068,T3,72.0
A068_T4,free_recall,-0.18029927,-0.70293117,A068,T4,144.0
A069_T1,free_recall,-0.9453881,-0.6996831,A069,T1,0.0
A069_T2,free_recall,-1.0803355,-1.257218,A069,T2,24.0
A069_T3,free_recall,-0.40901044,-1.7944096,A069,T3,72.0
A069_T4,free_recall,-1.3295189,-1.2702085,A069,T4,144.0
A070_T1,free_recall,-0.19590467,-0.4885555,A070,T1,0.0
A070_T2,free_recall,0.001917907,-0.48345467,A070,T2,24.0
A070_T3,free_recall,-0.6862198,-1.136438,A070,T3,72.0
A070_T4,free_recall,-0.76803863,-1.5061575,A070,T4,144.0
A071_T1,free_recall,0.8231066,-0.14729317,A071,T1,0.0
A071_T2,free_recall,0.7234464,-0.75863385,A071,T2,24.0
A071_T3,free_recall,-0.8875053,-1.0469285,A071,T3,72.0
A071_T4,free_recall,0.3867004,-0.7379681,A071,T4,144.0
A072_T1,free_recall,0.7837958,-0.034344774,A072,T1,0.0
A072_T2,free_recall,1.3752688,0.010983466,A072,T2,24.0
A072_T3,free_recall,-0.50578904,-0.5860369,A072,T3,72.0
A072_T4,free_recall,0.22475065,-0.8099445,A072,T4,144.0
A073_T1,free_recall,1.0453852,-0.95517385,A073,T1,0.0
A073_T2,free_recall,-0.18324019,-0.99757874,A073,T2,24.0
A073_T3,free_recall,1.1016877,-1.181125,A073,T3,72.0
A073_T4,free_recall,1.1862053,-1.0928098,A073,T4,144.0
A074_T1,free_recall,1.1920998,-0.3028804,A074,T1,0.0
A074_T2,free_recall,-0.18063918,-0.6803496,A074,T2,24.0
