composite_ID,UID,test,theta_observed,theta_ma_fitted,residual_ma,TSVR_hours
A079_1,A079,T1,0.49688977,0.30055736565281416,0.19633240434718585,1.0
A079_2,A079,T2,-0.40158516,-0.22203052159147743,-0.17955463840852257,26.11
A079_3,A079,T3,-0.94553256,-0.5896242062365841,-0.3559083537634159,74.0
A079_4,A079,T4,-0.9119565,-0.9401266742214054,0.028170174221405442,194.42
A080_1,A080,T1,0.35685366,0.69133492567446,-0.33448126567445996,1.0
A080_2,A080,T2,0.34285796,0.13430819470461874,0.20854976529538127,29.03
A080_3,A080,T3,0.31786218,-0.1931411257352137,0.5110033057352137,72.87
A080_4,A080,T4,-0.8033879,-0.4478614523688537,-0.3555264476311463,145.77
A081_1,A081,T1,0.56923956,0.9610671048602223,-0.3918275448602223,1.0
A081_2,A081,T2,-0.24241331,0.3780591893637366,-0.6204724993637366,31.39
A081_3,A081,T3,0.93472326,0.04136135302914458,0.8933619069708554,80.13
A081_4,A081,T4,0.18450806,-0.19901209870009287,0.3835201587000929,154.53
A082_1,A082,T1,0.47511065,1.062227048229537,-0.5871163982295371,1.0
