composite_ID,UID,test,theta,SE,TSVR_hours
A103_3,A103,3,-1.7227138,0.3,80.24
A103_4,A103,4,-0.96813315,0.3,149.72
A104_1,A104,1,1.7474676,0.3,1.0
A104_2,A104,2,0.04523211,0.3,22.6
A104_3,A104,3,0.22338806,0.3,72.62
A104_4,A104,4,-1.7777252,0.3,145.78
A105_1,A105,1,0.61165696,0.3,1.0
A105_2,A105,2,0.47426346,0.3,22.77
A105_3,A105,3,-0.23769371,0.3,69.46
A105_4,A105,4,0.29649377,0.3,146.2
A106_1,A106,1,1.1972102,0.3,1.0
A106_2,A106,2,0.124567874,0.3,22.64
A106_3,A106,3,0.3480307,0.3,66.08
A106_4,A106,4,1.0106606,0.3,147.13
A107_1,A107,1,-0.71622896,0.3,1.0
A107_2,A107,2,-1.6166046,0.3,26.22
A107_3,A107,3,-1.0414004,0.3,71.45
A107_4,A107,4,-1.2497748,0.3,145.95
A108_1,A108,1,-0.4913459,0.3,1.0
A108_2,A108,2,-1.1094757,0.3,27.61
A108_3,A108,3,-0.358304,0.3,68.96
A108_4,A108,4,-1.1333818,0.3,152.12
A109_1,A109,1,-0.25337747,0.3,1.0
A109_2,A109,2,-1.0994496,0.3,24.65
A109_3,A109,3,-0.23198725,0.3,71.17
A109_4,A109,4,-1.2962439,0.3,149.87
