bootstrap_iteration,cohens_d
1863,1.1128026603284118
1864,1.2555373123136302
1865,1.3095723550555312
1866,1.552370253767909
1867,1.5381274008297392
1868,1.3842824536267895
1869,1.4738999500317445
1870,1.3099498322452994
1871,1.6147192483684558
1872,1.5145281817726564
1873,1.3275187350122986
1874,1.3719485445364599
1875,1.1643525893262476
1876,1.46610822782161
1877,1.4915551696220326
1878,1.5785989845231687
1879,1.2957559677186963
1880,1.4401097613722194
1881,1.3805858504001678
1882,1.205226031241153
1883,1.4086202895014055
1884,1.3434415491030989
1885,1.246379404707614
1886,1.4397956202616724
1887,1.5209332172475694
1888,1.3479996260778373
1889,1.4997466928562766
1890,1.4790690015252441
1891,1.2457822505862806
1892,1.2311108795715917
1893,1.2986425105113657
1894,1.3072539618889054
1895,1.1665566723612228
1896,1.3826533284008857
1897,1.4085149016639469
1898,1.1828761778976475
1899,1.2689651334793155
1900,1.538607397740626
1901,1.1830705318526091
1902,1.731826044819758
1903,1.3524866036450043
1904,1.2236656882039227
1905,1.3863801894064733
1906,1.088898315963715
1907,1.4594332278406423
1908,1.305491119979488
1909,1.1982355206463167
1910,1.0967923215295479
1911,1.1496605037488432
1912,1.4800037502456
1913,1.478884806429364
1914,1.1372250766187086
1915,1.672718710454436
1916,1.5549548477002526
1917,1.3322385912451302
1918,1.1797161241431815
1919,1.2975389093925886
1920,1.3839811116548018
1921,1.2753866489443066
1922,1.173604250401267
1923,1.2597345280540053
1924,1.5403928116029815
1925,1.6838491493072207
1926,1.4372824895913372
1927,1.2378159875950414
1928,1.5890912954718157
1929,1.3627545063390658
1930,1.618538599659768
1931,1.5319109852474675
1932,1.2495725051332003
1933,1.3665628697561547
1934,1.5369596676985575
1935,1.7505570351454272
1936,1.4344026277340554
1937,1.3955197249772706
1938,1.4102690957159567
1939,1.2366843958166698
1940,1.1735272753207067
1941,1.4051513693793158
1942,1.2707061607247099
1943,1.3808276981757885
1944,1.224242047535696
1945,1.6524442711826084
1946,1.4107465758076407
1947,1.4470149360732871
1948,1.279718535792927
1949,1.2464318676578305
1950,1.4892863539842687
1951,1.4159473975199999
1952,1.5215316390248295
1953,1.3484954820563921
1954,1.395484762940209
1955,1.4089403184119484
1956,1.4059126243569289
1957,1.1160784874774283
1958,1.5047900185939942
1959,1.1523637936547644
1960,1.3634096956099797
1961,1.306195354512233
1962,1.3464939443919455
1963,1.5446151743012768
1964,1.2989990143755035
1965,1.4454524773378672
1966,1.290426607276588
1967,1.4399765521677874
1968,1.276048721930704
1969,1.6625041137496823
1970,1.5030568780362712
1971,1.285648083325694
1972,1.2867593399364976
1973,1.3633909142031237
1974,1.1571230047594987
1975,1.383384941780852
1976,1.1144189193432066
1977,1.2787446559138818
1978,1.2819970604326534
1979,1.4252933863150614
1980,1.4961615029857496
1981,1.3475005895654557
1982,1.3990361536760307
1983,1.272869846122257
1984,1.5991285518306033
1985,1.3575376975667541
1986,1.5271675539539504
1987,1.2870368651106796
1988,1.348885539653659
1989,1.3865035085468893
1990,1.5477704433258226
1991,1.4184714553569435
1992,1.4899246471462713
1993,1.132743452433227
1994,1.4983249051122833
1995,1.1732926417868033
1996,1.1835177883565904
1997,1.6213636662285966
1998,1.3381890080658472
1999,1.5497282054013906
2000,1.3034399234522198
2001,1.8892014011553937
2002,1.2400940801330205
2003,1.25136842965829
2004,1.673615405297721
2005,1.578773803238138
2006,1.474049312078143
2007,1.2978203815853162
