UID,theta_all,theta_what,theta_where,theta_when,beta_age_bivariate_all,beta_age_controlled_all,beta_age_bivariate_what,beta_age_controlled_what,beta_age_bivariate_where,beta_age_controlled_where,beta_age_bivariate_when,beta_age_controlled_when
A053,0.45830460749999996,0.368248605,0.45041583999999996,0.36114814,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A054,1.0196071075,0.8947861675,1.07577951,0.0688088425,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A055,0.10256029849999998,0.14997135325,0.119832105,-0.04862603,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A056,-0.07194886249999999,-0.08393786499999997,-0.10676695500000002,0.08828637249999997,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A057,-0.51205133,-0.3067310125,-0.4836371725,0.109455435,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A058,-0.252483834,-0.2719533075,-0.16795675650000003,0.2375050725,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A059,0.98987943,1.0114442625,0.9828980350000001,0.46972225749999996,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A060,0.235626169,0.34874225875,0.13291352,-0.05936906750000002,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A061,0.86492765,0.8467748125,0.8810839875,0.3475837575,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A062,0.09019198499999995,0.078300275,0.17265010250000004,0.253064919375,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A063,0.293277165,0.2605916275,0.36356943249999996,0.233620417,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A064,0.30928356749999997,0.503797009,0.1967466275,0.5805268175,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A065,-1.9536738750000002,-1.94928755,-1.8336711499999998,-0.37978096,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A066,-0.5499262325000001,-0.44128004499999995,-0.5372099874999999,-0.4521310925,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A067,-0.82512955,-0.7244210325,-0.853556675,0.053230098499999975,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A068,0.37390792500000003,0.394560105,0.38845414624999997,-0.005009880000000022,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A069,-1.1793972825,-0.8791684799999999,-1.237180955,0.02333636499999997,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A070,-0.21069506424999995,-0.06834133,-0.2116655225,0.17435118249999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A071,0.1962569325,0.0700237725,0.27933474,-0.21557193000000002,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A072,0.07787222499999996,-0.09781446499999999,0.14936966625,0.05900554499999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A073,0.33634695950000004,0.122970805,0.4645472975,0.22854698,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A074,-0.2549865725,-0.5581603375,-0.05747502999999998,0.012053330000000025,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A075,-0.291115765,-0.3986804465,-0.15475839250000004,-0.12095585249999996,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A076,-1.220826245,-1.18215652,-1.09033346,0.09799933250000004,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A077,0.48626458250000004,0.498825286,0.40816474999999997,0.1292165575,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A078,-0.49878498,-0.32265749850000003,-0.49052411500000004,-0.19639593987499998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A079,-0.4405461125,-0.5118734475,-0.39397081,-0.16838535999999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A080,0.05354647499999998,0.10170053000000001,0.166260735,0.2317814225,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A081,0.3615143925,0.231875545,0.4576551375,-0.01614601974999999,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
